check,column,n_rows,extractants
acid_concentration_non_positive,cond__acid_concentration_M,0,0
extractant_concentration_non_positive,cond__extractant_concentration_M,0,0
temperature_out_of_range,cond__temperature_C,0,0
contact_time_non_positive,cond__contact_time_min,0,0
acid_concentration_implausibly_high,cond__acid_concentration_M,0,0
