extractant,tanimoto_cluster,level_raw,level_adjusted,adjusted_coverage,n_rows,log_d_max,log_d_min,level
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,tan043,0.0,-0.43956571555667956,1.0,6,0.04139268515822508,-0.36653154442041347,0.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,1.2870192812211583,0.5631731602019279,1.0,103,3.0262153828367744,-0.56412213740458,1.2870192812211583
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,tan055,1.0323618630424192,-0.12039621344913926,1.0,14,1.7157527168228595,-0.8538719643217619,1.0323618630424192
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,tan091,1.7387483929965448,0.6181012188654121,1.0,14,2.187012807018954,0.28555730900777376,1.7387483929965448
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,0.8647971801505141,-0.5705929736509973,0.6590909090909091,44,2.8247767857142847,-1.0334565979002526,0.8647971801505141
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,-0.4851888764672587,-0.4409365797340109,0.5882352941176471,17,1.262028659672296,-1.9967305154351795,-0.4851888764672587
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,-0.18415888080349388,-0.3465460822053107,0.9047619047619048,21,0.905747126436782,-2.4500565592220074,-0.18415888080349388
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,-0.6792045475798921,-0.41198579052467155,1.0,21,1.16551724137931,-1.6719053088383902,-0.6792045475798921
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,tan055,-0.860013174000384,0.02930440601377149,1.0,16,1.18620689655172,-1.3882788634560521,-0.860013174000384
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,tan055,1.5960470075454392,0.5341250229009993,1.0,13,3.5181373881309015,-1.0969100130080565,1.5960470075454392
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,tan087,1.62412,1.22288158882503,1.0,14,2.58494,-0.7457300000000001,1.62412
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,0.25577487008922617,-0.16342561484257978,1.0,35,1.819517131377064,-1.2637505725607983,0.25577487008922617
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,tan055,0.7220956719817759,0.4600308851468401,0.8145695364238411,151,2.8818791946308693,-1.300261096605745,0.7220956719817759
