guard,design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds
drop_pub,B,O_PUBMAG,0.43885966197392373,0.011510602008675479,0.5168847562468616,0.1826278985597807,0.5510517949929457,0.8092648010337216,0.5091259829602761,0.39655577863656866,0.1559495635232407,0.5631222383908886,0.8914256977621322,90,83,88,86,5
drop_pub,B,O_WITHIN,0.45937373965219663,0.014918883855822398,0.5310423474085045,0.18691886019032977,0.5942642893751027,0.7919702735431676,0.4815712903560496,0.43512378170252636,0.15954148359224718,0.6338027318761866,0.8677646467186322,90,83,88,86,5
drop_pub,B,FE_ACID,0.49249605788211276,0.009555559132436846,0.5461237724798035,0.18981729153165322,0.6490111216330348,0.8081503130290152,0.5074315003022866,0.5035395712682922,0.16574678961187123,0.7549016029265208,0.9041488559215489,90,83,88,86,5
drop_pub,B,FE_C64,0.4927476983251621,0.009778019355041594,0.5462438658453053,0.18987595434756552,0.64932648334812,0.8081287798679473,0.5066769987330756,0.5037112969364631,0.16576816328945504,0.7552080082607369,0.9041237113402062,90,83,88,86,5
drop_pub,B,G14,0.4927476983251621,0.009778019355041594,0.5462438658453053,0.18987595434756552,0.64932648334812,0.8081287798679473,0.5066769987330756,0.5037112969364631,0.16576816328945504,0.7552080082607369,0.9041237113402062,90,83,88,86,5
drop_pub,B,META_PHYS4,0.49276372728961143,0.009775415076256653,0.5462305679808972,0.1898791471603769,0.6493566007807829,0.8081287798679473,0.5066911882083796,0.5037087215875097,0.1657674809121564,0.7552132477936213,0.9041237113402062,90,83,88,86,5
drop_pub,B,FE_PHYS4,0.49277359686826205,0.009802674239594071,0.5462292025871425,0.18988180254733977,0.649373003709324,0.8081287798679473,0.5067797910934784,0.5037226627601468,0.16577342826619407,0.7552260397901802,0.9041237113402062,90,83,88,86,5
drop_pub,B,RI_PHYS4,0.503071113014093,0.00798895650148102,0.5506615597728665,0.19146810439000334,0.6668347605081729,0.8090365892942177,0.5092351474665232,0.5121936461124617,0.16707147836518774,0.7708126195348797,0.9042997234096052,90,83,88,86,5
drop_pub,B,FLAT,0.5888656043240399,0.0,0.609231825556691,0.20694837659771056,0.8073432147904462,0.0,,0.6559301937379263,0.19038409339817308,1.0139925566363033,0.0,90,83,88,86,5
drop_pub,BR,O_PUBMAG,0.45230280314111476,0.02039399804099133,0.5296022378228984,0.1829510378665603,0.5682259305179095,0.7915552230006282,0.49264662179274765,0.3997152350951737,0.15629966175919052,0.5690191714592652,0.8881066130248931,90,83,88,86,5
drop_pub,BR,O_WITHIN,0.4801415959916736,0.03620233343040469,0.543165001759602,0.18843175333926682,0.6235300239689796,0.7677053463368542,0.4529587781861493,0.44058532626705904,0.1605388622514346,0.6425217979509436,0.8598441035956751,90,83,88,86,5
drop_pub,BR,FE_C64,0.5075934567301537,0.028101933803997985,0.5585329234719149,0.19039082822842524,0.6683893687342711,0.7849759613957176,0.47692750114994,0.5066156809530841,0.1662118057561622,0.7596389875019655,0.8968317827508172,90,83,88,86,5
drop_pub,BR,G14,0.5079091055651928,0.02689689343853977,0.557729374200353,0.19045301343437576,0.6689925729084087,0.784800576290914,0.4775765864845575,0.5064171513452047,0.16618434203327273,0.7594129507673607,0.896756349006789,90,83,88,86,5
drop_pub,BR,FE_ACID,0.507967935822599,0.02614244304694181,0.5580432815801442,0.1904172662369763,0.6691052749410932,0.784822109451982,0.4778937458653202,0.5064129639833281,0.1661685417800448,0.7593869930214787,0.8967814935881318,90,83,88,86,5
drop_pub,BR,META_PHYS4,0.5080930159862971,0.026768765157611323,0.5579264742071326,0.190467647160857,0.6692694610093217,0.784800576290914,0.4775789733857142,0.5065231438621787,0.16619642413375948,0.7596067158452852,0.896756349006789,90,83,88,86,5
drop_pub,BR,FE_PHYS4,0.508108687769982,0.025685564100999626,0.5564956036049924,0.1904675464757649,0.6694703943211764,0.7849429588253232,0.4775626495682106,0.5075103956358673,0.16632306880503542,0.7613244974377915,0.8968317827508172,90,83,88,86,5
drop_pub,BR,RI_PHYS4,0.516370266534856,0.029820773370300473,0.5624869161104173,0.19164706764019085,0.682502860565668,0.7840421017049906,0.4765265079031386,0.5125613789052467,0.16748825737088843,0.7701408250190028,0.8952979632889112,90,83,88,86,5
drop_pub,BR,FLAT,0.5888656043240399,0.0,0.609231825556691,0.20694837659771056,0.8073432147904462,0.0,,0.6559301937379263,0.19038409339817308,1.0139925566363033,0.0,90,83,88,86,5
drop_pub,BQ,O_PUBMAG,0.4365309518314599,0.010202476168659366,0.512538298270875,0.18138530669167477,0.5483259743126057,0.8147222376509229,0.5150228020084702,0.39466777145918974,0.1554743759128282,0.5603943360058112,0.8939904450590898,90,83,88,86,5
drop_pub,BQ,O_WITHIN,0.45689324079997534,0.012556482879859845,0.5273489971343988,0.18592732200246484,0.5913365519445364,0.7966963149648706,0.48421856949200104,0.43351711261803844,0.1592279385982629,0.6310788303593974,0.8693487553432235,90,83,88,86,5
drop_pub,BQ,META_PHYS4,0.4904018869759711,0.009418162802705996,0.5422626942527747,0.18895645469518266,0.6465778251793749,0.8141147659869216,0.5105579330808417,0.5023192721441662,0.16539513616201626,0.7527493264567579,0.9071913502640181,90,83,88,86,5
drop_pub,BQ,G14,0.49040927494300746,0.009425967106386988,0.542341913572575,0.18895908326412697,0.6465791086827951,0.8141147659869216,0.5105382806716597,0.5022821576589053,0.16539509168285632,0.7526647773414342,0.9071913502640181,90,83,88,86,5
drop_pub,BQ,FE_PHYS4,0.49043736634294144,0.00944101170519452,0.5423259855323808,0.18896506473107635,0.6466306275271262,0.8141147659869216,0.5106393839311808,0.5022942613390641,0.16540058597372584,0.7526841028431213,0.9071913502640181,90,83,88,86,5
drop_pub,BQ,FE_C64,0.49050712604638164,0.009480069132589442,0.5421151045787573,0.18898640484206414,0.6467299806869999,0.814086735873522,0.5110186005313739,0.502302657888982,0.16534783338604833,0.7528656276823537,0.9072416394267035,90,83,88,86,5
drop_pub,BQ,FE_ACID,0.4906281493434945,0.00938193972336183,0.5420100566308254,0.1889893413103128,0.6470460658770876,0.813815306918696,0.5121441230956393,0.5021837771325233,0.1654466412908579,0.7526726370693735,0.9071913502640181,90,83,88,86,5
drop_pub,BQ,RI_PHYS4,0.5079863098577861,0.00945920701457908,0.5505594768304404,0.19207431765139746,0.6768267639007235,0.8128234076419716,0.5129181600344094,0.5228879379706065,0.1696055021782358,0.7854714446561032,0.9053809404073422,90,83,88,86,5
drop_pub,BQ,FLAT,0.5888656043240399,0.0,0.609231825556691,0.20694837659771056,0.8073432147904462,0.0,,0.6559301937379263,0.19038409339817308,1.0139925566363033,0.0,90,83,88,86,5
drop_pub,A,O_PUBMAG,0.43885813247878874,0.009068712938406494,0.5126568325990504,0.18136583229974873,0.5478420179407486,0.8078299569408411,0.5117336191604005,0.39217567497784195,0.15526048286415875,0.5561971516681017,0.9025647472969575,90,83,88,86,5
drop_pub,A,O_WITHIN,0.4520903090520008,0.00879335740066172,0.5157634179073769,0.184548142300588,0.5794519109454521,0.7916065262214539,0.4858956228190321,0.42442759424949944,0.15837770838623752,0.6152014585858264,0.8774955996982651,90,83,88,86,5
drop_pub,A,FE_C64,0.49194195899620397,0.009679673805940892,0.544800285381012,0.18846313564695258,0.6445862673207104,0.8084779783806718,0.5106760081184204,0.4988569659409651,0.1653876894494998,0.7467452755772064,0.9116922303243651,90,83,88,86,5
drop_pub,A,FE_PHYS4,0.4922381337029039,0.011091958173910278,0.5446992356659267,0.188509849576957,0.6450740851938722,0.8086488374219627,0.5112605508798942,0.5000256768542198,0.16542551466898758,0.7490871768997438,0.9118933869751069,90,83,88,86,5
drop_pub,A,G14,0.4924363438046653,0.010421765803031606,0.5444951250445784,0.18852167298113184,0.6453808871343311,0.8085855562955586,0.5109930314844473,0.49978705905867715,0.16541763163012996,0.7485985977812509,0.911792808649736,90,83,88,86,5
drop_pub,A,META_PHYS4,0.4924476416552997,0.010405441997538279,0.5445060722032562,0.18852504018602134,0.6454036333835507,0.8085855562955586,0.5109841835466327,0.49979384537753924,0.16542189252399128,0.7486071458491338,0.911792808649736,90,83,88,86,5
drop_pub,A,FE_ACID,0.49311785492454285,0.010805056985080504,0.544981317624544,0.18864588353359246,0.646581390122257,0.8083739160839183,0.5108920270072841,0.5007480878600264,0.16558713061802277,0.7500977980349035,0.9119939653004777,90,83,88,86,5
drop_pub,A,RI_PHYS4,0.505308162909467,0.010529602882037472,0.5511184132398669,0.1911974911673207,0.6672481459787963,0.8093866164385259,0.5125204163252047,0.5096076840635542,0.16702510522893688,0.7655507030370118,0.9125471460900176,90,83,88,86,5
drop_pub,A,FLAT,0.5888656043240399,0.0,0.609231825556691,0.20694837659771056,0.8073432147904462,0.0,,0.6559301937379263,0.19038409339817308,1.0139925566363033,0.0,90,83,88,86,5
drop_pub,BP,O_PUBMAG,0.4467054032523653,0.012699667377648067,0.5303185040226265,0.1843937686586941,0.5623748545890954,0.7982671163887194,0.4933155433487955,0.4002506782116758,0.15675472989145206,0.5685178089027115,0.8898415891375409,90,83,88,86,5
drop_pub,BP,O_WITHIN,0.45747754439329674,0.013835089410975753,0.5156580762482219,0.18562492022058624,0.588786887770552,0.797510064293642,0.48792399917674595,0.4400347688603663,0.15984691316661015,0.6418769302593079,0.8639678149358814,90,83,88,86,5
drop_pub,BP,FE_PHYS4,0.4939255242045208,0.020649524047368757,0.5456254985490677,0.18941820948919824,0.6486238624244722,0.8129686424164424,0.5063813442370311,0.5096072511919897,0.1667967796734198,0.7636921335165491,0.9016092532059341,90,83,88,86,5
drop_pub,BP,FE_C64,0.4968794447058132,0.014275760727590738,0.5462970728691339,0.18988633612567768,0.6537348083041634,0.8092509640254081,0.5012374307197356,0.5125641556123565,0.16712399715971513,0.769102058434999,0.9020115665074177,90,83,88,86,5
drop_pub,BP,FE_ACID,0.4989438737267459,0.014447661919687596,0.5467870389386466,0.19011598525915857,0.6568748274621657,0.8123325651143698,0.5061891390796174,0.5160760993315836,0.1673616117340875,0.7756975595024395,0.9019109881820467,90,83,88,86,5
drop_pub,BP,G14,0.4994408590426501,0.014695813986242824,0.5471518439496481,0.19019218344267327,0.657569743708392,0.8123325651143698,0.5046981504080291,0.5166449036681104,0.16742016436474627,0.7766931623587319,0.9019109881820467,90,83,88,86,5
drop_pub,BP,META_PHYS4,0.49947517618386705,0.014668843095833252,0.5471292646782715,0.19019803272677388,0.6576259289082088,0.8123325651143698,0.5046282791469928,0.5166661396542206,0.16742645539455042,0.7767402076663995,0.9019109881820467,90,83,88,86,5
drop_pub,BP,RI_PHYS4,0.5039424522797218,0.015446708396068196,0.5490955650282319,0.19076719361484007,0.6655853064298951,0.8125689619928183,0.5103909079413076,0.5189296729679015,0.1680746184564661,0.7807618484351144,0.9013326628111642,90,83,88,86,5
drop_pub,BP,FLAT,0.5888656043240399,0.0,0.609231825556691,0.20694837659771056,0.8073432147904462,0.0,,0.6559301937379263,0.19038409339817308,1.0139925566363033,0.0,90,83,88,86,5
drop_chem,B,O_PUBMAG,0.4547924172281396,0.005755597003510087,0.49369040056045943,0.17848902569959507,0.5560910160879003,0.777589817668893,0.41960534639068126,0.39449040765551585,0.15838850724224401,0.5484470036641202,0.855435084792883,67,60,65,63,5
drop_chem,B,O_WITHIN,0.4589887150788348,0.0057272951216976314,0.5310251132353285,0.18141961105247736,0.5700899934469115,0.7507604213944159,0.38479406798149907,0.41634451953794904,0.16447046862490128,0.5838814405943368,0.8313038643313873,67,60,65,63,5
drop_chem,B,FE_ACID,0.48024413911606023,0.0091542393470153,0.5472726998516337,0.1832371378146217,0.6071802435102966,0.7709087919176516,0.4108908936052563,0.4589525193738141,0.16832741989382924,0.6567925250587197,0.8591048095635252,67,60,65,63,5
drop_chem,B,FE_PHYS4,0.48099908782870165,0.008344534464425445,0.5480727069328499,0.18333435869403233,0.608351435547293,0.7709087919176516,0.41083497576692396,0.45940954450736377,0.16837832476531384,0.657564987648245,0.8591048095635252,67,60,65,63,5
drop_chem,B,G14,0.48099908782870165,0.008344534464425445,0.5480727069328499,0.18333435869403233,0.608351435547293,0.7709087919176516,0.41083497576692396,0.45940954450736377,0.16837832476531384,0.657564987648245,0.8591048095635252,67,60,65,63,5
drop_chem,B,FE_C64,0.4810576268559828,0.008571737244974486,0.5480303478261142,0.1833370607110934,0.6084553169305017,0.7688821897708598,0.4088924963115817,0.45920523400354296,0.1683972160643393,0.6570453361845136,0.8587155963302753,67,60,65,63,5
drop_chem,B,META_PHYS4,0.4814412176792975,0.00722768291651178,0.5482056658042685,0.18336127460628748,0.6090483175102588,0.7710851587606851,0.4108633194430202,0.45963264786932,0.16837234569117002,0.6579141647969338,0.8594384209063108,67,60,65,63,5
drop_chem,B,RI_PHYS4,0.4833395268120304,0.008536554429689317,0.5520031317225558,0.1840073855757461,0.6132266850122386,0.7727093186359428,0.41651312408171426,0.4520501523980336,0.16807110420553176,0.644823587380398,0.858270781206561,67,60,65,63,5
drop_chem,B,FLAT,0.52995272276441,0.0,0.6057943354616868,0.19237110894358167,0.6854866784472872,0.0,,0.5444456820007617,0.18155570751519448,0.7980781695602122,0.0,67,60,65,63,5
drop_chem,BR,O_PUBMAG,0.45848548281322393,0.015676807982326294,0.49993046406801483,0.1811593570894324,0.5653111611798266,0.7804234575630812,0.42076873584308244,0.3998941247075197,0.159721747739227,0.5560898889850502,0.8487072560467056,67,60,65,63,5
drop_chem,BR,O_WITHIN,0.4606396913408622,0.018833089881508343,0.5328535586766767,0.18302177672059897,0.5754850863597205,0.7543133924742381,0.384821044024856,0.42037045297333236,0.16532357324670838,0.5896931436784596,0.8220183486238533,67,60,65,63,5
drop_chem,BR,G14,0.48105681373380343,0.014858723543112526,0.5473995792958675,0.18450931310645108,0.6108834222689573,0.7744601028301095,0.4108456634649107,0.4630466437011438,0.1689949767089821,0.6630092161267284,0.8520433694745622,67,60,65,63,5
drop_chem,BR,META_PHYS4,0.4821794060283843,0.016153693633634704,0.5478075348900163,0.1845816620750666,0.6128000614426651,0.7740870787580081,0.410343996878208,0.4638256984475051,0.16899891086976124,0.6642841117142971,0.8522657770364193,67,60,65,63,5
drop_chem,BR,FE_ACID,0.4831954352121646,0.01974062516451906,0.5483483089611002,0.18473204097973633,0.6146406265462947,0.7740545348762577,0.4098870960474354,0.4640029376279074,0.16905303615710213,0.6645185747122011,0.8519877675840979,67,60,65,63,5
drop_chem,BR,FE_C64,0.483666615822651,0.013170021428908777,0.5496708505975245,0.18499025468326297,0.6147737631715079,0.7724699941446822,0.40614817318440855,0.46623145727636855,0.16933816480281114,0.6682887575387174,0.8504309146510981,67,60,65,63,5
drop_chem,BR,FE_PHYS4,0.4838734969482714,0.013793556038569937,0.5501048429528306,0.18501325591630852,0.6155536220743043,0.7731640342142765,0.4076064498447211,0.4670852834426126,0.16945979656259283,0.6694442227778556,0.8517097581317765,67,60,65,63,5
drop_chem,BR,RI_PHYS4,0.48464164409988875,0.015538597047917265,0.5530245277510419,0.18555898272644147,0.6175486862630246,0.7762152013503252,0.41078133532680444,0.45876525217099384,0.1690653934951055,0.6551574820074095,0.8510425354462051,67,60,65,63,5
drop_chem,BR,FLAT,0.52995272276441,0.0,0.6057943354616868,0.19237110894358167,0.6854866784472872,0.0,,0.5444456820007617,0.18155570751519448,0.7980781695602122,0.0,67,60,65,63,5
drop_chem,BQ,O_PUBMAG,0.45894815572610703,0.008736510931950426,0.49658888509779364,0.179549548073654,0.5610933351186211,0.7596107393163918,0.4061505846571826,0.39816494680234216,0.15925089249354818,0.554069229608173,0.850208507089241,67,60,65,63,5
drop_chem,BQ,O_WITHIN,0.46315767424648746,0.006579963036437819,0.5338077454652195,0.18246795854546305,0.5751979293904947,0.741669838127226,0.376340675369723,0.42012037849272554,0.16525801257232625,0.5897057624741353,0.8279121490130664,67,60,65,63,5
drop_chem,BQ,FE_ACID,0.48390622453818255,0.008453335782445452,0.5494692398155385,0.18422597841101185,0.6110540764024781,0.7629792166488849,0.40434809526536686,0.46085840611783074,0.16889967972520414,0.659356764704949,0.8569363358354184,67,60,65,63,5
drop_chem,BQ,FE_C64,0.48495884138065753,0.00875882706135025,0.5504834157696619,0.18450461444636113,0.6128406629395542,0.7598411176290043,0.4000253034342934,0.46252538140734045,0.16912716497739583,0.66204010592155,0.8561023074784543,67,60,65,63,5
drop_chem,BQ,META_PHYS4,0.4849814050589575,0.008683470238004441,0.550438696646521,0.18447817289926718,0.6129074896867326,0.7604566019179579,0.4002919199223179,0.46255429677250687,0.16910649678327389,0.6621696628652959,0.8563803169307757,67,60,65,63,5
drop_chem,BQ,G14,0.4850432131934005,0.008835234350741175,0.5505222615776044,0.18449029400972172,0.613017496849016,0.7604566019179579,0.4000026346894695,0.4626893709159801,0.16912094065321595,0.6624111052737782,0.8563803169307757,67,60,65,63,5
drop_chem,BQ,FE_PHYS4,0.4853653357593205,0.008545059022506086,0.551088527264307,0.18452491126311413,0.6135662749394368,0.7604566019179579,0.4000939022813375,0.4630434127177548,0.16915946686983122,0.6630184079706803,0.8563803169307757,67,60,65,63,5
drop_chem,BQ,RI_PHYS4,0.48786574500489077,0.00999368738969084,0.5552536909779481,0.18518169441010993,0.6190198704655915,0.76549114796855,0.41010748388631485,0.45549531663660603,0.16886035792192322,0.6503731594160269,0.8559355018070615,67,60,65,63,5
drop_chem,BQ,FLAT,0.52995272276441,0.0,0.6057943354616868,0.19237110894358167,0.6854866784472872,0.0,,0.5444456820007617,0.18155570751519448,0.7980781695602122,0.0,67,60,65,63,5
drop_chem,A,O_PUBMAG,0.4583979256343286,0.01662471190416927,0.4986681046194459,0.18108620090590358,0.5597628355333185,0.771722010661346,0.41673629443704796,0.3978302501715403,0.15995021809411666,0.5521277342573312,0.8487072560467056,67,60,65,63,5
drop_chem,A,O_WITHIN,0.4609469593266596,0.020997108417685015,0.5344739106579292,0.18339860557904944,0.570891968492929,0.739800188186057,0.3825634365378493,0.41875900762596974,0.16586147285144093,0.5863415683780696,0.824798443147067,67,60,65,63,5
drop_chem,A,FE_PHYS4,0.480565149690667,0.016943468660130523,0.5482099435462555,0.18490427115872476,0.6049353250897862,0.7640458750884811,0.4101000860213495,0.4594601097617294,0.16948133221266545,0.655901287297217,0.8541006394217403,67,60,65,63,5
drop_chem,A,G14,0.4807277327938529,0.017118292362491152,0.5483786360382934,0.18492756474815014,0.605212858455595,0.7640458750884811,0.410144274286913,0.45963473140011946,0.1695035080843008,0.6562033985392391,0.8541006394217403,67,60,65,63,5
drop_chem,A,FE_ACID,0.4811678115693274,0.01778041013695333,0.5491299219852268,0.1849297800258865,0.6059797399833526,0.7635772431912778,0.41059802373650023,0.4600728898326335,0.1695150898682785,0.6569247344303543,0.8550458715596331,67,60,65,63,5
drop_chem,A,FE_C64,0.4817498034321389,0.01807015877825524,0.5488115635870976,0.1850448550132513,0.6069362772039077,0.7640242791485179,0.4101753809499303,0.46059980177894355,0.1696026768380239,0.6578620436485175,0.854045037531276,67,60,65,63,5
drop_chem,A,META_PHYS4,0.4819102905840505,0.017786519689265562,0.5495175270660271,0.18504452627320295,0.6070560025613678,0.7643104253530314,0.40968053621582934,0.4604027762152888,0.16956213789641836,0.657479920531141,0.8546010564359188,67,60,65,63,5
drop_chem,A,RI_PHYS4,0.48629961789292137,0.014091241493612947,0.5557483729597983,0.1856920316027902,0.615645166398701,0.7637918109596027,0.4166085363420858,0.46083825845716087,0.1699828705892477,0.6579078527222324,0.8525437864887406,67,60,65,63,5
drop_chem,A,FLAT,0.52995272276441,0.0,0.6057943354616868,0.19237110894358167,0.6854866784472872,0.0,,0.5444456820007616,0.1815557075151945,0.798078169560212,0.0,67,60,65,63,5
drop_chem,BP,O_PUBMAG,0.4624180605218206,0.018912031750543207,0.5024869954701832,0.17972412709802402,0.5657437179453708,0.7578431120454402,0.39883413585599137,0.3988793312215401,0.15906016455313374,0.5551250344230976,0.8488184598276342,67,60,65,63,5
drop_chem,BP,O_WITHIN,0.4637913324175427,0.022220808908881177,0.5347182112975654,0.1809654011270148,0.5723223900841423,0.7524975540366174,0.39232209795383294,0.41847466096660396,0.1643846617162883,0.5863164515571359,0.8294690019460662,67,60,65,63,5
