var,target,rho_between,rho_within,n_pub_var,n_cells_var,n_pub_scored,med_pub_rho,frac_pub_pos
log_acid_M,a,0.1452470326680133,-0.10563775971693551,19,223,16,-0.13470172825048174,0.4375
log_acid_M,abs_a,-0.20682199239798885,0.35594755799225886,19,223,16,0.24648240509926506,0.625
log_acid_M,b,-0.1355522517743576,0.03141298500992938,19,223,16,-0.24476309590709877,0.375
log_extr_M,a,0.09458065385561013,-0.09035759862103321,12,148,8,-0.02340138319157146,0.375
log_extr_M,abs_a,-0.27354553419949695,-0.3594695090973917,12,148,8,-0.06372573306785445,0.375
log_extr_M,b,0.1832719919042259,0.10298570051164635,12,148,8,-0.0024595948397164095,0.375
log_metal_mM,a,-0.013183009727154006,0.11884551483143893,4,37,3,0.12179888096422466,0.6666666666666666
log_metal_mM,abs_a,0.19774514590731013,-0.046082954730557964,4,37,3,0.0,0.3333333333333333
log_metal_mM,b,0.009831397084657224,-0.12005822416645362,4,37,3,-0.8660254037844386,0.0
temp_C,a,0.047201463225943006,0.0372571105326195,5,47,4,0.06300755299346555,0.75
temp_C,abs_a,-0.005490997959170103,-0.12650088692470807,5,47,4,-0.26772993316102056,0.25
temp_C,b,0.3031664450149494,0.10570622058092044,5,47,4,0.42111389044989717,0.75
log_contact_min,a,-0.13827444944003092,,0,0,0,,
log_contact_min,abs_a,0.07570332986102252,,0,0,0,,
log_contact_min,b,-0.22247509183647435,,0,0,0,,
is_hno3,a,0.18398973580657024,-0.2623777358638124,4,29,2,0.09085823673658108,0.5
is_hno3,abs_a,-0.3466820295916951,0.16267419623556367,4,29,2,0.3032559343580177,1.0
is_hno3,b,0.034529580555479625,0.4023125283245123,4,29,2,-0.020059004196102237,0.5
is_hcl,a,-0.10354831924762944,0.05604931519948876,4,29,2,-0.1952239615271566,0.5
is_hcl,abs_a,0.29908051130573327,0.16254301407851737,4,29,2,-0.13845828908151186,0.5
is_hcl,b,0.021135022798938485,-0.26156347093094756,4,29,2,0.0911535620434746,0.5
is_h2so4,a,0.0,0.22706268978257893,1,20,1,0.2270626897825789,1.0
is_h2so4,abs_a,-0.10690449676496978,-0.34059403467386834,1,20,1,-0.34059403467386834,0.0
is_h2so4,b,0.09354143466934854,-0.17029701733693417,1,20,1,-0.17029701733693417,0.0
complexant,a,-0.17371980724307587,,0,0,0,,
complexant,abs_a,0.17371980724307587,,0,0,0,,
complexant,b,-0.1336306209562122,,0,0,0,,
modifier,a,-0.29903652740676473,0.028738401008519335,3,50,2,0.21882544521764863,1.0
modifier,abs_a,0.1601981396821954,-0.0600455976379119,3,50,2,-0.23461159585148367,0.0
modifier,b,-0.20709672550220043,-0.04864656707028691,3,50,2,0.09846007381221229,0.5
dil_aliphatic,a,-0.27325389119469745,-0.03278621095605261,3,50,2,0.18742304317351463,0.5
dil_aliphatic,abs_a,0.04803060848102339,0.12199520355740502,3,50,2,-0.14236668748455633,0.5
dil_aliphatic,b,-0.24683214542497295,-0.0205866906003121,3,50,2,0.1124538259041088,0.5
dil_aromatic,a,0.34897169156598257,0.010399390783330622,2,43,2,0.39213126433179973,1.0
dil_aromatic,abs_a,-0.1672766178100336,-0.18855085908348254,2,43,2,-0.22334157423921203,0.0
dil_aromatic,b,0.2086170344674628,0.013742052106544035,2,43,2,-0.3800489400541547,0.5
dil_chlorinated,a,0.14824760340854184,-0.004631747968623859,1,39,1,-0.00463174796862386,0.0
dil_chlorinated,abs_a,-0.0903117583983071,0.1435841870273397,1,39,1,0.14358418702733966,1.0
dil_chlorinated,b,0.45752277603670677,0.037053983748990875,1,39,1,0.03705398374899088,1.0
dil_polar,a,-0.033268719267149215,0.024255265187893775,2,43,2,-0.37466941411367366,0.5
dil_polar,abs_a,-0.04859992630270185,-0.05643391700383286,2,43,2,0.10068437373267745,0.5
dil_polar,b,-0.11713042175162211,-0.04948074098330331,2,43,2,0.3620404936066056,0.5
max_logD,a,-0.24703832752613247,-0.08669260274248795,32,279,23,-0.3168056469966699,0.17391304347826086
max_logD,abs_a,0.07543554006968643,0.31338465370756785,32,279,23,0.3168056469966699,0.6956521739130435
max_logD,b,-0.2064459930313589,-0.15186380824145568,32,279,23,-0.08571428571428573,0.43478260869565216
mean_logD,a,-0.12334494773519164,-0.11317110853611434,33,281,23,-0.3506493506493507,0.21739130434782608
mean_logD,abs_a,-0.14425087108013943,0.20763670473983337,33,281,23,0.19777327935222674,0.6086956521739131
mean_logD,b,-0.17473867595818818,-0.09297577663742206,33,281,23,-0.3,0.34782608695652173
n_metals,a,-0.15169679598912872,-0.5337292233100037,17,212,15,-0.12909944487358058,0.13333333333333333
n_metals,abs_a,0.46869508303557883,0.16920263987939813,17,212,15,0.12909944487358058,0.6666666666666666
n_metals,b,-0.18815382198886074,0.4288304787493341,17,212,15,0.0,0.4
