column,top2_share,top1_pub,top1_cells,top1_share
log_acid_M,0.7792320238837106,pub_ca616a18dd,2,0.694266748291656
log_extr_M,0.7176971362265463,pub_ca616a18dd,2,0.6447796669889866
temp_C,0.9410542600524253,pub_bdb1564c49,11,0.8801950588411247
