guard,design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
drop_pub,B,FE_ACID_vs_G14,mae_all,G14,FE_ACID,0.000251640443049355,-0.0004178057236523598,0.001101739023527369,-0.000307916043368696,0.0013655250992593135,0.5262,0.00038822512813051473,0.001087030358765441,0.00012009336550172038,90,15,1,5,-6.801545707199332e-05,0.00041138800934051133,False,0.02,False,False
drop_pub,B,FE_PHYS4_vs_G14,mae_all,G14,FE_PHYS4,-2.58985430999073e-05,-0.00017677829411092154,9.244516881003015e-05,-0.00022834399320592475,6.993836687688885e-05,0.714,6.70617112185848e-05,0.00018777279141203742,1.4663258162744112e-05,90,8,0,5,-5.306884832616281e-05,2.3821034032301263e-05,False,0.02,False,False
drop_pub,B,FE_C64_vs_G14,mae_all,G14,FE_C64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90,0,0,5,0.0,0.0,False,0.02,False,False
drop_pub,B,META_PHYS4_vs_G14,mae_all,G14,META_PHYS4,-1.6028964449312418e-05,-6.825962278434278e-05,6.245209808598099e-05,-8.57177446352884e-05,4.198398111794054e-05,0.7652,3.4713005391496804e-05,9.719641509619104e-05,1.3297864407974973e-05,90,19,0,5,-3.162547941595557e-05,2.452851417674847e-05,False,0.02,False,False
drop_pub,B,RI_PHYS4_vs_G14,mae_all,G14,RI_PHYS4,-0.010323414688930862,-0.019772758817827845,0.002357245739658577,-0.023429022294394333,-0.0005030314938639727,0.1432,0.005993386573985012,0.016781482407158033,-0.004417693927561227,90,34,0,5,-0.011738250392430068,-0.0032116811485694715,True,0.02,False,False
drop_pub,B,O_WITHIN_vs_G14,mae_all,G14,O_WITHIN,0.03337395867296558,-0.002615381052039659,0.05493739653958993,0.004350185312401308,0.058916336440678604,0.0676,0.01495732852889396,0.041880519880903085,0.01520151843680065,90,48,5,5,0.020163098978461018,0.03819808462822663,True,0.02,False,False
drop_pub,B,O_PUBMAG_vs_G14,mae_all,G14,O_PUBMAG,0.053888036351238414,-0.029406098651680847,0.11662043009861095,-0.012108251858974881,0.13872954325096076,0.2884,0.039579970066936435,0.110823916187422,0.02935910959844363,90,51,5,5,0.007675796864009619,0.06716550777307695,True,0.02,False,False
drop_pub,B,FE_PHYS4_vs_FLAT,mae_all,FLAT,FE_PHYS4,0.09609200745577785,0.00590636322334403,0.158481356496195,0.027080798952068306,0.1780511951170332,0.0346,0.04054213384421055,0.11351797476378953,0.0630026229695486,90,58,5,5,0.0500977075590202,0.1059217768839402,True,0.02,True,True
drop_pub,B,G14_vs_FLAT,mae_all,FLAT,G14,0.09611790599887776,0.005863310672363327,0.1584905073827721,0.02704924226869476,0.1780481143871168,0.0348,0.04053173651786575,0.1134888622500241,0.06298795971138585,90,58,5,5,0.05013249664676635,0.10589795584990791,True,0.02,True,True
drop_pub,BR,FE_ACID_vs_G14,mae_all,G14,FE_ACID,-5.8830257406182934e-05,-0.0007840576711735815,0.0006174846624337526,-0.0007034665650925953,0.0007109618793472876,0.8324,0.00035344809659281255,0.000989654670459875,-0.0003139073797912197,90,23,2,5,-0.00029467938942107997,7.126608678527222e-05,False,0.02,False,False
