column,beta_raw_mean,beta_raw_sd,frac_positive,frac_identified
complexant,0.0,0.0,0.0,0.0
is_hno3,0.14846559918758073,0.1379583466777036,0.944,1.0
log_acid_M,-0.026834081959400794,0.13673579225614946,0.296,1.0
temp_C,0.012036549580121497,0.029928294587812026,0.816,0.976
