arm,n_fits,shrink_mean,shrink_zero_frac,cols_identified_mean,beta_l1_mean,beta_raw_l1_mean
FE_PHYS4,125,0.092,0.904,2.976,0.0151785090209345,0.31137067177039207
FE_ACID,125,0.158,0.792,1.0,0.01301326845490274,0.06802467340162031
FE_C64,125,0.03,0.92,26.8,0.026709898350003064,1.1948700939473054
META_PHYS4,125,0.072,0.92,2.352,0.0014890175309611431,0.12929279529690813
FE_NUM14,125,0.088,0.808,12.368,0.09271391324463607,0.9728972893012522
