design,K,cell,chemotype,nats,post_max,collapsed
BP,2,2,sc007,0.4391427743138204,0.5634720129187037,False
BP,4,2,sc007,1.2348163933993273,0.5209773267280045,False
BP,6,2,sc007,0.403396954435026,0.2621141545853114,False
BP,2,6,sc015,0.1651706829452122,0.6293051990074812,False
BP,4,6,sc015,12.590524499782674,0.6155649508400146,False
BP,6,6,sc015,1.459133589403302,0.4236344162009907,False
BP,2,7,sc009,0.5056954679524686,0.547038606770343,False
BP,4,7,sc009,3.30389607342684,0.6476201107495076,False
BP,6,7,sc009,0.6838516270953189,0.29945591598411453,False
BP,2,9,sc009,0.20703588655080304,0.6194871624957835,False
BP,4,9,sc009,2.9237384378056976,0.6708557387633116,False
BP,6,9,sc009,0.12254313113800813,0.23771665104987383,False
BP,2,10,sc009,0.2511835495045519,0.609027072024842,False
BP,4,10,sc009,2.462284023043317,0.6465500485544763,False
BP,6,10,sc009,0.15951087455692836,0.23490029883422894,False
BP,2,13,sc009,0.30028180219541084,0.5972755894700467,False
BP,4,13,sc009,1.8876416297979752,0.6079421804813236,False
BP,6,13,sc009,0.2041042445540845,0.23314376142224252,False
BP,2,14,sc009,0.30028180219541084,0.5972755894700467,False
BP,4,14,sc009,1.8876416297979752,0.6079421804813236,False
BP,6,14,sc009,0.2041042445540845,0.23314376142224252,False
BP,2,16,sc018,0.8089418239042669,0.8180735516718073,False
BP,4,16,sc018,12.153907750293628,0.6952139323914898,False
BP,6,16,sc018,1.7625651189463163,0.3119800346234596,False
BP,2,17,sc018,0.3451668679134374,0.7387679585433905,False
BP,4,17,sc018,7.456245305055681,0.5141607678336607,False
BP,6,17,sc018,1.1536231377812274,0.2780138648805878,False
BP,2,18,sc018,0.8682422090712791,0.8267333046851364,False
BP,4,18,sc018,12.646045274564148,0.6929666740904177,False
BP,6,18,sc018,1.8336587374376394,0.31593086275026794,False
BP,2,19,sc018,1.025997270296175,0.8481810238867536,False
BP,4,19,sc018,13.87317371618247,0.6711220019456346,False
BP,6,19,sc018,2.0176672689182693,0.3260786462350322,False
BP,2,20,sc018,1.7653662496911915,0.9212732873430817,True
BP,4,20,sc018,13.39748193663594,0.670750198876541,False
BP,6,20,sc018,2.6480047107150106,0.38976814434955265,False
BP,2,22,sc018,0.06902234307667388,0.6514424276418389,False
BP,4,22,sc018,4.101961901933015,0.4760260240155645,False
BP,6,22,sc018,0.7617933621496089,0.25979915637781154,False
BP,2,23,sc018,0.2792415087835099,0.7258463143627957,False
BP,4,23,sc018,3.302878728176812,0.4305155029993281,False
BP,6,23,sc018,0.7286817827935637,0.2579854927814618,False
BP,2,24,sc018,0.050439007589714535,0.678054841799106,False
BP,4,24,sc018,5.873658916335399,0.48819532768083773,False
BP,6,24,sc018,1.030780069132015,0.2530938337900001,False
BP,2,26,sc018,0.09403567298844284,0.6874970485592491,False
