model,k,zero_shot,offset_only,no_model,affine,n_ligands
GEN7_everything_EXPLORATORY,0,1.0069838594980025,,,,143
GEN7_everything_EXPLORATORY,1,1.006439205139256,0.7138197339923366,0.8594592328815989,,143
GEN7_everything_EXPLORATORY,2,1.005993078902896,0.6246481846583601,0.7566960469034757,3.4541894160772406,143
GEN7_everything_EXPLORATORY,3,1.0049798953629832,0.5905711596628748,0.7147872306231494,0.8321441601498291,143
GEN7_everything_EXPLORATORY,5,1.0176154009660516,0.5879672881663771,0.7140605582723314,0.5592242930653518,132
GEN7_everything_EXPLORATORY,8,1.0511752203456404,0.6070318092571821,0.7527617294795108,0.504238472272446,99
SELECT_inner,0,1.0205375924621003,,,,143
SELECT_inner,1,1.0197167647478709,0.7355517692383821,0.8650057835165721,,143
SELECT_inner,2,1.02023724519962,0.6363432360311538,0.7532795398463407,3.699752678631231,143
SELECT_inner,3,1.018824649343636,0.6051475026259666,0.7163557347387374,0.8555569353116568,143
SELECT_inner,5,1.0415135282522447,0.5970900281056056,0.7084521463619533,0.5594595384256356,132
SELECT_inner,8,1.0763646862863154,0.622491609305008,0.7533755019797445,0.5207721982928007,99
TREE_MC_ecfp_massaction,0,1.0214400406104047,,,,143
TREE_MC_ecfp_massaction,1,1.0208141155740087,0.7358381538416274,0.8679748246237713,,143
TREE_MC_ecfp_massaction,2,1.0216089711702374,0.6367395396724232,0.7547389914650384,3.320142543151953,143
TREE_MC_ecfp_massaction,3,1.0194809858372584,0.6022958434181291,0.7164776999029554,0.7908234566664827,143
TREE_MC_ecfp_massaction,5,1.0478636107471264,0.5911808942933395,0.7106159605825536,0.5798916361186428,132
TREE_MC_ecfp_massaction,8,1.0764682612839673,0.6142476759712364,0.7504073948644275,0.5111377992833562,99
