design,comparison,family,point,ci95_low,ci95_high,p_registered,p_BH_registered_L3,passes_registered,recomputed_pass
B,G14_saved_vs_0,registered,2.206544553690845,0.5207022547142526,4.117731795599427,0.0,0.0,True,True
BR,G14_saved_vs_0,registered,2.1492837329594243,0.4549873551833919,3.984879465635062,0.0,0.0,True,True
BQ,G14_saved_vs_0,registered,2.1789980625836822,0.4682765413067176,4.069607086751335,0.0,0.0,True,True
A,G14_saved_vs_0,registered,2.4915092721446888,0.7708890886974877,4.544156307830471,0.0,0.0,True,True
BP,G14_saved_vs_0,registered,1.988219820835213,0.442490226935938,3.7807742090797767,0.0,0.0,True,True
B,G14k1_minus_NAIVE_regret,registered,0.0031823470267847,-0.025230526902466,0.021973407137015,0.927,0.9932142857142858,False,False
B,G14k1_minus_NAIVE_spearman,registered,-0.0229280510512138,-0.048806988053546,-0.0047139268079714,0.015,0.028124999999999997,False,False
BR,G14k1_minus_NAIVE_regret,registered,0.0018102920181843,-0.0248149686247218,0.0265974396553142,0.997,0.997,False,False
BR,G14k1_minus_NAIVE_spearman,registered,-0.0216663306500021,-0.0482509139317565,-0.0034066419913208,0.026,0.03899999999999999,False,False
BQ,G14k1_minus_NAIVE_regret,registered,-0.0029088389131337,-0.0252614722912908,0.0197398163267343,0.744,0.8584615384615385,False,False
BQ,G14k1_minus_NAIVE_spearman,registered,-0.0230078326193264,-0.0516548681782278,-0.0052026994709863,0.013,0.027857142857142855,False,False
A,G14k1_minus_NAIVE_regret,registered,-0.0167952772600623,-0.0328807333338442,0.0132414454259923,0.335,0.45681818181818185,False,False
A,G14k1_minus_NAIVE_spearman,registered,-0.0216827602196037,-0.0455282544763528,-0.0034279947782774,0.023,0.03833333333333333,False,False
BP,G14k1_minus_NAIVE_regret,registered,-0.0210382205834268,-0.0418172457497953,0.0206460404170225,0.461,0.57625,False,False
BP,G14k1_minus_NAIVE_spearman,registered,-0.0268296395328392,-0.0505270210466491,-0.0064574067038265,0.013,0.027857142857142855,False,False
