,LP_everything,MET_physical,MET_all,MET_continuous_physical,LP_ecfp_ligphys,MET_continuous,split_seed
LP_everything,1.0,0.9680633668170397,0.9668349307635831,0.9683849776572182,0.9744176939736833,0.9666323702112958,104729
MET_physical,0.9680633668170397,1.0,0.9968888859014772,0.9984583235316435,0.9950467220289386,0.9958449047254133,104729
MET_all,0.9668349307635831,0.9968888859014772,1.0,0.9981682617496795,0.9927989397956757,0.9966033369253511,104729
MET_continuous_physical,0.9683849776572182,0.9984583235316435,0.9981682617496795,1.0,0.9938373469547928,0.9965340598133463,104729
LP_ecfp_ligphys,0.9744176939736833,0.9950467220289386,0.9927989397956757,0.9938373469547928,1.0,0.9938336839437326,104729
MET_continuous,0.9666323702112958,0.9958449047254133,0.9966033369253511,0.9965340598133463,0.9938336839437326,1.0,104729
LP_everything,1.0,0.964606910821718,0.962879470430467,0.9651703646437911,0.9723628195203431,0.9649096669163271,130363
MET_physical,0.964606910821718,1.0,0.9984454672846513,0.9985313503263559,0.9952073929681282,0.9971424911639694,130363
MET_all,0.962879470430467,0.9984454672846513,1.0,0.9986649028407958,0.9946214531858037,0.9965798208065841,130363
MET_continuous_physical,0.9651703646437911,0.9985313503263559,0.9986649028407958,1.0,0.9958345960191652,0.9974566591516575,130363
LP_ecfp_ligphys,0.9723628195203431,0.9952073929681282,0.9946214531858037,0.9958345960191652,1.0,0.9963536539892908,130363
MET_continuous,0.9649096669163271,0.9971424911639694,0.9965798208065841,0.9974566591516575,0.9963536539892908,1.0,130363
LP_everything,1.0,0.965356073668229,0.9643463440322928,0.9628169561635457,0.9699993937497695,0.9688913093865231,155921
MET_physical,0.965356073668229,1.0,0.9984192549867121,0.9982653419528827,0.9952589972416047,0.9970057426387526,155921
MET_all,0.9643463440322928,0.9984192549867121,1.0,0.9986066526293521,0.9947139208696232,0.9961063314713774,155921
MET_continuous_physical,0.9628169561635457,0.9982653419528827,0.9986066526293521,1.0,0.9943892198878899,0.9965047051031064,155921
LP_ecfp_ligphys,0.9699993937497695,0.9952589972416047,0.9947139208696232,0.9943892198878899,1.0,0.9950417402362032,155921
MET_continuous,0.9688913093865231,0.9970057426387526,0.9961063314713774,0.9965047051031064,0.9950417402362032,1.0,155921
