variable,kind,unit,fill_fraction_all,fill_fraction_model,n_model_filled,min,p05,median,p95,max,n_distinct_model,fill_model_lanthanide,fill_model_rare_earth_non_lanthanide,fill_model_actinide,fill_model_transition_metal,fill_model_post_transition_metal,fill_model_alkaline_earth,median_model_lanthanide,n_distinct_model_lanthanide,median_model_rare_earth_non_lanthanide,n_distinct_model_rare_earth_non_lanthanide,median_model_actinide,n_distinct_model_actinide,median_model_transition_metal,n_distinct_model_transition_metal,median_model_post_transition_metal,n_distinct_model_post_transition_metal,median_model_alkaline_earth,n_distinct_model_alkaline_earth,n_groups_varying,n_systems_varying,note,n_groups_with_ge2_rows,n_systems_model
acid_signature,categorical,,0.99994,1,12411,,,,,,8,1,1,1,1,1,1,,8,,2,,3,,2,,1,,1,61,7,,1095,259
acid_primary,categorical,,0.99994,1,12411,,,,,,8,1,1,1,1,1,1,,8,,2,,3,,2,,1,,1,61,7,,1095,259
acid_anion,categorical,,0.99994,1,12411,,,,,,8,1,1,1,1,1,1,,8,,2,,3,,2,,1,,1,61,7,,1095,259
acid_concentration_M,numeric,M,0.989386,1,12411,2.63027e-07,0.01,1.9733,5.84565,24.0244,1763,1,1,1,1,1,1,1.5,736,2,35,2,1181,0.95,22,3,2,2.9,110,748,158,,1095,259
acid_concentration_organic_M,numeric,M,0.116995,0.0061236,76,0.002,0.00375,0.1665,1.105,1.55,39,0.00554273,0,0.00664207,0,0,0.0140845,0.1485,35,,0,0.1485,35,,0,,0,0.35492,4,3,2,,1095,259
nitrate_concentration_M,numeric,M,0.0658318,0.0883088,1096,0.000891251,0.01,0.525119,4,5,118,0.078368,0,0.108303,0,0,0,0.583176,110,,0,0.512589,118,,0,,0,,0,125,62,,1095,259
extractant_primary_concentration_M,numeric,M,0.986047,1,12411,0.00011,0.005,0.1,1,5.81,1446,1,1,1,1,1,1,0.1,422,0.06,20,0.199118,926,0.0501,76,0.02735,42,0.1,117,431,70,,1095,259
extractant_total_concentration_M,numeric,M,0.986047,1,12411,0.00011,0.005,0.1,1,5.81,1453,1,1,1,1,1,1,0.1,430,0.06,20,0.2,935,0.0501,76,0.02735,42,0.1,117,435,72,,1095,259
extractant_concentrations_sorted_M,tuple,M,0.986047,1,12411,,,,,,1464,1,1,1,1,1,1,,440,,20,,943,,76,,42,,117,437,73,,1095,259
metal_concentration_M,numeric,M,0.44198,0.557006,6913,1e-12,1e-09,0.000134,0.05,2.18,339,0.696998,0.474576,0.39428,0.431193,0,0.612676,0.00024,143,0.00222,4,3.3e-05,204,0.005,6,,0,0.0014,9,50,19,,1095,259
phase_ratio_org_aq,numeric,O/A,0.486166,0.58843,7303,0.5,1,1,1,3.5,4,0.551501,0,0.686531,0,0,0,1,1,,0,1,4,,0,,0,,0,2,2,,1095,259
solvent_key,categorical,,1,1,12411,,,,,,81,1,1,1,1,1,1,,72,,4,,47,,4,,1,,3,247,45,,1095,259
diluent_family,categorical,,1,1,12411,,,,,,9,1,1,1,1,1,1,,9,,2,,8,,2,,1,,2,159,32,,1095,259
modifier_name,categorical,,0.0475253,0.0496334,616,,,,,,11,0.0408006,0,0.0573801,0.0275229,0,0.130282,,9,,0,,6,,1,,0,,3,2,1,,1095,259
modifier_concentration_M,numeric,M,0.0472272,0.0492305,611,0.1,0.262341,0.8,2.537,2.537,47,0.0408006,0,0.0564576,0.0275229,0,0.130282,1.9,15,,0,0.73,22,2.12,1,,0,0.5,17,3,2,,1095,259
complexant_signature,categorical,,0.0590936,0.065023,807,,,,,,108,0.10408,0,0.0241697,0,0,0,,54,,0,,69,,0,,0,,0,79,11,,1095,259
complexant_structure_key,categorical,,0.0590936,0.065023,807,,,,,,15,0.10408,0,0.0241697,0,0,0,,12,,0,,12,,0,,0,,0,49,9,,1095,259
complexant_concentrations_sorted_M,tuple,M,0.0590936,0.065023,807,,,,,,85,0.10408,0,0.0241697,0,0,0,,35,,0,,62,,0,,0,,0,77,10,,1095,259
holdback_structure_key,categorical,,0.0658318,0.0883088,1096,,,,,,18,0.078368,0,0.108303,0,0,0,,18,,0,,18,,0,,0,,0,3,1,,1095,259
holdback_concentrations_sorted_M,tuple,M,0.0639237,0.085811,1065,,,,,,12,0.0771363,0,0.104059,0,0,0,,11,,0,,12,,0,,0,,0,3,1,,1095,259
temperature_C,numeric,C,0.932677,0.939731,11663,5,20,25,30,75,26,0.987221,1,0.877306,1,1,1,25,22,25,2,25,18,25,1,25,1,25,2,68,19,,1095,259
contact_time_min,numeric,min,0.565772,0.680525,8446,0.134231,4.996,30,120,1800,92,0.62756,0,0.806273,0,0,0,30,38,,0,30,85,,0,,0,,0,38,17,,1095,259
shaking_time_min,numeric,min,0.171914,0.182419,2264,2,10,30,120,120,14,0.164126,1,0.13155,0.972477,1,0.971831,30,11,30,3,45,10,30,4,30,4,30,10,14,1,,1095,259
pH,not_available,,0,0,0,,,,,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,NOT_RECORDED: the archive has no pH column; acid molarity is never converted to pH (brief 4.3),1095,259
saponification_degree,not_available,,0,0,0,,,,,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,NOT_RECORDED: the archive has no saponification field,1095,259
organic_loading,not_available,,0,0,0,,,,,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,NOT_RECORDED: the archive has no organic-loading field and it is not reconstructed,1095,259
ionic_strength_M,not_available,M,0,0,0,,,,,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,0,0,NOT_RECOVERABLE: speciation/activity data needed to compute it are absent,1095,259
