medium,pub_basis,k_min_rows,p_min_publications,m_min_other,n_cells,n_rows_in_cells,n_systems,n_metal_states,n_families,n_lanthanide_cells,n_lanthanide_cells_series_pm1_present,n_lanthanide_cells_bracketed_pm2,n_cells_series_pm1_present_any_series,n_actinide_cells,n_other_category_cells,n_pr_nd_cells,n_cells_non_diglycolamide_family,n_cells_with_alias_rows,n_cells_hidden_rows_in_system_sharing_component,n_cells_metal_in_system_sharing_component,n_cells_unknown_state_in_system_sharing_component,n_cells_other_known_state_kept_in_system_sharing_component,n_cells_element_in_system_sharing_component,n_cells_hidden_rows_in_system_sharing_parent_structure,n_cells_element_in_system_sharing_parent_structure,n_cells_extra_under_parent_structure_rule,n_cells_multi_acid,n_rows_non_hno3,n_cells_with_acidic_coextractant_rows,n_rows_acidic_coextractant_modifier,n_cells_with_censoring_candidate_rows,n_rows_log_D_censoring_candidate,n_cells_nearest_radius_other_charge,n_cells_radius_bracketed_same_charge,n_lanthanide_cells_radius_bracketed_same_charge,n_cells_failing_only_connectivity,n_cells_also_connected_ge5_edges
HNO3_only,g19_publication_id,20,1,5,78,4302,21,23,6,29,29,25,52,49,0,4,23,27,20,20,3,1,21,22,23,2,0,0,0,0,7,17,9,41,27,0,78
HNO3_only,g19_publication_id,20,2,2,66,4158,23,24,6,21,21,17,41,43,2,3,25,27,20,20,3,2,21,21,22,1,0,0,0,0,7,17,5,30,19,0,65
HNO3_only,g19_publication_id,20,2,3,65,4137,22,24,6,21,21,17,41,42,2,3,24,27,20,20,3,2,21,21,22,1,0,0,0,0,7,17,4,30,19,0,64
HNO3_only,g19_publication_id,20,2,5,57,3821,16,22,5,21,21,17,40,36,0,3,21,25,19,19,2,1,20,20,21,1,0,0,0,0,7,17,3,28,19,0,57
HNO3_only,group_primary_source_doi,5,1,2,353,7488,54,30,10,179,169,144,242,166,8,29,157,49,41,41,20,10,46,51,58,10,0,0,0,0,11,35,56,197,149,0,351
HNO3_only,group_primary_source_doi,5,1,3,327,7148,47,26,10,177,169,144,237,146,4,29,142,49,41,41,20,8,44,51,56,10,0,0,0,0,11,35,40,195,149,0,325
HNO3_only,group_primary_source_doi,5,1,5,298,6607,38,24,8,173,169,144,232,125,0,29,127,46,35,35,16,5,38,43,47,8,0,0,0,0,10,32,31,192,149,0,297
HNO3_only,group_primary_source_doi,5,2,2,150,5259,33,26,7,77,71,59,104,70,3,10,61,44,23,23,6,4,25,25,27,2,0,0,0,0,8,19,11,82,63,0,149
HNO3_only,group_primary_source_doi,5,2,3,147,5212,30,26,7,77,71,59,104,67,3,10,58,44,23,23,6,4,25,25,27,2,0,0,0,0,8,19,8,82,63,0,146
HNO3_only,group_primary_source_doi,5,2,5,135,4832,24,24,6,74,71,59,103,61,0,10,55,41,22,22,5,3,24,24,26,2,0,0,0,0,8,19,7,80,63,0,135
HNO3_only,group_primary_source_doi,10,1,2,230,6731,42,27,9,117,109,94,155,109,4,17,107,47,36,36,17,7,39,40,43,4,0,0,0,0,10,32,31,129,99,0,229
HNO3_only,group_primary_source_doi,10,1,3,218,6480,36,26,9,117,109,94,152,97,4,17,100,47,36,36,17,7,39,40,43,4,0,0,0,0,10,32,25,128,99,0,217
HNO3_only,group_primary_source_doi,10,1,5,199,5999,29,24,8,113,109,94,149,86,0,17,92,44,32,32,13,4,35,35,38,3,0,0,0,0,10,32,20,125,99,0,199
HNO3_only,group_primary_source_doi,10,2,2,127,5117,28,26,7,58,52,42,84,66,3,8,56,42,23,23,6,4,25,25,27,2,0,0,0,0,8,19,10,64,46,0,126
HNO3_only,group_primary_source_doi,10,2,3,125,5079,26,26,7,58,52,42,84,64,3,8,54,42,23,23,6,4,25,25,27,2,0,0,0,0,8,19,8,64,46,0,124
HNO3_only,group_primary_source_doi,10,2,5,113,4699,20,24,6,55,52,42,83,58,0,8,51,39,22,22,5,3,24,24,26,2,0,0,0,0,8,19,7,62,46,0,113
HNO3_only,group_primary_source_doi,20,1,2,91,4774,30,25,7,29,29,25,55,60,2,4,28,29,21,21,4,2,22,23,24,2,0,0,0,0,7,17,12,44,27,0,90
HNO3_only,group_primary_source_doi,20,1,3,87,4640,27,25,7,29,29,25,54,56,2,4,27,29,21,21,4,2,22,23,24,2,0,0,0,0,7,17,10,43,27,0,86
HNO3_only,group_primary_source_doi,20,1,5,78,4302,21,23,6,29,29,25,52,49,0,4,23,27,20,20,3,1,21,22,23,2,0,0,0,0,7,17,9,41,27,0,78
HNO3_only,group_primary_source_doi,20,2,2,66,4158,23,24,6,21,21,17,41,43,2,3,25,27,20,20,3,2,21,21,22,1,0,0,0,0,7,17,5,30,19,0,65
HNO3_only,group_primary_source_doi,20,2,3,65,4137,22,24,6,21,21,17,41,42,2,3,24,27,20,20,3,2,21,21,22,1,0,0,0,0,7,17,4,30,19,0,64
HNO3_only,group_primary_source_doi,20,2,5,57,3821,16,22,5,21,21,17,40,36,0,3,21,25,19,19,2,1,20,20,21,1,0,0,0,0,7,17,3,28,19,0,57
