extractant_primary_smiles,primary_label,n_distinct_primary_names,n_system_keys,total_rows,n_metal_state_columns,n_metal_states_known_ox,n_elements,La(III),La(?),Ce(III),Ce(?),Pr(III),Pr(?),Nd(III),Nd(?),Pm(III),Sm(III),Sm(?),Eu(III),Eu(?),Gd(III),Gd(?),Tb(III),Tb(?),Dy(III),Dy(?),Ho(III),Ho(?),Er(III),Er(?),Tm(III),Tm(?),Yb(III),Yb(?),Lu(III),Lu(?),Sc(?),Y(III),Y(?),Th(IV),Th(?),Pa(V),U(IV),U(VI),U(?),Np(IV),Np(V),Np(VI),Pu(III),Pu(IV),Pu(VI),Pu(?),Am(III),Am(VI),Am(?),Cm(III),Cm(?),Cf(III),Cr(?),Fe(?),Zr(IV),Zr(?),Mo(?),Tc(VII),Ru(?),Pd(II),Pd(IV),Hf(IV),Cd(II),In(III),Pb(II),Pb(?),Bi(III),Bi(?),Ca(II),Ca(?),Sr(II),Sr(III),Sr(?),Ba(II),Ba(?)
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,TODGA,21,10,3424,63,37,34,100,25,109,20,76,21,111,60,0,81,6,502,83,130,6,97,4,95,5,82,4,77,1,76,4,69,0,90,9,10,28,21,52,7,0,4,68,19,0,19,0,0,53,11,16,619,0,153,83,5,9,0,0,13,7,0,7,0,6,5,5,4,5,10,4,11,4,22,12,60,38,63,22,6
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,TEHDGA,2,1,520,39,21,25,4,8,2,1,2,0,12,36,0,3,14,7,64,3,1,2,0,3,8,2,0,3,1,2,0,2,0,3,1,0,0,0,32,16,0,0,27,16,0,21,0,0,3,0,0,65,0,74,0,0,0,1,37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,23,1,1
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA,2,1,462,24,15,15,22,12,21,0,21,0,22,72,0,22,7,22,11,22,18,21,0,22,11,21,17,20,11,19,0,21,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,DEHiBA,1,1,451,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,178,0,16,15,17,26,56,44,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,DEHBA,1,1,447,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,87,0,10,8,15,9,66,14,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC,DHOA,1,1,446,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,198,0,38,8,15,27,90,16,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,1,1,381,26,18,18,16,10,16,0,0,0,19,12,0,16,11,20,11,16,10,14,0,15,20,0,0,13,10,0,0,0,10,1,0,0,0,0,44,0,0,0,19,0,22,17,0,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,1,1,368,21,20,20,44,0,12,0,12,0,37,1,0,13,0,36,0,16,0,12,0,18,0,12,0,13,0,12,0,12,0,17,0,0,0,0,22,0,0,0,24,0,0,21,0,0,1,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,2,1,348,13,13,13,16,0,15,0,16,0,16,0,0,16,0,157,0,16,0,16,0,16,0,16,0,16,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,1,1,216,15,15,15,1,0,1,0,1,0,34,0,1,34,0,1,0,35,0,1,0,34,0,36,0,34,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
