metal_state,metal_symbol,oxidation_state,oxidation_state_known,oxidation_state_plausible_archive,model_rows_acid_M_log10_grid,model_rows_acid_M_below_1e-3,metal_category,atomic_number,model_rows,target_only_rows,no_target_rows,model_systems,model_primary_extractants,model_publications,model_studies,model_acids,model_diluents,logD_min,logD_median,logD_max,logD_sd,frac_model_with_metal_concentration,frac_model_with_phase_ratio,frac_model_with_contact_time,frac_model_with_contact_or_shaking_time
La(III),La,3,True,True,7,0,lanthanide,57,344,91,17,87,86,48,48,6,30,-4.48812,-0.27986,2.8587,1.38299,0.80814,0.694767,0.694767,0.764535
La(?),La,,False,<NA>,0,0,lanthanide,57,86,0,0,6,6,10,10,2,6,-2.49485,0.215755,2.1623,0.925842,0.953488,0,0,0.686047
Ce(III),Ce,3,True,True,7,0,lanthanide,58,293,86,16,71,70,39,39,6,26,-4.46471,-0.113509,3.06967,1.40227,0.757679,0.662116,0.662116,0.78157
Ce(?),Ce,,False,<NA>,0,0,lanthanide,58,21,0,0,2,2,4,4,2,3,-2.27572,1.20472,2.39028,1.30089,1,0,0,0.952381
Pr(III),Pr,3,True,True,7,0,lanthanide,59,348,85,27,80,79,40,40,3,33,-12.4672,-0.0519286,2.36654,1.77542,0.83046,0.747126,0.747126,0.793103
Pr(?),Pr,,False,<NA>,0,0,lanthanide,59,21,0,0,1,1,3,3,2,3,-1.97062,1.64856,2.78576,1.21217,1,0,0,1
Nd(III),Nd,3,True,True,7,0,lanthanide,60,433,85,25,85,82,50,50,7,26,-4.68403,0.26294,2.78947,1.29423,0.73903,0.65358,0.65358,0.745958
Nd(?),Nd,,False,<NA>,0,0,lanthanide,60,252,0,1,9,9,21,21,3,9,-2.43377,0.734764,3.92938,1.26684,1,0,0,0.75
Pm(III),Pm,3,True,True,0,0,lanthanide,61,1,0,0,1,1,1,1,1,1,1.90484,1.90484,1.90484,,1,1,1,1
Sm(III),Sm,3,True,True,7,0,lanthanide,62,323,85,24,80,78,42,42,7,24,-4.9914,0.544068,3.94444,1.49922,0.826625,0.767802,0.767802,0.79257
Sm(?),Sm,,False,<NA>,0,0,lanthanide,62,40,0,0,6,6,5,5,1,3,-2.69897,1.40225,2.3622,1.11505,1,0,0,0.9
Eu(III),Eu,3,True,True,79,112,lanthanide,63,1692,434,34,201,186,73,166,7,60,-4.76195,0.272375,3.58458,1.9597,0.275414,0.400709,0.692671,0.780142
Eu(?),Eu,,False,<NA>,2,0,lanthanide,63,214,1,1,7,7,15,15,1,7,-3,0.518952,3.3709,1.62635,0.883178,0,0,0.981308
Gd(III),Gd,3,True,True,7,0,lanthanide,64,375,75,17,76,75,40,40,7,24,-4.97469,0.730928,3.52778,1.51049,0.8,0.725333,0.725333,0.826667
Gd(?),Gd,,False,<NA>,0,0,lanthanide,64,37,0,0,6,6,5,5,2,5,-1.96257,0.432969,2.42126,0.983641,1,0,0,0.891892
Tb(III),Tb,3,True,True,7,0,lanthanide,65,269,75,0,67,66,34,34,6,24,-4.18642,0.658155,4.07326,1.59586,0.814126,0.713755,0.713755,0.765799
Tb(?),Tb,,False,<NA>,0,0,lanthanide,65,4,0,0,1,1,1,1,1,1,-2.49485,-0.335317,0.988024,1.53753,1,0,0,1
Dy(III),Dy,3,True,True,7,0,lanthanide,66,377,75,0,76,75,39,39,7,26,-4.14327,0.938115,3.94444,1.45035,0.859416,0.785146,0.785146,0.822281
Dy(?),Dy,,False,<NA>,0,0,lanthanide,66,46,0,0,6,6,6,6,2,4,-2.20066,0.77789,2.24375,1.07316,1,0,0,0.913043
Ho(III),Ho,3,True,True,7,0,lanthanide,67,264,75,0,59,59,30,30,7,23,-3.8729,0.998535,4.06757,1.64948,0.848485,0.731061,0.731061,0.784091
Ho(?),Ho,,False,<NA>,0,0,lanthanide,67,21,0,0,2,2,3,3,1,3,-1.98297,1.31211,2.94737,1.32492,1,0,0,1
Er(III),Er,3,True,True,7,0,lanthanide,68,300,77,0,74,74,36,36,7,25,-3.69897,0.804413,4.14619,1.57416,0.873333,0.753333,0.753333,0.776667
Er(?),Er,,False,<NA>,1,0,lanthanide,68,25,0,0,6,6,3,3,2,3,-0.946125,0.721328,1.85325,0.84477,1,0,0,0.84
Tm(III),Tm,3,True,True,7,0,lanthanide,69,201,2,0,55,55,28,28,6,21,-3.52288,0.821029,4.15602,1.54934,0.910448,0.771144,0.771144,0.80597
Tm(?),Tm,,False,<NA>,0,0,lanthanide,69,4,0,0,1,1,1,1,1,1,-1.67162,0.335322,1.8503,1.5034,1,0,0,1
Yb(III),Yb,3,True,True,7,0,lanthanide,70,231,75,0,60,60,33,33,6,24,-3.65365,0.76,4.21499,1.71664,0.887446,0.748918,0.748918,0.748918
Yb(?),Yb,,False,<NA>,0,0,lanthanide,70,14,0,0,2,2,2,2,2,3,-0.346762,0.366369,1.67715,0.68118,1,0,0,1
Lu(III),Lu,3,True,True,7,0,lanthanide,71,247,75,0,61,61,31,31,6,23,-3.65956,0.769828,4.19533,1.67998,0.821862,0.696356,0.696356,0.773279
Lu(?),Lu,,False,<NA>,0,0,lanthanide,71,12,0,0,4,4,3,3,1,2,-1.50307,0.797933,2.15152,1.0314,0.666667,0,0,0.666667
Sc(?),Sc,,False,<NA>,0,0,rare_earth_non_lanthanide,21,10,0,0,1,1,2,2,1,1,-1.46597,-0.13411,1.60441,1.1783,0.5,0,0,1
Y(III),Y,3,True,True,0,0,rare_earth_non_lanthanide,39,28,0,0,1,1,1,1,1,2,-1.45223,1.01534,3.27045,1.42713,0.25,0,0,1
Y(?),Y,,False,<NA>,0,0,rare_earth_non_lanthanide,39,21,0,0,1,1,3,3,2,2,-0.841035,1.0585,2.16244,1.10295,0.761905,0,0,1
Th(IV),Th,4,True,True,2,0,actinide,90,773,37,0,46,45,22,22,1,19,-4,0.0608669,3.31373,1.19829,0.667529,0.930142,0.940492,0.972833
Th(?),Th,,False,<NA>,0,0,actinide,90,29,0,0,4,4,3,3,1,1,-1.76955,0.704151,4.48544,1.95276,1,0,0,0.586207
Pa(V),Pa,5,True,True,0,0,actinide,91,43,9,0,1,1,2,2,1,2,-2.25181,-0.108266,0.942518,0.870703,0.860465,1,1,1
U(IV),U,4,True,True,0,0,actinide,92,15,0,0,3,3,3,3,1,2,-1.35164,0.791087,3.16418,1.27988,0,0,0,0.666667
U(VI),U,6,True,True,1,0,actinide,92,1036,510,1,49,47,42,42,1,18,-3.08417,0.195869,2.08628,0.896259,0.528958,0.793436,0.859073,0.878378
U(?),U,,False,<NA>,0,0,actinide,92,46,0,1,5,5,6,6,1,1,-2.69897,-0.301813,1.85437,1.19933,0.73913,0,0,0.652174
Np(IV),Np,4,True,True,0,0,actinide,93,216,7,0,16,16,8,8,1,10,-3.12772,0.0101724,2.71339,1.08125,0.675926,0.898148,0.898148,0.898148
Np(V),Np,5,True,True,0,0,actinide,93,187,7,0,13,13,5,5,1,7,-4.0556,-1.30505,-0.221719,0.816294,0.0909091,1,1,1
Np(VI),Np,6,True,True,0,0,actinide,93,67,12,0,11,11,6,6,1,4,-2.48009,0.4,1.84132,1.06546,0.238806,0.940299,0.940299,0.940299
Pu(III),Pu,3,True,True,1,0,actinide,94,118,0,0,9,9,6,6,1,3,-3.81124,-1.66247,2.51064,1.26489,0.5,1,1,1
Pu(IV),Pu,4,True,True,3,0,actinide,94,580,180,6,54,52,40,40,1,10,-3.69925,0.29374,3.89209,1.31403,0.317241,0.813793,0.843103,0.893103
Pu(VI),Pu,6,True,True,0,0,actinide,94,107,12,0,13,13,8,8,1,5,-2.12784,-0.303371,2.02806,0.90854,0.504673,0.962617,0.962617,0.962617
Pu(?),Pu,,False,<NA>,0,0,actinide,94,16,0,0,1,1,3,3,1,1,-0.821023,1.58298,2.18417,1.00228,0.25,0,0,1
Am(III),Am,3,True,True,100,41,actinide,95,1733,14,28,129,114,39,133,3,37,-4,0.0430477,4.21062,1.79965,0.139642,0.510098,0.818234,0.983266
Am(VI),Am,6,True,True,0,0,actinide,95,27,27,0,3,3,1,1,1,1,-2.23438,0.0120862,0.904269,0.999437,1,1,1,1
Am(?),Am,,False,<NA>,0,0,actinide,95,274,0,1,5,5,14,14,1,5,-3,0.696768,2.67708,1.6125,0.660584,0,0,0.89781
Cm(III),Cm,3,True,True,22,7,actinide,96,135,0,16,12,11,12,17,1,6,-3.39794,0.30103,3.82607,1.60271,0.22963,0.592593,0.755556,0.940741
Cm(?),Cm,,False,<NA>,0,0,actinide,96,9,0,0,2,2,2,2,1,2,-2.97104,-0.813397,2.03226,1.68854,1,0,0,1
Cf(III),Cf,3,True,True,0,0,actinide,98,9,0,14,2,1,2,2,1,2,0.365625,2.19312,3.74687,1.17197,0.333333,1,1,1
Cr(?),Cr,,False,<NA>,0,0,transition_metal,24,1,0,0,1,1,1,1,1,1,-1.284,-1.284,-1.284,,1,0,0,0
Fe(?),Fe,,False,<NA>,0,0,transition_metal,26,37,0,0,1,1,1,1,1,4,-1,-0.522879,1.3317,0.700442,1,0,0,1
Zr(IV),Zr,4,True,True,0,0,transition_metal,40,13,0,0,1,1,2,2,1,1,-0.570571,0.668712,1.94479,0.849195,0,0,0,1
Zr(?),Zr,,False,<NA>,0,0,transition_metal,40,7,0,0,1,1,2,2,1,1,-0.570248,0.666705,1.91566,1.01127,1,0,0,1
Mo(?),Mo,,False,<NA>,0,0,transition_metal,42,1,0,0,1,1,1,1,1,1,-0.244125,-0.244125,-0.244125,,1,0,0,0
Tc(VII),Tc,7,True,True,0,0,transition_metal,43,21,0,0,3,3,1,1,1,1,-1.60033,0.254064,1.69526,0.903542,0,0,0,1
Ru(?),Ru,,False,<NA>,0,0,transition_metal,44,1,0,0,1,1,1,1,1,1,-2.30103,-2.30103,-2.30103,,1,0,0,0
Pd(II),Pd,2,True,True,0,0,transition_metal,46,18,0,0,3,3,1,1,1,1,-1.098,0.672007,2.44818,0.977292,0,0,0,1
Pd(IV),Pd,4,True,True,0,0,transition_metal,46,5,0,0,1,1,1,1,1,1,-2.48149,-1.64975,-0.398809,0.859455,0,0,0,1
Hf(IV),Hf,4,True,True,0,0,transition_metal,72,5,0,0,1,1,1,1,1,1,-1.19654,0.6319,1.93252,1.18553,0,0,0,1
Cd(II),Cd,2,True,True,0,0,post_transition_metal,48,4,0,0,1,1,1,1,1,1,-2.69897,-1.37497,-0.550059,0.916915,0,0,0,1
In(III),In,3,True,True,0,0,post_transition_metal,49,5,0,0,1,1,1,1,1,1,-1.9431,-0.00833099,0.928933,1.17609,0,0,0,1
Pb(II),Pb,2,True,True,0,0,post_transition_metal,82,10,0,0,1,1,2,2,1,1,-1.80134,0.0171394,0.897946,0.922285,0,0,0,1
Pb(?),Pb,,False,<NA>,0,0,post_transition_metal,82,4,0,0,1,1,1,1,1,1,-1.11126,0.0356965,0.86508,0.847612,0,0,0,1
Bi(III),Bi,3,True,True,0,0,post_transition_metal,83,17,0,0,2,2,2,2,1,1,-0.748849,0.158574,1.64049,0.685768,0,0,0,1
Bi(?),Bi,,False,<NA>,0,0,post_transition_metal,83,4,0,0,1,1,1,1,1,1,-0.460297,0.357136,1.65873,0.903582,0,0,0,1
Ca(II),Ca,2,True,True,0,0,alkaline_earth,20,22,0,0,1,1,2,2,1,1,-1.60206,0.176993,2.05098,1.28363,0.772727,0,0,1
Ca(?),Ca,,False,<NA>,0,0,alkaline_earth,20,12,0,0,1,1,2,2,1,1,-1.27003,0.595795,2.10456,1.2804,0.5,0,0,1
Sr(II),Sr,2,True,True,0,0,alkaline_earth,38,94,0,0,5,5,5,5,1,2,-2.52288,-0.727466,1.60457,1.16074,0.670213,0,0,1
Sr(III),Sr,3,True,False,0,0,alkaline_earth,38,38,0,0,1,1,2,2,1,3,-1.82974,-0.741792,3.33514,1.14295,0.210526,0,0,1
Sr(?),Sr,,False,<NA>,0,0,alkaline_earth,38,86,0,1,2,2,7,7,1,1,-3.69897,-0.164353,1.60516,1.30143,0.767442,0,0,0.918605
Ba(II),Ba,2,True,True,0,0,alkaline_earth,56,25,0,0,4,4,2,2,1,2,-3.52288,-1.39469,-0.247567,0.930185,0.52,0,0,1
Ba(?),Ba,,False,<NA>,0,0,alkaline_earth,56,7,0,0,2,2,2,2,1,1,-2.88606,-1.39362,-0.26233,1.0489,0.142857,0,0,0.857143
