path,group,bytes,bytes_lf,sha256,sha256_lf,recorded_sha256,recorded_bytes,recorded_source,recorded_bytes_match,manifest_match,raw_checksum_sha256,raw_checksum_match,has_recorded_digest,verified,is_headline_dataset_hash
dataset_all_metals/clean/master_clean.csv,clean,36567890,36537128,cd6991a29cabb355c676dc3397bd9c40289fbbfc0b3332836eb4963511a8e936,e69469839124eced6bb188a858c1996af02f5fe7386564e273965309064c4cfa,e69469839124eced6bb188a858c1996af02f5fe7386564e273965309064c4cfa,36537128,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/clean/master_clean.parquet,clean,2389792,,7b32979383c5246f22d36ade6246231a347ea22490f4589a76e189af07b09b01,,7b32979383c5246f22d36ade6246231a347ea22490f4589a76e189af07b09b01,2389792,manifest.json:artifacts,binary,binary,,no_recorded_digest,True,True,True
dataset_all_metals/clean/non_lanthanide_clean.parquet,clean,1048384,,9ddaaf457ee3896fe68f11f5ae9210c6821346857bb7ba11b65e45df8d49cec7,,9ddaaf457ee3896fe68f11f5ae9210c6821346857bb7ba11b65e45df8d49cec7,1048384,manifest.json:artifacts,binary,binary,,no_recorded_digest,True,True,False
dataset_all_metals/clean/single_component_clean.parquet,clean,2002606,,b1f10660ee9fc3bc587190832d0e0f7252efe20feb68d4807a6b1f75bb18dfd9,,b1f10660ee9fc3bc587190832d0e0f7252efe20feb68d4807a6b1f75bb18dfd9,2002606,manifest.json:artifacts,binary,binary,,no_recorded_digest,True,True,False
dataset_all_metals/intermediate/curve_membership.parquet,intermediate,233554,,180c3760ce14132f0995b4f07a5049b5130585349d96e202b84bd5ff81024cd6,,180c3760ce14132f0995b4f07a5049b5130585349d96e202b84bd5ff81024cd6,233554,manifest.json:artifacts,binary,binary,,no_recorded_digest,True,True,False
dataset_all_metals/intermediate/raw_row_mapping.parquet,intermediate,721771,,b67dc5196fb3a6da2ba7ad3cbcdeaff87bb3eff090af373ec4a9a6ddf8c12139,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/intermediate/raw_rows.parquet,intermediate,1311911,,7b55a06adb3d8a288cff227e7b2e1455166113f6f47353abd915086b422be6db,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/intermediate/records_collapsed.parquet,intermediate,1240805,,d21ad437e69eda5009bd34a99efe1bde5818de4674d1eabd7167237a9e069b59,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/intermediate/records_grouped.parquet,intermediate,2360333,,fce0d5146175081bd9227fd9418e6c68eef133b6fc8e13205e9e3e252bedb6a1,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/intermediate/records_normalized.parquet,intermediate,1781037,,1130268ff762ed9e3f3f5928c55ce6628a23369da04f0f52db5295bbb3e3883e,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/intermediate/records_with_series.parquet,intermediate,2381518,,1c987484019f07c3cb4519b3a6cfeae28dde7b269aa08fbc08eeab64f7e4a9a8,,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/raw/Am.csv,raw,1723117,1720223,20610d93c63bdb31bce49b06e6c390a52c68b59f45357a6a2a45d95bce96b9d1,e9c9a178156437d5dd5a0c910318935e801488b5acd82c3eb99bf23f84cedac6,20610d93c63bdb31bce49b06e6c390a52c68b59f45357a6a2a45d95bce96b9d1,1723117,manifest.json:raw_inputs,binary,binary,20610d93c63bdb31bce49b06e6c390a52c68b59f45357a6a2a45d95bce96b9d1,binary,True,True,False
dataset_all_metals/raw/Ba.csv,raw,632257,630712,b0047be82bf451d644f474e0bb23ab18299ed6a8c2cdf87fbba4e65b073911a0,f1d2bc7829b28a2a6c1e0dee49f7de44b55a6b468c7bb9d2c7f931f3eb44a90b,b0047be82bf451d644f474e0bb23ab18299ed6a8c2cdf87fbba4e65b073911a0,632257,manifest.json:raw_inputs,binary,binary,b0047be82bf451d644f474e0bb23ab18299ed6a8c2cdf87fbba4e65b073911a0,binary,True,True,False
dataset_all_metals/raw/Bi.csv,raw,204925,204612,f76176ed7f6e2502c773da97e9af3c1125ed0dc8373d1c012f783eeaad2f65a5,e09a9a83bb86544fd696ada45135e1c7aa625e403de714b77aeaf5937d41d591,f76176ed7f6e2502c773da97e9af3c1125ed0dc8373d1c012f783eeaad2f65a5,204925,manifest.json:raw_inputs,binary,binary,f76176ed7f6e2502c773da97e9af3c1125ed0dc8373d1c012f783eeaad2f65a5,binary,True,True,False
