path,group,bytes,bytes_lf,sha256,sha256_lf,recorded_sha256,recorded_bytes,recorded_source,recorded_bytes_match,manifest_match,raw_checksum_sha256,raw_checksum_match,has_recorded_digest,verified,is_headline_dataset_hash
dataset_all_metals/raw/Zr.csv,raw,7388,7367,11f81354e028f3a2d164408c13556d9f0c80a6e4a10549549490b26c30dde2f7,c195d6bc74a0f66bfcafef020d38ece6c5ba8c29a170ac91c7a6569bb65fe965,11f81354e028f3a2d164408c13556d9f0c80a6e4a10549549490b26c30dde2f7,7388,manifest.json:raw_inputs,binary,binary,11f81354e028f3a2d164408c13556d9f0c80a6e4a10549549490b26c30dde2f7,binary,True,True,False
dataset_all_metals/reports/_report_payload.json,reports,26267,25462,8bc5db03f4fabc7061f8834aac27d9b7d3b8a6dba0b52eafe3b093a9aabaceb7,f30fd8576d0af00ba531cb80ae2be397f8b87fef98755b7f37998eb0f96e6ebc,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/reports/determinism_check.json,reports,112,105,778126e9589995b3670bac243005187aa4bfa5de37387c02a65a3b0e5d2e68c4,d0948ff3b16dcac3ed251382081c72d18a6cb71d96426e3484683e0e10f289b4,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/reports/extractant_coverage.csv,reports,33274,33010,e0a9f4bb686d1b0c6fc410f88020e28b374fca298bc39563a6433d2a5f494029,f6107165636cfb889b41b7d2c23bd9069d5840f94c67cb2ba9c60f1e9af03702,f6107165636cfb889b41b7d2c23bd9069d5840f94c67cb2ba9c60f1e9af03702,33010,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/extractant_metal_matrix.csv,reports,35393,35133,5d0082a3992f2d25c6087537d76b20e71a65aee961577c880343902558a999c3,176aadbd408446bb632a55953a41947f723340fab55aa22fb9e2487b3ab66803,176aadbd408446bb632a55953a41947f723340fab55aa22fb9e2487b3ab66803,35133,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/field_mapping.csv,reports,7931,7892,3d0e16d970a35ff6f4566ad49bb3f697e912d4daa7c43234e38cc11e4e357bf6,4fafe3044f6c814c6e61f3c111e30995776e2ab327a4df189a3ac94e21c818ee,4fafe3044f6c814c6e61f3c111e30995776e2ab327a4df189a3ac94e21c818ee,7892,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/manifest.json,reports,11289,10985,d9ff4db36e0c866832895e1cac04dd840c07270fa4fe80b61d7ae51e1843f689,a185cd48b477fe273e92bca0b8ec46243021579e032db113543db5a8feff690b,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/reports/metal_coverage.csv,reports,6488,6446,4f62bb5df925197d9c469f0ec1ee11cfa3da16f6ce7bcba3c55d21dead88b26c,be974cc9ce7e90581ab930834307a7735d3af05b1f2d50699561247debd1d68e,be974cc9ce7e90581ab930834307a7735d3af05b1f2d50699561247debd1d68e,6446,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/normalization_log.json,reports,12871,12443,9c53b3990ec4246b25dfb9cc7151e33e148fa0d35605c69b5869e86d33e1dd41,078611e9b027b86db6e2b7696e4bf7b08d7d020b425500eca3406656664cf6d6,078611e9b027b86db6e2b7696e4bf7b08d7d020b425500eca3406656664cf6d6,12443,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/quality_report.md,reports,17191,16917,daca16c7426c778c2c06ce8621922531706d810c461faccd5740358da120ebea,3275827e1f2b18b443456bdf33e20c201eebc3a3d0fcadaf9563237edeae39b7,3275827e1f2b18b443456bdf33e20c201eebc3a3d0fcadaf9563237edeae39b7,16917,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/raw_checksums.sha256,reports,3035,2994,3d2fc68de737766931241d2eb4c3da609609740d29c4129776970dca59ca9875,be970e6bdd9d3835ef184ffbcec54a2ad30ab7e72995a5e1a6e5d17ef75a6426,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/reports/row_accounting.json,reports,1872,1812,dcb478df03145c7c2f7af3907c54644503238e29ece88733f1247b0c73c4aa90,2a62e0d64b66f700766d3488927457e492f71bee4c80df77ad939e8df3a4869e,2a62e0d64b66f700766d3488927457e492f71bee4c80df77ad939e8df3a4869e,1812,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/reports/schema.md,reports,7924,7756,829ea86dad714f4eb1e31ac572f11fe6e95fd30569362262b7ee8920223784a2,83447015f8e62f9999cd2babb87fc0b373b33b8a12f8e1d5c56880231fad2829,83447015f8e62f9999cd2babb87fc0b373b33b8a12f8e1d5c56880231fad2829,7756,manifest.json:artifacts,lf_normalised,lf_normalised,,no_recorded_digest,True,True,False
dataset_all_metals/scripts/fetch_crossref.py,scripts,5148,5027,2e8b4e3ef4c52105e07b9e19155869797a9af9949b13939611439ee919a0e474,fa8c6df5c0903ac308ae2d93c6062ae3d81546cc531972083441ae6869ba7f0a,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/run_all.py,scripts,3217,3134,08a7f70c139e3ae6a7db7f58e3fc346e42b607cfcea531a00607320494016044,0a16930657829249971289aa7e254d52306feaa330d4ac35b8e7d90262507c9f,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_chem.py,scripts,7850,7682,b72025d57afea6cfcd2976a31c92afa18b9151c85cf07ba7687c7aa58ee7755d,78735ff03cea760778fe41762a79c818f4d4077a61008204aeb560a55b435986,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_identity.py,scripts,9580,9354,03391019f0e56a1a8523acd677c19a7c804dbaee7cb80b7ecad3c7b593c900cb,490eb82f1460a8d4c755f0833c306922e7645216c0f3a578fd3255b96461cf03,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_normalize.py,scripts,18308,17866,7aa523000a03d2d59adad9c63b3c040ab6187cdc4dad1ac821c1f0fc065f05df,05096d1399c1510230ead5a30f5a0286972f1b689b6759f9210382911014bd72,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_paths.py,scripts,729,707,fc9f8245b36b5034b45864b501a0e145d4e803bdf89a7eaa2c4aae8d02332056,6933919da2dfdb6ff98979b049ae24adb478124627dfe21784eb78be0fc036fd,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_schema.py,scripts,4749,4653,90e11694d550072b287554dc2a244f6140dd22e07807cad9a03f261f0c61af4d,4baf5dce208ef27e988dd9c0eb2246b58ad002631c1d7b5b28158ee940d41376,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/sae_structures.py,scripts,1830,1770,49291e90ca2b1a4a813865eb88a3f0088ce1bd01d618db0ce4a586d4ea32b899,b46e83da34e5f17bd13716428a7ccf10d3709585b0b1d31ffbd4eaa054d17ccc,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage01_ingest.py,scripts,5488,5362,76c6891606de52558b4afb27fcbeb4299b64f0bdc11c07e5321f97faf0ee71ac,32523b3cc063113eb7ed73191498b23da58820717048b67d0304af99a5363095,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage02_normalize.py,scripts,36068,35333,829437146ed3194fb4af8b80445ddf8c22a7d80e3960061f295dff3571d2ee97,d199f3221368155d8415649ec163c2f321184d1e7b143972f33e7488cbeeff01,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage03_dedup.py,scripts,24461,24001,2cd359d95d93be83298acfcf70935e69095da87f9d536e35e3c432afff390ebe,4c8d3d101b8f499c353ef26a46ff8f08b9150603295d8c3968e780a5f509fd44,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage04_series.py,scripts,13486,13204,492e152e43d65fcc9d54b6c08b0ce35411aeb172b20e635d8f00c0b4afca664c,65e9f5ad9fc47e97215796afa677dceab6a55617f35e7e43413f3400c123cd5f,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage05_export.py,scripts,22697,22304,b65c41ab2675ed7e8cdfe39914dd12b326a7a1f8b9642981ccec0b7ef492f36c,92e6cd502b5ce991269f0ce4ab88873ab6af261e1a6c88c506e5a39aa951d814,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage06_report.py,scripts,9553,9370,6f2f2e1a03e780b12fca2e69e6284ca1d13774492e0c94a25ae097eebec35872,478f6c9d89792348abf7ce6430d9eb2226896a3cab4034034be29c90532dea2c,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage06b_field_mapping.py,scripts,10796,10600,b8342afcee8827f9a0e54548d513564ca4dc188259303c513d975ecc3e13166a,1c58cc539ee5d20c6ed767fc853b4264c2cdce764650d63984256c37e6635a35,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage06c_quality.py,scripts,25041,24594,49c8cf63bb831be41ab4db5e8b48c1452d3fe4c9ee43734bc24c5384016373f8,50d6861de75544621ffac17fade9b417b4a82876fc5d7ad99c6b56374f1322c5,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/scripts/stage07_manifest.py,scripts,5230,5103,facf23d5258f41b59f820e28a000b35c67eea9cd07036f7f09e581ae3fe5ec0b,3c472a5058fa6143071d0e64d959ce25c2d522d4b9414a1def273c71ad2283b7,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset_all_metals/tests/test_sae_dataset.py,tests,33133,32418,08b02f187114f0917d46f76f77581ce1e1a40df8a96ef6e8e9adca7265fac69e,fe0c944f830a8378c022e44a741748b8412b31e786b03b68926666ab223bc1e3,,,,,no_recorded_digest,,no_recorded_digest,False,,False
dataset with 3D structures/dataset.parquet,bundle,2802776,,fefbefc6fe993aa9ce9db1a0c338adb9e5f58a8b75bab084cc1df4e024faf5dd,,fefbefc6 (prefix),,gen3_protocol.json / gen13sep.paths (pinned prefix),,binary_prefix,,no_recorded_digest,True,True,False
