g19_publication_id,n_rows,n_model_rows,g19_publication_status,g19_publication_refs,corrected_publication_id,group_corrected_doi,n_publications_in_group_corrected_doi,n_model_rows_in_group_corrected_doi,n_edges_corrected_doi,group_primary_source_doi,n_publications_in_group_primary_source_doi,n_model_rows_in_group_primary_source_doi,n_edges_primary_source_doi,group_archive_duplicate_group,n_publications_in_group_archive_duplicate_group,n_model_rows_in_group_archive_duplicate_group,n_edges_archive_duplicate_group,group_cross_publication_copy,n_publications_in_group_cross_publication_copy,n_model_rows_in_group_cross_publication_copy,n_edges_cross_publication_copy,group_near_duplicate_key,n_publications_in_group_near_duplicate_key,n_model_rows_in_group_near_duplicate_key,n_edges_near_duplicate_key,group_compilation_doi,n_publications_in_group_compilation_doi,n_model_rows_in_group_compilation_doi,n_edges_compilation_doi
pub_bdb1564c49,134,134,DOI,10.1007/s41365-016-0055-0,pub_bdb1564c49,pub_bdb1564c49,1,134,86,pub_bdb1564c49,1,134,168,pub_bdb1564c49,1,134,7,pub_bdb1564c49,1,134,93,pub_bdb1564c49,1,134,926,pub_bdb1564c49,1,134,3028
pub_be51bfd47a,27,3,DOI,10.1016/j.molliq.2020.113685,pub_be51bfd47a,pub_be51bfd47a,1,3,86,pub_be51bfd47a,1,3,168,pub_be51bfd47a,1,3,7,pub_be51bfd47a,1,3,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_bef16e560c,50,50,DOI,10.1080/07366299.2013.836422,pub_bef16e560c,pub_bef16e560c,1,50,86,pub_bef16e560c,1,50,168,pub_bef16e560c,1,50,7,pub_bef16e560c,1,50,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_c07b8473b8,39,14,REPORT,https://inis.iaea.org/collection/nclcollectionstore/_public/33/048/33048023.pdf?r=1,pub_c07b8473b8,pub_c07b8473b8,1,14,86,pub_c07b8473b8,1,14,168,pub_c07b8473b8,1,14,7,pub_c07b8473b8,1,14,93,pub_c07b8473b8,1,14,926,pub_c07b8473b8,1,14,3028
pub_c1842c94a5,159,0,DOI,10.1080/07366299.2017.1400161,pub_c1842c94a5,pub_c1842c94a5,1,0,86,pub_c1842c94a5,1,0,168,pub_c1842c94a5,1,0,7,pub_c1842c94a5,1,0,93,pub_c1842c94a5,1,0,926,pub_c1842c94a5,1,0,3028
pub_c254904e97,28,0,DOI,10.1080/01496395.2014.959133,pub_c254904e97,pub_c254904e97,1,0,86,pub_c254904e97,1,0,168,pub_c254904e97,1,0,7,pub_c254904e97,1,0,93,pub_c254904e97,1,0,926,pub_c254904e97,1,0,3028
pub_c2d786b979,67,67,DOI,10.13182/nt01-a3198,pub_c2d786b979,pub_c2d786b979,1,67,86,pub_4a1871d85d,2,114,168,pub_4a1871d85d,2,114,7,pub_4a1871d85d,2,114,93,pub_4a1871d85d,2,114,926,pub_007f4c9de0,36,2134,3028
pub_c5c230f0ad,58,58,DOI,10.1021/acssuschemeng.4c06166x | 10.1081/sei-120030396,pub_a2c7d6cd67,pub_c5c230f0ad,1,58,86,pub_c5c230f0ad,1,58,168,pub_9055eb0be9,3,120,7,pub_1b7737c507,7,261,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_c649e663f3,4,4,DOI,10.1016/j.hydromet.2016.05.007,pub_c649e663f3,pub_c649e663f3,1,4,86,pub_c649e663f3,1,4,168,pub_c649e663f3,1,4,7,pub_c649e663f3,1,4,93,pub_c649e663f3,1,4,926,pub_c649e663f3,1,4,3028
pub_c675bb1c79,65,0,DOI,10.1080/07366299.2017.1373997,pub_c675bb1c79,pub_c675bb1c79,1,0,86,pub_c675bb1c79,1,0,168,pub_c675bb1c79,1,0,7,pub_c675bb1c79,1,0,93,pub_c675bb1c79,1,0,926,pub_c675bb1c79,1,0,3028
