grouping,n_groups_with_model_rows,largest_group_rows,largest_group_share,top5_share,n_groups_ge10_rows,rows_in_groups_ge10,n_groups_ge20_rows,rows_in_groups_ge20,n_groups_ge50_rows,rows_in_groups_ge50
g19_publication_id,157,1096,0.0883088,0.275804,134,12323,116,12073,68,10552
group_corrected_doi,155,1096,0.0883088,0.275804,133,12324,115,12074,67,10552
group_primary_source_doi,153,1096,0.0883088,0.275804,132,12325,114,12075,67,10600
group_cross_publication_copy,139,1096,0.0883088,0.304246,120,12339,103,12102,64,10909
group_near_duplicate_key,118,2190,0.176456,0.391105,101,12346,86,12144,54,11148
group_compilation_doi,100,2190,0.176456,0.510031,83,12346,70,12171,43,11348
