procedure,rejection_rate_at_5pct,mc_se,sims,tails,icc,n_clusters,kish_clusters
pairs_percentile_OLD,0.071,0.004,3000,normal,0.72,45,11.67
iid_t,0.442,0.004,3000,normal,0.72,45,11.67
cr1_normal,0.106,0.004,3000,normal,0.72,45,11.67
cr1_tG1,0.099,0.004,3000,normal,0.72,45,11.67
cr2_tG1,0.078,0.004,3000,normal,0.72,45,11.67
cr2_bm,0.058666666666666666,0.004,3000,normal,0.72,45,11.67
cr3_bm,0.04566666666666667,0.004,3000,normal,0.72,45,11.67
wcr_cr2,0.043666666666666666,0.004,3000,normal,0.72,45,11.67
wcr_cr3,0.044333333333333336,0.004,3000,normal,0.72,45,11.67
pairs_percentile_OLD,0.06833333333333333,0.004,3000,normal,0.3,45,11.67
iid_t,0.252,0.004,3000,normal,0.3,45,11.67
cr1_normal,0.10833333333333334,0.004,3000,normal,0.3,45,11.67
cr1_tG1,0.10033333333333333,0.004,3000,normal,0.3,45,11.67
cr2_tG1,0.07966666666666666,0.004,3000,normal,0.3,45,11.67
cr2_bm,0.058333333333333334,0.004,3000,normal,0.3,45,11.67
cr3_bm,0.04833333333333333,0.004,3000,normal,0.3,45,11.67
wcr_cr2,0.043666666666666666,0.004,3000,normal,0.3,45,11.67
wcr_cr3,0.042,0.004,3000,normal,0.3,45,11.67
pairs_percentile_OLD,0.077,0.004,3000,t3,0.72,45,11.67
iid_t,0.35733333333333334,0.004,3000,t3,0.72,45,11.67
cr1_normal,0.1,0.004,3000,t3,0.72,45,11.67
cr1_tG1,0.09266666666666666,0.004,3000,t3,0.72,45,11.67
cr2_tG1,0.07566666666666666,0.004,3000,t3,0.72,45,11.67
cr2_bm,0.05466666666666667,0.004,3000,t3,0.72,45,11.67
cr3_bm,0.04133333333333333,0.004,3000,t3,0.72,45,11.67
wcr_cr2,0.04766666666666667,0.004,3000,t3,0.72,45,11.67
wcr_cr3,0.04666666666666667,0.004,3000,t3,0.72,45,11.67
pairs_percentile_OLD,0.076,0.004,3000,t3,0.3,45,11.67
iid_t,0.20866666666666667,0.004,3000,t3,0.3,45,11.67
cr1_normal,0.08966666666666667,0.004,3000,t3,0.3,45,11.67
cr1_tG1,0.08133333333333333,0.004,3000,t3,0.3,45,11.67
cr2_tG1,0.07066666666666667,0.004,3000,t3,0.3,45,11.67
cr2_bm,0.051333333333333335,0.004,3000,t3,0.3,45,11.67
cr3_bm,0.043,0.004,3000,t3,0.3,45,11.67
wcr_cr2,0.046,0.004,3000,t3,0.3,45,11.67
wcr_cr3,0.048,0.004,3000,t3,0.3,45,11.67
