model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows,macro_mae_sd,macro_mae_min,macro_mae_max,offset_mae_sd,offset_mae_min,offset_mae_max,shape_mae_sd,shape_mae_min,shape_mae_max,n_seeds
TREE_MC_ecfp_massaction,0.9976344167521161,0.8468032098238432,0.5045321621344738,0.17033813399898876,1.0139824355158615,1.1431440280645824,0.2582134078224601,0.44650681336093695,0.9091832519090195,1.979912479809357,0.4324772268376795,0.6266122281782854,0.2853150406504065,0.5010797764227642,0.4991264182362649,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8408677410292847,0.7260329994352738,0.39061745173551327,408.6666666666667,1.100729690531325,0.959231448706269,0.5263289042263802,1494.3333333333333,0.029518662279754096,0.964179554498216,1.0200125616804903,0.03887005355181141,0.8070301575046951,0.8847024896605877,0.008735926968830778,0.49702279823871065,0.5141198116303108,3
TREE_MC_donors,1.0069295221314452,0.8552599904480824,0.49982241268491584,0.05778829203269331,1.009313601978585,1.1550510265471514,0.2150179105121259,0.40595042412935906,0.9125258179414818,1.9705390030196537,0.43811413864043586,0.5751676473061461,0.29751016260162605,0.5070503048780487,0.5721918764544814,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8514734775023461,0.8077449011846669,0.3579156108283721,408.6666666666667,1.078707072303119,0.9555815257455419,0.5072255195197136,1494.3333333333333,0.03902831710711558,0.9628479553725371,1.0370833283922616,0.03279134777408955,0.8180901719414425,0.8800959742473404,0.01288502959815669,0.48566664129400866,0.5108669833932806,3
TREE_MC_all2d_massaction,1.0073686915042976,0.8569836415417381,0.5065270187288635,0.17689152939267194,1.0276111761039879,1.135826222848149,0.26433330822014617,0.444812332267227,0.926975393435077,2.0114688706094057,0.46121960379748406,0.6345794659919951,0.2891895325203252,0.5057164634146342,0.503587344034825,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8747683108663855,0.7541000864169384,0.381031780940102,408.6666666666667,1.110810239637516,0.9643287678325564,0.5196994435262888,1494.3333333333333,0.03557368698542945,0.9761500536338942,1.0460980167732956,0.0531868708006226,0.8171272525535526,0.9173771843993253,0.010013219943934155,0.4974672149540675,0.5172782179341241,3
TREE_MC_lig2d_ext_massaction,1.0475365914602641,0.8704389056475689,0.5095155308678885,0.1548200141223989,1.04759329476415,1.1320357892090607,0.24883256316267502,0.441391577832041,0.8931946368820097,2.103227683081562,0.45698772908772195,0.6225031725545161,0.2919207317073171,0.5222306910569107,0.5119884488180761,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.982456367218535,0.897969747834444,0.38922818079213134,408.6666666666667,1.2004919568896515,1.0523077032045056,0.5228432983489963,1494.3333333333333,0.020580651363754098,1.0268334488527662,1.0679925244552133,0.058185230633855625,0.8292172449069694,0.9369964668945605,0.007380916944126395,0.5020443051476923,0.5168026961511533,3
LRN_extratrees,1.0475365914602641,0.8704389056475689,0.5095155308678884,0.15482001412239885,1.04759329476415,1.1320357892090607,0.24883256316267502,0.44139157783204097,0.8931946368820097,2.103227683081562,0.45698772908772195,0.6225031725545161,0.2919207317073171,0.5222306910569107,0.5119884488180761,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.982456367218535,0.897969747834444,0.38922818079213134,408.6666666666667,1.2004919568896515,1.0523077032045056,0.5228432983489963,1494.3333333333333,0.020580651363754098,1.0268334488527662,1.0679925244552133,0.058185230633855424,0.8292172449069694,0.9369964668945603,0.007380916944126422,0.5020443051476922,0.5168026961511533,3
LRN_lightgbm_huber,1.0617404932278516,0.9142896279226957,0.5013165185501955,0.13794719668030128,1.0582780293929714,1.0936311996003298,0.2878230191553875,0.3997796367276342,0.8878049964341949,2.1307998197992135,0.4405591245419185,0.6188969105582126,0.3097688008130081,0.5420477642276422,0.6722841494105172,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.0759672153734963,0.9897152190571795,0.40078837885737,408.6666666666667,1.209047668916492,1.1032073674667282,0.504211999764355,1494.3333333333333,0.1170818403800067,0.9938109086450077,1.1969344117654832,0.11434411466970375,0.8380109047396654,1.0457603553660688,0.011168337004074401,0.4913397011247268,0.5133815851591917,3
LRN_randomforest,1.0716075932562459,0.908379738089729,0.5127033062193163,0.12293244041202796,1.0692873101460327,1.1160834227282337,0.2758769617511228,0.4011825801480043,0.9072012267671522,2.1007841571375163,0.47082909461879424,0.610663795753435,0.28766514227642276,0.5304878048780488,0.5726345940148535,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.9947903032038875,0.9248283230543152,0.38228968126024404,408.6666666666667,1.229601420383909,1.1147290683715323,0.5239209876749591,1494.3333333333333,0.020502456000709938,1.0564562804180455,1.0949369473847819,0.024549086357462526,0.8830862237927218,0.9321096464988837,0.0038383018434803933,0.5087633651590362,0.5164311758855857,3
TREE_MC,1.085195674278676,0.9107228658103715,0.5499013488259125,0.02619710719923681,1.0823325500408512,1.2793961616057408,0.03808316063161573,0.49898148818099114,0.9503780161926471,2.169713775473524,0.37988489396725544,0.5599165313729616,0.2893165650406504,0.4731961382113821,0.5347377177954334,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.8676222233926518,0.7741483131865369,0.4230937700905888,408.6666666666667,1.1999483268735196,1.0777222835865103,0.5468910706923826,1494.3333333333333,0.009099657520272612,1.0757908162492884,1.0939558429439082,0.010399478851379452,0.8991982035909418,0.9194068028015026,0.010311684032746264,0.538141089273526,0.5573948753408435,3
NULL_metal_cond,1.0881962975229194,0.8905352544640741,0.5613974553473483,0.024660861407914236,1.083056983427584,1.2692793365455044,0.051459737824948316,0.4915122829023367,0.9415465186890754,2.1996335987871207,0.37169648215491274,0.5922296577060538,0.2823297764227642,0.47903963414634143,0.6013365550994862,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.9289365043799132,0.7887908398553994,0.4714803479531095,408.6666666666667,1.2096195017761084,1.0499316781017514,0.5591033356260381,1494.3333333333333,0.012338456971434628,1.0794323240903636,1.1023061872861564,0.025788837019789637,0.8716536398360133,0.9199179169227826,0.014814015709842098,0.5471552809825431,0.5767237490154715,3
LRN_catboost_rmse,1.0896394761220887,0.9437374168247704,0.5108687476239813,0.14397180124477604,1.0921408126582337,1.1165147314177155,0.2751398484309365,0.4163677285710439,0.9693681886890918,2.1064039743640643,0.4220561438841354,0.6242646948503255,0.29077743902439024,0.5313135162601627,0.6067134249062761,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.1532077102255125,1.0849646184464241,0.3911224887499017,408.6666666666667,1.2669107141016511,1.162859851984795,0.5148509060652317,1494.3333333333333,0.0385634071792813,1.0656497441117503,1.1341228930618434,0.04696565239800984,0.9154771907896523,0.9979523427208213,0.008277887575265963,0.505307640116785,0.5203819817634878,3
