record,arm,job,fold_id,fold_hash,digest,steps,parquet_sha256
B5/V1__copy_exact/s104729/pub_0884e38fbe.json,B5,fit:B5:V1__copy_exact:s104729,pub_0884e38fbe,75e1283a66e4aae41df145956c62cf72e4cf8c5be633c193d77f23a853b500bf,b8c960c295ede26c07a8cfea8beab8c22ebf8ca15eeeeffa79ccee50e8c16a43,"intervals,point",38f8bb1773f09d370bcbdb8354358e904e7f49f963f1ec8be24f5f3db4c93974
B5/V1__copy_exact/s104729/pub_0a8da089ad.json,B5,fit:B5:V1__copy_exact:s104729,pub_0a8da089ad,394c1ef3b4c8bf04f83306c6ee7f806982e44a3dbc2a2e86c1694844cd23a8e7,b40ed760458ba70df0852d3eaaabe6a302c86d693f5afe16807e6c99050560c3,"intervals,point",03dcf58d03e6eb5d9431e8eee63ca64d5a030dc5029d9f2577b0940166c57ecf
B5/V1__copy_exact/s104729/pub_0af6736cb1.json,B5,fit:B5:V1__copy_exact:s104729,pub_0af6736cb1,c4838c4537aa7a380a6c0b8eef1ca110d37bb26d592c8a740556a061215a9b64,31ecff14dbf5308f1005cddc99980a277d443b300ffe9847d1970c402b1b5921,"intervals,point",7f2746dc65984a58f2c2aaf5e607985181e8e67e5f12f19cc55ed118e903f1ac
B5/V1__copy_exact/s104729/pub_0d412f4721.json,B5,fit:B5:V1__copy_exact:s104729,pub_0d412f4721,a73b14367dfaf713201be28bef04b85bb258ea067beba7901ce4064d5877c6f9,99ebf003816d9a0a3b89291cb9b1ab4800af44e6f61f79e1edbe1fde6280e351,"intervals,point",f1b8f7ddee6bf44d036e0f487ff1dfb3bf92b81c455f4edec63c4a81f69c9417
B5/V1__copy_exact/s104729/pub_0ddbd861aa.json,B5,fit:B5:V1__copy_exact:s104729,pub_0ddbd861aa,1400b0748addd69d4e2095c187207c38c1712e9aedaf522dab9365d8fd71c32d,a226c497e0779ff60f82a7148e7ffdc1d3322d2ee0806e3fa5349f89deaabc2d,"intervals,point",c697d82c7c772da6ecca9be2a5aac0609311656a02cd0dd53d1fcf2629509372
B5/V1__copy_exact/s104729/pub_19783c039b.json,B5,fit:B5:V1__copy_exact:s104729,pub_19783c039b,97de83a96df591b36c6ac4cb306b66adcd26b9c64948a3264bc2c99ec0cb6280,a35e2729707ae61d52b2b96cc2f3a9e1a687f07f9185f092667b0aeb4d29d92d,"intervals,point",80af39af8ff95310b974cd2e605fcbe38ff7fbe8a7ce5a66f18294bc1d38f816
B5/V1__copy_exact/s104729/pub_1bd76c48d9.json,B5,fit:B5:V1__copy_exact:s104729,pub_1bd76c48d9,36d593d7aa25ecfe9834ca19eaeb11749e95dc7575e0c9b2d8a81b361496cb95,69a1ea2cf6d3e984fd1b82702455b2dd195683b4f262a37055a0732c8f2cbdf3,"intervals,point",585c5efa9b1a08752b897c7b04319a3d9dd7b14c5c8ad1f729468f3582e98f97
B5/V1__copy_exact/s104729/pub_22a136e9b9.json,B5,fit:B5:V1__copy_exact:s104729,pub_22a136e9b9,b1c8742688cc675c1b3281a792a564ca33747d2fc2a32b8aa80fded09c03743d,56f66bec5d63bc899e018dcd5f20411b4cd2a09c6ab5871fabe971295b7daa47,"intervals,point",d0cd6684242b01c5d0016c380b09bb8fd8e256a68ac1d1fc436ac28c28f580ec
B5/V1__copy_exact/s104729/pub_2319535dff.json,B5,fit:B5:V1__copy_exact:s104729,pub_2319535dff,0236050033b1f0a77054b1d5a8dec968a0922bb6f3c791d0706c527a81890127,734e32b540469eb9cdaded866f3f2f426cb0707854bb161cdd548681c5a7d352,"intervals,point",d37cc921f29150bc0f5a6fa077da4bab351787e61313696ab46cdb0d6b1816ae
B5/V1__copy_exact/s104729/pub_2c76a46f18.json,B5,fit:B5:V1__copy_exact:s104729,pub_2c76a46f18,ac5c23a6f4aada351f3cbfcd7c4047023239f71b275fa2d92ec142363d250ba5,48e96c16ff28b0d826a609aee85f6068addc2e21225ef39e8217951202cf8034,"intervals,point",553f43fccb5f10f809b4780cd0d85ddc869c71f65416b4752fe6593252fb4ff6
B5/V1__copy_exact/s104729/pub_2e9f2dbea9.json,B5,fit:B5:V1__copy_exact:s104729,pub_2e9f2dbea9,4763f4bbaf185797dbf09422accfb7325e8a00cbafd2815364d0e2da866fc2fb,5504df2d7222bfcdfb97e68a2ecd9564b5911681bec97aca67c05a6f8109eeb5,"intervals,point",239e1a3645d21579251f5ca3cf97708d4ccd27b62e4bad4b49e4aff6ea5df9cf
B5/V1__copy_exact/s104729/pub_37086f6378.json,B5,fit:B5:V1__copy_exact:s104729,pub_37086f6378,36167e3102531293e50ca9d7e1785c77f719574178e385daa3f54571e6b8615c,75a0c7b684da7995ad42256ec9ebdc043be083175258ddbefbac322476829932,"intervals,point",7cd9bd52363ebba3948ad78b688d6b3d2ee10c50086c956e65504dcb6b74bf68
B5/V1__copy_exact/s104729/pub_3f3b6220e0.json,B5,fit:B5:V1__copy_exact:s104729,pub_3f3b6220e0,e4fb4f20fc7c829a594e78d0c87b4d74f9daca04eb1ca3c162415c672b4740b6,9c39ee78772f28d1f4aa958e0c7d1ae08ec93d95bcb8f4123faa4ecabed55694,"intervals,point",cd99db109b9ee2ab0798a49afa5cc2a35567295e144c3256440791857abf4aec
B5/V1__copy_exact/s104729/pub_44555064e1.json,B5,fit:B5:V1__copy_exact:s104729,pub_44555064e1,cd40e311a7f3ea978ce5774cb729e888edee1eecb91a8fe993e6ad1617be2a52,288be87c93d2fc93a8139daca97b74f0e0a1f847bc1923f2515a2d9d766c427c,"intervals,point",63a63de5b41843233d05ecef02ebee1b7e82f1965cafa09ad3f7269915f129ea
B5/V1__copy_exact/s104729/pub_45b8fb22e7.json,B5,fit:B5:V1__copy_exact:s104729,pub_45b8fb22e7,028b11e06565d2c3cf4305dd8d506d8dfe506e4e026fb4d9c7271e719e251050,005afc0b8d2ee22ae91b8493cfe7063631d940cbd64e2148f5648948f6d779e8,"intervals,point",1e3e718b91ed828f6fbc6200f0aa508f982b097fc6298eeca45ceb7455577b64
B5/V1__copy_exact/s104729/pub_4a1871d85d.json,B5,fit:B5:V1__copy_exact:s104729,pub_4a1871d85d,0287b789e3480f08cc9cac7de39dd443c714fb8a165b1e2d5467398f41df7cb6,2434ec8fc7d5eea4f16f47140f25256c5a08596ddec06f34de782b5c788fab3f,"intervals,point",3a71166abad4bf53a70195f27533dc47ec467e495e90c2624fc47118094443ca
B5/V1__copy_exact/s104729/pub_4cba27f5f3.json,B5,fit:B5:V1__copy_exact:s104729,pub_4cba27f5f3,0949ec6a3619db0dffda1d681d25d31a0d46471c6f0edde284610df921dcce89,bae320950ee1c80bb88d69fd8eb33afc20eff9d3baf3c0fd10b5feeab08c0b4e,"intervals,point",0ef1b55affda09f53048e7015c35f303952100e1410d58c3b5d5e763ff45bf8d
B5/V1__copy_exact/s104729/pub_5472c4b438.json,B5,fit:B5:V1__copy_exact:s104729,pub_5472c4b438,a5bfbc10490a0d7c7acc88d4dc61499b8e2492b4130b478fb1bdf3a9e20dfd48,95d5b1a7295d6daf5b9a300e9631c3a77b58822ab40b9e5314e8ebc731ea6544,"intervals,point",466b15003dcba703f9842a8d342348b72f8d4c37310a475f6ce18c85fbd02329
B5/V1__copy_exact/s104729/pub_6b0ea2ccc9.json,B5,fit:B5:V1__copy_exact:s104729,pub_6b0ea2ccc9,8491042a5f85ee449d3f4b65c38721f749bf562ba3048e8919fc4ed69ad26f2f,437602bd4f41a6e1acfc8790fece7a3af0a5b81ea2c058f7ac0ccd09f525ace4,"intervals,point",54b4b5590d7e39cc9a1b57d8a6fb38992076dbafa96afc1cffc660be73bef746
B5/V1__copy_exact/s104729/pub_74428aeab2.json,B5,fit:B5:V1__copy_exact:s104729,pub_74428aeab2,cc918fda0e6fab1efd36ccb3d75fb0431ce55d769060fecf45c461c598f85189,9120d009c568e9e358d8bfc33da304de24ba3a7350c8653562dfd85fbdd28694,"intervals,point",abde81b71dd133bf96aa658f03af9f725b897220e6ece61aa7f3b60c82656135
B5/V1__copy_exact/s104729/pub_8415538291.json,B5,fit:B5:V1__copy_exact:s104729,pub_8415538291,30d1e679123c73d83c4a9efddd3d419aa866470d71ada8df398bf4e72ca4b0bd,c7096c444334ef78c0b2b5cce7faa44ac2fd91066f687167e8d020a63d365446,"intervals,point",4d1a2ff458da4bf43a2c20bd98c8d11c4fae42f758b59ed7bd396c38e4bf19cb
B5/V1__copy_exact/s104729/pub_8a081dc888.json,B5,fit:B5:V1__copy_exact:s104729,pub_8a081dc888,b48f73dcae7289fa4b761d60959e62b181fc764667bd0a42087b69f78a096a4c,f3e86d12f7380138d068712e876fa40fc37c0389e34f258f04fd5655db551076,"intervals,point",f80464a0c1ef0b8167df1cdaa1a84cdeb4b12db7ab7f146f36bddda2aee71f94
