endpoint,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
overall,diversity_vs_depth@250,depth@250,diversity@250,mae,0.516148072253519,0.377827786611927,0.6876701874029888,0.0001999600079984003,102,131,79,5000,0.5774790892348418,60,0.21374045801526717,0.07202103448866622,0.3727652068489722,0.6595309376580658,3.7897075083586696e-10,0.3757290144751893,0.6860230818287716,-0.007519955698540524,-0.0015834982089098445
overall,diversity_vs_depth@250,depth@250,diversity@250,offset_mae,0.5602433745352874,0.4101958777005725,0.7380507944207625,0.0001999600079984003,106,131,79,5000,0.6231856812091531,62,0.21374045801526717,0.07717130484886207,0.4066071084805569,0.7138796405900178,2.5146306658449867e-10,0.40873943121480977,0.7369138203836387,-0.0035092867873360934,-0.002683328027193805
overall,diversity_vs_depth@250,depth@250,diversity@250,shape_mae,0.06939622499053837,0.022875408477775406,0.12975619666799962,0.0007998400319936012,77,131,79,5000,0.08861662964460586,49,0.21374045801526717,0.028527747886214684,0.01260184173146895,0.1261906082496078,0.017281718006994615,0.013651930215068633,0.12158104401658715,-0.039615085989579545,-0.07357044704961976
overall,diversity_vs_random@250,random@250,diversity@250,mae,0.0005575474325458356,-0.03623884809809389,0.04808310481890129,0.4859028194361128,58,131,79,5000,0.016339481914983904,35,0.21374045801526717,0.019600129227356978,-0.038463312388068154,0.03957840725315983,0.9773790053167082,-0.03602073616450363,0.048612379144236426,-0.009023984261129074,0.01017344615776173
overall,diversity_vs_random@250,random@250,diversity@250,offset_mae,-0.010737597985932067,-0.05156672750460687,0.037695195176757575,0.6944611077784443,60,131,79,5000,0.0011620176470231401,35,0.21374045801526717,0.021007089458580347,-0.05255950045881172,0.031084304486947587,0.6106957299514048,-0.05082762555798217,0.0396771561240356,-0.007519955698540524,0.012957824031765328
overall,diversity_vs_random@250,random@250,diversity@250,shape_mae,0.005795021344407763,-0.0027294021249755713,0.015972668394871156,0.09438112377524495,74,131,79,5000,0.007923276816833507,42,0.21374045801526717,0.004591817820030242,-0.0033465857031167332,0.014936628391932258,0.21069792510312768,-0.0027826396097589815,0.015820076844109986,0.0025066308995717666,-0.005850477226756055
overall,maxmin_vs_depth@250,depth@250,maxmin@250,mae,0.5997428444572369,0.4172958035439374,0.853531588476604,0.0001999600079984003,105,131,79,5000,0.7573164349063934,61,0.21374045801526717,0.10807186193411433,0.38458829490468366,0.8148973940097901,3.796660215206008e-07,0.40070611368282766,0.8238611556725476,-0.012533469508069276,-0.0585212652863743
overall,maxmin_vs_depth@250,depth@250,maxmin@250,offset_mae,0.6603205919916442,0.4755244169346014,0.9289826562912524,0.0001999600079984003,105,131,79,5000,0.8308424131512687,64,0.21374045801526717,0.11146280968018679,0.4384151840583289,0.8822259999249594,8.0278537187341e-08,0.4600869582018949,0.9031092926003851,-0.0040106159912038294,-0.04954751789034233
overall,maxmin_vs_depth@250,depth@250,maxmin@250,shape_mae,0.057419095631908175,-0.00798675814271098,0.14182220369802273,0.044191161767646474,72,131,79,5000,0.0787726447065575,47,0.21374045801526717,0.0395032867113471,-0.021225906925805012,0.13606409818962137,0.15008922330308022,-0.020427453866122373,0.12751325068779842,-0.05266352689406844,-0.07475201347195683
overall,diversity_vs_depth@500,depth@500,diversity@500,mae,0.4532252599782714,0.2796680543702811,0.6968399065730506,0.0001999600079984003,97,131,79,5000,0.5958113350944992,61,0.21374045801526717,0.10702739327440343,0.24015008779536925,0.6663004321611735,6.203231275364577e-05,0.25005806802289327,0.6525679761564996,-0.050655546368613115,-0.08325110599569101
overall,diversity_vs_depth@500,depth@500,diversity@500,offset_mae,0.48408499641729813,0.3036587559080938,0.7388684203472276,0.0001999600079984003,98,131,79,5000,0.6388561124860884,63,0.21374045801526717,0.11234100063417002,0.2604312445973884,0.7077387482372078,4.7345587509754064e-05,0.2699956480378346,0.696770445150805,-0.04664018984972238,-0.08115816815134852
overall,diversity_vs_depth@500,depth@500,diversity@500,shape_mae,0.08622638969012514,0.04260939436164044,0.14267512797565568,0.0001999600079984003,81,131,79,5000,0.10208722930779857,49,0.21374045801526717,0.02565508738617781,0.035151034167245264,0.137301745213005,0.0012048535164347154,0.03687230108854512,0.13538824029319735,-0.020054370352950636,-0.054679365926835054
overall,diversity_vs_random@500,random@500,diversity@500,mae,0.04062186723554083,-0.0006395076147410154,0.08419862995158352,0.026794641071785644,74,131,79,5000,0.048531364288549164,42,0.21374045801526717,0.02064952012038093,-0.00048816936848757736,0.08173190383956924,0.05271515043161684,-0.0005398355300783155,0.08458896519400477,-0.005514610154793434,0.004147037456341673
