grouping,pair_label,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,delta3d_extended_unshrunk_mae,delta3d_extended_unshrunk_rmse,delta3d_extended_unshrunk_sign_accuracy,delta3d_extended_unshrunk_r2,delta3d_extended_mae,delta3d_extended_rmse,delta3d_extended_sign_accuracy,delta3d_extended_r2,mae_reduction_delta3d_vs_2d_ensemble,mae_reduction_extended_vs_delta3d
pair_type,Sm-Eu,106,0.16033144623797085,0.21210223444382342,0.6981132075471698,-0.07830310429163978,0.16640791284584383,0.21766988275479318,0.7075471698113207,-0.13565666670530563,0.1672249011132123,0.21806702795649519,0.6981132075471698,-0.13980452621184902,0.16927468036003776,0.2132535625992803,0.7452830188679245,-0.09004131360363044,0.16403693311130457,0.2125238073514688,0.7075471698113207,-0.08259381947010103,0.16208959843463608,0.20848478076807064,0.7452830188679245,-0.041835334299558546,0.16105504518978767,0.20978525200498374,0.7169811320754716,-0.054873241020718,0.003187968001907737,0.002981887921516907
pair_type,Gd-Tb,98,0.12224988388389867,0.17064485590887624,0.8877551020408163,-0.06671095831188656,0.12162685873282685,0.16978740088771938,0.8979591836734694,-0.056017888398827376,0.12178931378457118,0.16974927439399573,0.8877551020408163,-0.055543674898278494,0.13389651419137957,0.17547105246201908,0.9387755102040817,-0.12790186957209926,0.13002828928243562,0.176814190594979,0.8877551020408163,-0.14523493934520149,0.1328087122066737,0.17498982049271095,0.9387755102040817,-0.12172377767803777,0.12754655545264187,0.1733240660818925,0.8877551020408163,-0.10046970722740478,-0.00823897549786444,0.0024817338297937475
pair_type,Dy-Ho,96,0.10817986180362242,0.17932443011818178,0.71875,-0.2580305967771921,0.10606485598025833,0.17581846389679548,0.7083333333333334,-0.2093200345863364,0.10641228229316702,0.17628460181077957,0.7083333333333334,-0.21574094365865149,0.10587260258987889,0.16865027837112634,0.78125,-0.11272132130033574,0.1061833014907529,0.1743006738248292,0.7604166666666666,-0.18853073570379486,0.10302310183679235,0.1665475086568246,0.78125,-0.08514698035233392,0.1047438967429213,0.17363801404852083,0.7708333333333334,-0.17951075484367607,0.000228980802414111,0.0014394047478316074
pair_type,Ho-Er,96,0.10729154310874878,0.15169828483660588,0.6770833333333334,-0.3820045483464498,0.1088234240955086,0.1525502926534794,0.6770833333333334,-0.3975720982654549,0.10899318879273379,0.15266219270277553,0.6770833333333334,-0.39962316931449293,0.08516360372367406,0.13618249809678892,0.6875,-0.11375771229075204,0.09472762334919597,0.1426635477082338,0.6770833333333334,-0.2222897526389329,0.08308216272340027,0.134431376996035,0.6979166666666666,-0.08529905715578368,0.0921461236355648,0.1413299391549883,0.6770833333333334,-0.1995448080269131,0.014265565443537812,0.002581499713631169
pair_type,La-Ce,95,0.20381650469777043,0.26268308262832685,0.8210526315789474,-0.27506225000983675,0.21271114534368718,0.2722051038325205,0.8210526315789474,-0.3691773548043915,0.21193365670711092,0.2718884671547823,0.8210526315789474,-0.3659938757692822,0.19473826233372094,0.257921256594134,0.8315789473684211,-0.22925349502585224,0.19825446286789764,0.25808083589702824,0.8315789473684211,-0.23077507647952133,0.19460065042379338,0.2551500420385241,0.8315789473684211,-0.20298016918657202,0.19797002358426827,0.257357732616277,0.8315789473684211,-0.22388784905920334,0.013679193839213288,0.00028443928362936743
pair_type,Er-Tm,89,0.07213198295321427,0.0965716678678197,0.5842696629213483,-0.025996677781617628,0.07400668619371478,0.09663377803235781,0.5730337078651685,-0.027316843752063225,0.07416019250892655,0.09679320360040351,0.5730337078651685,-0.030709356734544224,0.06866344868219788,0.09697827393769991,0.5168539325842697,-0.03465459428168827,0.07146392895929518,0.09633851738998328,0.5056179775280899,-0.021048583588925585,0.07092371908833366,0.09767504547010622,0.5056179775280899,-0.04957562083087863,0.07174083832578085,0.09638703584393227,0.5056179775280899,-0.022077293075685178,0.0026962635496313725,-0.000276909366485667
pair_type,Tb-Dy,88,0.15166074023728005,0.1885017563138882,0.7840909090909091,-0.5535396895971691,0.15119949191747278,0.18687139153563934,0.7954545454545454,-0.5267825590330641,0.15158373754552634,0.1873684361023844,0.7840909090909091,-0.5349152989958361,0.13534354284749125,0.16981746597397615,0.7727272727272727,-0.2608292141271955,0.14147366443823234,0.1780100390742703,0.7840909090909091,-0.3854170946822495,0.1387418511339039,0.1733111062223749,0.7727272727272727,-0.31324071740322323,0.14336321912989877,0.17978273700858843,0.7727272727272727,-0.41314760472138623,0.010110073107294004,-0.001889554691666434
pair_type,Tm-Yb,86,0.05255948389372827,0.07333309925770275,0.5465116279069767,-0.1332083628039571,0.0525179196130656,0.07394097478165147,0.5348837209302325,-0.15207309519871015,0.05271966087396191,0.07404645828313706,0.5348837209302325,-0.15536251320840844,0.06657204135796486,0.08218155770684557,0.5348837209302325,-0.42317540176293145,0.05757105004933768,0.07675624247122936,0.5116279069767442,-0.24147249846740237,0.06355851630435251,0.08102266922247638,0.5232558139534884,-0.38332040839880266,0.05466815149290926,0.075385262309175,0.5,-0.19751949380206923,-0.004851389175375767,0.002902898556428418
pair_type,Eu-Gd,83,0.09742931733373493,0.15093567174020361,0.7469879518072289,0.07259037388817491,0.09879734779352611,0.15245951789044848,0.7469879518072289,0.05376959344305521,0.09871673040663205,0.15300825590110395,0.7469879518072289,0.04694591960735495,0.10131765040584642,0.14847051339827255,0.7469879518072289,0.1026368402209632,0.09640144692639754,0.1473106183479001,0.7469879518072289,0.11660299906064686,0.0974211151204735,0.14744766162504394,0.7469879518072289,0.1149585835498732,0.09483352658882817,0.14652656648502121,0.7469879518072289,0.12598162816191494,0.0023152834802345063,0.0015679203375693757
pair_type,Yb-Lu,82,0.09021144914651318,0.12496905058048081,0.573170731707317,0.019575528225399874,0.08451695481046889,0.12074062806947877,0.5975609756097561,0.08479989060908089,0.08499569030343364,0.12096335600589322,0.573170731707317,0.0814202719090924,0.08856658013987437,0.13152976917020537,0.5365853658536586,-0.08606875066757436,0.08748614052410225,0.12494450001058995,0.5487804878048781,0.01996070543676509,0.08550393146351629,0.13065031504160135,0.5365853658536586,-0.0715936333342273,0.08597536274969911,0.12462099573342526,0.5487804878048781,0.025029139136498957,-0.0024904502206686135,0.0015107777744031436
pair_type,Ce-Pr,81,0.16118606510527106,0.2227946970651345,0.8148148148148148,-0.10285584936517655,0.160144859027151,0.2227932569213564,0.8271604938271605,-0.10284159170216012,0.1597910212002262,0.22237383980401126,0.8148148148148148,-0.09869321429857081,0.16152987371336813,0.217630663757338,0.8148148148148148,-0.05232339349968251,0.16065577703441586,0.21673901006598814,0.8148148148148148,-0.04371811836839279,0.16106028093408384,0.2204468751061226,0.8148148148148148,-0.07973441893496735,0.1591696305043911,0.21753043363988847,0.8148148148148148,-0.05135431857900241,-0.0008647558341896566,0.0014861465300247678
