design,l3a_n_tasks,l3a_n_dropped_lt5,l3a_n_candidate_slots,l3a_median_candidates,l3a_min_candidates,l3a_max_candidates,n_extractants,n_chemotypes,l3a_frac_tasks_all_same_call,l3a_n_candidate_slots_no_call,l3c_n_tasks,l3c_n_dropped_lt5,l3c_n_dropped_ptp0,l3c_n_candidate_slots,l3c_median_candidates,l3c_n_candidates_dropped_only_target,n_cell_seeds_single_pair,n_rows_single_pair,n_pair_rows,n_k1_rows,cov_fallbacks,seconds
B,455,0,27365,58.0,47,83,90,45,0.0,0,455,0,0,27335,57.0,30,690,690,70750,70060,0,114.32797193527222
BR,455,0,27365,58.0,47,83,90,45,0.0,0,455,0,0,27335,57.0,30,690,690,70750,70060,0,111.18963241577148
BQ,455,0,27365,58.0,47,83,90,45,0.0,0,455,0,0,27335,57.0,30,690,690,70750,70060,0,110.17563390731812
A,455,0,27365,58.0,47,83,90,45,0.0,0,455,0,0,27335,57.0,30,690,690,70750,70060,0,125.75121688842773
BP,455,0,27365,58.0,47,83,90,45,0.0,0,455,0,0,27335,57.0,30,690,690,70750,70060,0,120.21170330047607
