context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected
outer_0:baseline,0,0.35,2,0.154596123621056,0.11913243084160874,0.1485562330772638,True
outer_0:baseline,1,0.7,2,0.15549072394656893,0.0906162512838552,0.15153287753104078,False
outer_0:baseline,2,1.0,4,0.15883680538758485,0.07533857692654955,0.15359709803214183,False
outer_0:delta3d,0,0.35,2,0.15948060092062585,0.13688666420221152,0.14844978992554322,True
outer_0:delta3d,1,0.7,2,0.16310823075214517,0.11150778802164552,0.15160861566061667,False
outer_0:delta3d,2,1.0,4,0.16725800911846772,0.1029375769267935,0.1523054469396542,False
outer_1:baseline,0,0.35,2,0.16787470125151377,0.08083131599513582,0.1381814174361788,True
outer_1:baseline,1,0.7,2,0.17008653794782744,-0.007340228885023947,0.14648024369633095,False
outer_1:baseline,2,1.0,4,0.17100429525376407,-0.001154544302315541,0.15076856578953504,False
outer_1:delta3d,0,0.35,2,0.17369514573500464,0.08475981084159323,0.13878752269216868,True
outer_1:delta3d,1,0.7,2,0.17580798969463565,0.07979423467928337,0.13978982815756621,False
outer_1:delta3d,2,1.0,4,0.17708660329723416,0.03663038473061442,0.1458095115681739,False
outer_2:baseline,0,0.35,2,0.1483422665646996,0.1814345236737953,0.12230523774159449,True
outer_2:baseline,1,0.7,2,0.1530919813096717,0.1394062883879862,0.12468262864953092,False
outer_2:baseline,2,1.0,4,0.16063371478123667,0.09003444570021268,0.1294097566499533,False
outer_2:delta3d,0,0.35,2,0.16096270173301339,0.17058991639121668,0.12540888740737535,True
outer_2:delta3d,1,0.7,2,0.17653040489568664,0.10444160151045678,0.13098116932798556,False
outer_2:delta3d,2,1.0,4,0.1878850176931155,-0.013482427161534138,0.1348837855719351,False
outer_3:baseline,0,0.35,2,0.15730762944505305,-0.020193414364980233,0.1590297951857569,True
outer_3:baseline,1,0.7,2,0.16193271233949935,-0.07588959460884181,0.1659389224815381,False
outer_3:baseline,2,1.0,4,0.17497625889684024,-0.18651354223202565,0.17268134262650428,False
outer_3:delta3d,0,0.35,2,0.15542334389563842,0.05941576789768743,0.148655665111937,True
outer_3:delta3d,1,0.7,2,0.157588041547178,0.02830549269549698,0.15346955181050445,False
outer_3:delta3d,2,1.0,4,0.16147223281317674,0.018423679392567616,0.15349389832348428,False
outer_4:baseline,0,0.35,2,0.17025540871600192,0.15261150589189498,0.13942549974240254,True
outer_4:baseline,1,0.7,2,0.17384332732323565,0.1257621823703995,0.14251480710618103,False
outer_4:baseline,2,1.0,4,0.18431392364631283,-0.01229177262399972,0.15531694787259423,False
outer_4:delta3d,0,0.35,2,0.17419225454905157,0.12594359361690932,0.14381390775116745,True
outer_4:delta3d,1,0.7,2,0.17854836071310648,0.11166813245699758,0.14586515156362284,False
outer_4:delta3d,2,1.0,4,0.17844059778207735,0.09532838150807266,0.1464142838046554,False
full_data_deployment_model:delta3d,0,0.35,2,0.1635996668178667,0.10530672361548776,0.14276909833025683,True
full_data_deployment_model:delta3d,1,0.7,2,0.16903458653710665,0.036862107768905306,0.14985977977253565,False
full_data_deployment_model:delta3d,2,1.0,4,0.1764680806429706,-0.053028588020685774,0.1540565651696643,False
