grouping,pair_label,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
pair_type,Sm-Eu,173,0.1424440392810587,0.20515754854641574,0.7225433526011561,0.202033076396696,0.15443470384303012,0.20667496642168526,0.7167630057803468,0.19018533092152012,-0.011990664561971426
pair_type,Eu-Gd,160,0.14498455148174522,0.20829532968457523,0.725,-0.05909635392470425,0.154525698786001,0.22133123987652317,0.69375,-0.19580906623208305,-0.009541147304255787
pair_type,La-Ce,160,0.2045688968310934,0.28559747360610016,0.78125,0.029289749517318775,0.20843789315575992,0.2976265734023889,0.7875,-0.054203130713858405,-0.0038689963246665293
pair_type,Ho-Er,157,0.1109394810265499,0.160340121670976,0.6114649681528662,-0.4097769365660071,0.10832933723591803,0.15012319174231917,0.6369426751592356,-0.2358380495699599,0.002610143790631861
pair_type,Dy-Ho,156,0.1235723742357759,0.18067010576135886,0.8333333333333334,-0.11199815095923538,0.1200490215529415,0.17652762382206752,0.782051282051282,-0.06158999840888013,0.0035233526828343936
pair_type,Gd-Tb,155,0.12871324621776165,0.1761028954557301,0.896774193548387,0.25701582591395,0.1490421917281511,0.20446676672341865,0.8903225806451613,-0.0015947254921617748,-0.020328945510389468
pair_type,Pr-Nd,148,0.1457632572187449,0.22534031356533976,0.7432432432432432,0.12892557521451142,0.15664747709476462,0.2310081083869091,0.75,0.08455570612682806,-0.01088421987601973
pair_type,Tb-Dy,148,0.12179135540163544,0.1737618130866117,0.7837837837837838,-0.043459865445699464,0.12557560055543104,0.16970463761002788,0.7297297297297297,0.004698882170933172,-0.0037842451537956068
pair_type,Ce-Pr,145,0.19876990914929354,0.32209839690040165,0.7172413793103448,-0.0831476094009107,0.21357586852348973,0.3279394389978216,0.7241379310344828,-0.1227881429172959,-0.014805959374196181
pair_type,Yb-Lu,124,0.13748656434226567,0.17235290517575902,0.5967741935483871,-0.9476689588540974,0.08782579514690007,0.12426667358750015,0.6451612903225806,-0.01248191014133937,0.04966076919536559
pair_type,Er-Tm,123,0.09894828591020614,0.1759537642226601,0.5121951219512195,-0.08509495819955926,0.10173728033550966,0.17063988395535093,0.5447154471544715,-0.020543956634440308,-0.0027889944253035176
pair_type,Tm-Yb,119,0.06956518086981713,0.12421453418953514,0.6050420168067226,0.043109629432204644,0.08346850379644129,0.1379261447850691,0.5714285714285714,-0.17980585907088065,-0.013903322926624162
