grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,12,0.0467684039598398,0.06533358987281107,0.9166666666666666,0.9123679271185143,0.11498216760529234,0.1649942482813163,0.8333333333333334,0.44110831197330513,-0.06821376364545254
extractant,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,12,0.09982351647413028,0.1318276659110873,0.9166666666666666,0.6836828290228577,0.14725497892494252,0.18087117613690268,0.8333333333333334,0.4045457933642109,-0.04743146245081224
extractant,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,12,0.060713016252444414,0.07613968626477947,0.75,0.2201676817399657,0.2031354147739358,0.3063139330847699,0.5,-11.621546364453033,-0.14242239852149138
extractant,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,12,0.1719905731250958,0.19754034060268327,0.5,-0.12075999322585673,0.16756252855401188,0.19329875474940686,0.5833333333333334,-0.07314680264407314,0.004428044571083922
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,12,0.059235792201589206,0.07237668870130029,0.5,-0.5714512711706983,0.05487446106566183,0.06143409209029022,0.4166666666666667,-0.13219801118910657,0.0043613311359273765
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,12,0.062146952698171186,0.07611396522082925,0.8333333333333334,0.3467766459099828,0.07429334164459885,0.09222946241238442,0.6666666666666666,0.04088129061116852,-0.01214638894642766
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,12,0.05620650379149585,0.06874985058805158,0.75,0.55481264630777,0.0496303349790253,0.0625920986746859,0.75,0.6309898360255881,0.0065761688124705495
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,12,0.06225046082640027,0.07452521527455365,0.75,0.047906389687092044,0.04490867523311299,0.06919197770841014,0.9166666666666666,0.17929957094896942,0.01734178559328728
extractant,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,12,0.17471737941173696,0.24726972421218724,0.8333333333333334,-1.6125764668131808,0.16617812244524002,0.2230116210884575,0.8333333333333334,-1.1251134056003864,0.008539256966496933
extractant,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,12,0.12192452240332324,0.1518724467792421,0.75,0.7189513074729967,0.18039066389028127,0.2329803420075322,0.75,0.338603112923491,-0.05846614148695803
extractant,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,12,0.1336857569467946,0.1612162380438106,0.5,-1.047898490063612,0.1564643991153394,0.17944881970886536,0.4166666666666667,-1.5373014794088342,-0.022778642168544805
extractant,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,12,0.11674070751084348,0.17687472463027823,0.5833333333333334,0.250290736141232,0.11731224791450856,0.17666152158861467,0.75,0.25209703108582937,-0.0005715404036650829
extractant,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,12,0.05733605603326299,0.06805875156954137,0.9166666666666666,0.24268390521086125,0.0393763285160063,0.050070389191553384,1.0,0.5901063746634939,0.01795972751725669
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,12,0.0896737482369313,0.12584717295308612,0.5833333333333334,0.5718452042652438,0.08680933792984086,0.14191172160745505,0.6666666666666666,0.45555950210324103,0.002864410307090448
extractant,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,12,0.1449359682340524,0.1939610558702956,0.8333333333333334,-0.7140587828463438,0.13803014862910895,0.1782309544090501,0.8333333333333334,-0.44731444931744013,0.006905819604943436
extractant,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,12,0.23531283309165976,0.31967111515036367,0.25,-0.07178849579120894,0.20764843762176347,0.3064036903151603,0.3333333333333333,0.01533096166782344,0.027664395469896297
extractant,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,12,0.09551658002669651,0.1492655798658788,0.4166666666666667,-18.06328413492796,0.10324676339068926,0.15195301555337387,0.5,-18.75590924985146,-0.007730183363992754
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,12,0.17716131215895783,0.20595297828430878,0.6666666666666666,-1.318509816358577,0.17959205731285197,0.2110459224123934,0.5,-1.434594950493207,-0.0024307451538941316
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,12,0.11727389717106522,0.14670775103309552,0.9166666666666666,0.43681320667425105,0.1494877809044897,0.17685040986837558,0.8333333333333334,0.18161344809047664,-0.03221388373342447
extractant,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,12,0.2576615966449089,0.4333818044640937,0.75,-0.015072952262656036,0.23237385672045077,0.4267258744462522,0.8333333333333334,0.01586684621641865,0.025287739924458125
extractant,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,12,0.18278533322588295,0.20609336088434832,0.75,0.03632818453463105,0.18733737378594326,0.19995489169797748,0.75,0.09287900108059743,-0.004552040560060311
extractant,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,0.0938649963585213,0.11532884426977442,0.9166666666666666,0.6981856920469539,0.12059657730602254,0.15534547288535794,0.8333333333333334,0.45240289003821066,-0.026731580947501235
extractant,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,0.1179859465384852,0.19843126405332964,0.75,-0.4225902037002902,0.0854278503598902,0.12581417544397033,0.8333333333333334,0.4281017505458553,0.032558096178594995
extractant,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,11,0.27427919947326146,0.3124355023461358,0.7272727272727273,0.27413653484947276,0.33623503052076836,0.3848059350734769,0.6363636363636364,-0.10107703971013371,-0.061955831047506904
extractant,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,11,0.1099792663592223,0.15535821283478624,0.2727272727272727,-16.82953046228008,0.09628907747562075,0.15970345973768335,0.5454545454545454,-17.84083395185897,0.013690188883601545
extractant,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,0.14506419966065495,0.19059767179845694,0.8181818181818182,0.11536459359337548,0.1546345831555237,0.2230328657420593,0.8181818181818182,-0.21134224737483254,-0.009570383494868745
extractant,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,10,0.20119040072405542,0.2762293279138,0.9,0.29166535751415834,0.22974479830075803,0.3590912877448523,0.7,-0.19703995245186512,-0.02855439757670261
extractant,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,10,0.05232430910290699,0.07065232354659423,0.8,0.027286439564403242,0.04493086972875697,0.052153567940625194,0.8,0.4699704024907023,0.007393439374150018
extractant,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,0.4007184426019375,0.4805161847234231,0.7,0.006888894374830756,0.42610959389097286,0.4927178085540131,0.7,-0.04418708461477938,-0.025391151289035352
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,9,0.15114696772306102,0.17143542079023336,0.4444444444444444,-0.36901210349192537,0.14736939776932953,0.1685314696136246,0.4444444444444444,-0.3230254183402186,0.003777569953731491
extractant,CCCCCCOP(=O)(O)OCCCCCC,8,0.32826705504601983,0.3881928546482652,0.625,-0.9435769740762778,0.29045368678322114,0.35888857171727356,0.75,-0.6612153254712967,0.037813368262798686
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,8,0.1740748942397463,0.21380517379549765,0.625,-0.12590805615530676,0.15763026748765907,0.21802683858689745,0.625,-0.1708099942274075,0.016444626752087216
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,8,0.0719289960919961,0.08504772889771992,1.0,0.5817673052962038,0.07077784772170942,0.0763014090739107,0.75,0.6633662499773598,0.001151148370286681
extractant,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,5,0.1994924257900779,0.25819975285664803,0.6,0.48394287385327617,0.21212458655424493,0.2738854678580097,0.6,0.419337052668877,-0.012632160764167039
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,5,0.10979980803091101,0.14078070861041778,0.8,0.13240775141994754,0.11184804965217217,0.13967811070666755,1.0,0.1459445396026965,-0.00204824162126116
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,5,0.13383834931821745,0.18873259898451678,0.4,-3.224209642747665,0.14809391023423762,0.19419999412383196,0.4,-3.4724968923476736,-0.014255560916020177
extractant,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,5,0.14824908887947585,0.16627964252414845,0.6,0.4602590096301704,0.16883223377968012,0.20489733560488946,0.6,0.180441687795715,-0.02058314490020427
extractant,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,5,0.22378414698106447,0.2571148460600141,0.8,0.038289945428156114,0.21806967326906368,0.258967761108444,0.8,0.024378745891791342,0.005714473712000789
extractant,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,5,0.18532573661632815,0.22763425953392025,0.8,0.3099901342817247,0.21357701918634397,0.2240054367911725,0.8,0.3318143131093687,-0.02825128257001583
extractant,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,5,0.18392952505909152,0.22794569590847716,0.8,0.5674280293728434,0.20818060497530536,0.23596799719623385,0.8,0.536444438981361,-0.024251079916213836
extractant,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4,0.13791653799932366,0.16331454919739322,0.25,-6.54955494170507,0.14568000707188655,0.16426122744212157,0.5,-6.637332960308917,-0.007763469072562895
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,4,0.3137710909459234,0.4540401514442015,0.75,-0.08895998032550456,0.3113201401273472,0.39838388695765065,0.75,0.161646987795237,0.002450950818576214
extractant,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,4,0.11263954830149163,0.131062580320902,1.0,0.1040053514348247,0.14941299822565646,0.17783378594956084,1.0,-0.6495919806230339,-0.03677344992416483
extractant,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2,0.10626548260775583,0.10631917401605516,1.0,-3.6969386316689103,0.08945591366340272,0.0953489703954761,1.0,-2.777667358165696,0.016809568944353107
extractant,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,2,0.8384432879984718,1.1057208338978366,1.0,-0.5040584676413717,0.9058253246579631,1.1495566929846683,0.5,-0.6256779773601591,-0.06738203665949127
extractant,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,2,0.19065370458510797,0.2107438319070496,0.5,-21.347599178391206,0.18459790308849505,0.18799073734099478,0.5,-16.782549692237115,0.006055801496612917
