g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),1.01812,-0.28877,0.831166,0.0962855,-0.690543,0.310835,0.00524939,0.319009,0.00224725,0.527705,0.078492,0.00633609,-0.346627,-0.314379,-0.625954,0.13123,1733,s104729_S_b001,1
Am(VI),0.435084,-0.701795,-0.305026,-0.775791,-0.419833,-0.853175,0.96748,-1.11283,1.15743,0.0145279,0.583261,1.06764,-1.57965,1.12558,0.422338,0.46321,27,s104729_S_b001,1
Ba(II),3.28136,-1.39286,-0.225457,-0.902238,-0.277785,3.83473,4.41932,-1.68256,1.41848,2.67585,-0.126494,-2.3515,-0.785651,-0.687088,-3.37758,1.35855,25,s104729_S_b001,1
Bi(III),0.158359,-1.19833,-2.20609,3.84812,-2.68983,-1.6926,0.255027,1.04032,-2.39582,-0.810325,-1.28627,-1.77824,-3.67551,-0.0661725,-1.08165,2.62114,17,s104729_S_b001,1
Ca(II),1.10877,-1.40794,-0.525098,0.789661,0.446978,1.51642,2.0714,0.485404,0.303562,0.264497,-0.255045,-1.22637,0.230756,-1.31581,-1.31779,1.3743,22,s104729_S_b001,1
Cd(II),4.20011,3.58894,-3.44156,1.76762,-1.58435,-0.503068,5.31166,1.69914,2.42388,-0.874439,-3.14693,-2.87096,0.0572338,-4.19536,-5.7309,-0.219467,4,s104729_S_b001,1
Ce(III),0.127449,-0.643238,0.614199,0.108291,0.399882,0.486999,1.22082,0.929141,-0.709114,0.833559,0.0964892,-2.31465,-1.04782,0.581609,-0.544965,-1.66025,293,s104729_S_b001,1
Cf(III),0.414663,-0.664609,1.36691,-0.462126,-0.338293,-0.349893,-0.587201,-0.498471,0.109475,-0.308715,0.264914,-0.902766,-0.0190173,-0.00124639,-0.127765,1.13359,9,s104729_S_b001,1
Cm(III),0.527391,-0.303917,1.57171,0.0254338,-0.115004,-0.0842298,-0.0428543,-0.537863,-0.111175,0.184861,0.766641,-0.499754,-0.648437,-0.133482,-0.338381,0.19535,135,s104729_S_b001,1
Dy(III),-0.517952,-0.26892,0.346883,0.446512,-0.366995,-0.196332,-0.537735,0.00503235,-1.1305,-0.771217,0.585559,-0.229586,0.451331,-0.283806,0.358938,-0.137507,377,s104729_S_b001,1
Er(III),-0.62913,-0.337263,0.501855,0.482987,-0.0431037,-0.362721,-0.992254,-0.0525127,-1.00101,-1.17515,0.572039,-0.296687,0.576506,-0.148834,0.332225,-0.103983,300,s104729_S_b001,1
Eu(III),-0.603758,-0.550273,0.773348,0.241932,-1.2295,0.00645055,0.602931,0.787768,-0.950005,-0.722326,-0.408548,-0.0120401,0.385242,0.583443,0.440321,-0.200876,1682,s104729_S_b001,1
Gd(III),-0.664333,-0.150426,0.368438,0.332468,-0.585398,0.33377,-0.332148,0.526091,-1.10928,-0.148972,0.182666,-0.286848,0.0745182,-0.33204,0.30541,-1.18066,375,s104729_S_b001,1
Hf(IV),0.879245,-1.04426,-0.712353,1.77373,1.45019,-1.51713,0.355353,-0.288031,0.37412,-3.09602,0.639961,-1.4938,2.17515,-1.34616,0.981257,0.273568,5,s104729_S_b001,1
Ho(III),-0.48729,-0.30838,0.524715,0.603895,-0.0973855,-0.319492,-0.856156,-0.062475,-0.976579,-1.12437,0.34662,-0.151197,0.465561,-0.121873,0.39197,-0.118732,182,s104729_S_b001,1
In(III),3.71413,0.423024,-1.52135,2.36083,-1.48317,2.92923,2.51875,-1.26459,1.49505,0.554628,-0.813202,-0.257074,-0.636955,-0.656754,0.480069,2.17123,5,s104729_S_b001,1
La(III),0.304895,-0.257247,0.617883,0.498189,0.512263,0.919056,1.68517,0.765433,-0.585578,1.1926,0.188549,-2.31494,-1.13978,0.552206,-0.411651,-2.06502,344,s104729_S_b001,1
Lu(III),-1.07002,-0.77145,0.693405,0.350334,0.179584,-0.279439,-1.35824,-0.34095,-0.996272,-1.40226,0.24535,-0.689191,0.647957,0.112132,-0.338315,-0.255192,247,s104729_S_b001,1
Nd(III),-0.248072,0.201915,-0.0292282,0.36596,0.021928,0.479267,0.810634,1.11493,-0.667856,0.167614,0.729424,-0.867575,-0.782432,0.0611861,-0.378291,-2.41264,433,s104729_S_b001,1
Np(IV),0.673684,-0.714895,-0.459756,0.662851,0.195996,-0.541622,-0.371215,-0.346386,0.206961,-0.0566583,0.958954,1.2239,-0.625108,-0.663493,0.799112,-0.112348,216,s104729_S_b001,1
Np(V),1.48296,-1.11647,0.0251823,1.35529,-1.08652,0.337469,1.53579,-0.882788,1.68604,0.713696,2.88065,-0.0922438,-1.53644,1.10056,1.18323,-0.213744,187,s104729_S_b001,1
Np(VI),0.204452,-0.259936,-1.11466,0.891639,-0.522055,-1.06024,0.842529,-1.06918,1.81996,-0.61933,1.80943,0.0507806,-1.35887,1.90741,0.41168,0.0874615,67,s104729_S_b001,1
Pa(V),0.643564,-2.54576,-0.950888,0.293111,-1.33082,-0.67202,-0.431062,-0.742134,2.31488,-0.409059,0.16772,0.193291,-1.21659,1.38198,0.788706,1.14796,43,s104729_S_b001,1
Pb(II),2.66099,-0.901195,-2.33925,2.69371,-3.23508,0.580831,1.9878,-0.365718,-1.3382,1.35467,-1.09645,-3.06852,-4.55312,0.269747,-3.48479,1.2885,10,s104729_S_b001,1
Pd(II),3.07168,1.67144,-0.563605,0.377896,2.21,-4.99609,2.8794,1.59244,2.56821,-1.71277,-1.27139,-3.28047,1.27351,-2.44806,-1.24887,0.700528,18,s104729_S_b001,1
Pd(IV),2.28465,-2.59814,0.962686,2.33045,1.11124,-0.824385,0.750511,-1.6945,3.14656,-0.611731,0.829422,-2.50498,0.00334357,1.10397,3.39106,2.93733,5,s104729_S_b001,1
Pm(III),-0.580673,-0.256329,0.664486,0.281172,-0.25215,0.121074,0.442526,0.735769,-0.998015,-0.350357,-0.327336,-0.144677,0.235825,0.23669,0.199851,-0.889277,1,s104729_S_b001,1
