g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.00396956,-0.605146,0.865482,-1.0479,1733,s104729_S_b027,27
Am(VI),-1.11478,0.786553,0.687603,0.393638,27,s104729_S_b027,27
Ba(II),-2.32031,-0.866748,2.36087,1.13947,25,s104729_S_b027,27
Bi(III),0.392326,2.21606,2.57857,-3.1083,17,s104729_S_b027,27
Ca(II),-1.06107,0.29983,1.21742,-1.69653,22,s104729_S_b027,27
Cd(II),-0.37815,-3.02251,5.04312,-0.163339,4,s104729_S_b027,27
Ce(III),-0.970641,-1.86326,-0.492079,0.379794,293,s104729_S_b027,27
Cf(III),0.681715,-0.223502,0.253075,-1.69866,9,s104729_S_b027,27
Cm(III),0.314644,-0.595619,0.979799,-1.01403,135,s104729_S_b027,27
Dy(III),0.875371,-0.989273,-0.530877,-1.02562,377,s104729_S_b027,27
Er(III),1.19582,-0.794889,-0.681346,-0.839708,300,s104729_S_b027,27
Eu(III),0.286506,-1.33864,-0.427504,-0.685351,1692,s104729_S_b027,27
Gd(III),0.293375,-1.32278,-0.724768,-0.548637,365,s104729_S_b027,27
Hf(IV),0.721031,1.46658,-2.37096,0.431809,5,s104729_S_b027,27
Ho(III),1.13966,-0.874894,-0.643985,-0.90906,264,s104729_S_b027,27
In(III),-0.976273,1.27094,2.76706,0.252872,5,s104729_S_b027,27
La(III),-1.10478,-2.00803,-0.314534,0.873665,344,s104729_S_b027,27
Lu(III),1.47507,-0.747466,-0.597163,-0.654096,247,s104729_S_b027,27
Nd(III),-0.833667,-1.78314,-0.931782,0.0833945,433,s104729_S_b027,27
Np(IV),-0.00788416,0.989856,0.146967,-0.0946774,216,s104729_S_b027,27
Np(V),-1.09016,-0.660397,1.80356,0.344845,187,s104729_S_b027,27
Np(VI),-1.10065,0.696487,0.480855,1.09948,67,s104729_S_b027,27
Pa(V),-1.05101,1.70278,0.461605,0.0154621,43,s104729_S_b027,27
Pb(II),-0.455726,0.100087,3.83768,-1.07238,10,s104729_S_b027,27
Pd(II),-0.727321,-2.52908,-2.5035,0.0672815,18,s104729_S_b027,27
Pd(IV),-2.31128,1.10788,-3.36077,2.8401,5,s104729_S_b027,27
Pm(III),0.0758711,-1.20432,-0.696079,-0.487493,1,s104729_S_b027,27
Pr(III),-0.862614,-1.88516,-0.703123,0.181449,348,s104729_S_b027,27
Pu(III),-0.857864,0.67854,0.15191,-1.90518,118,s104729_S_b027,27
Pu(IV),0.11144,1.43737,-0.842863,-1.15097,580,s104729_S_b027,27
Pu(VI),-1.02223,1.0412,-0.424721,0.050667,107,s104729_S_b027,27
Sm(III),-0.13434,-1.55182,-0.880553,-0.4883,323,s104729_S_b027,27
Sr(II),-1.64922,1.01359,1.13995,-0.45083,94,s104729_S_b027,27
Sr(III),-1.11893,2.83079,2.03693,0.648805,38,s104729_S_b027,27
Tb(III),0.717079,-1.11238,-0.528607,-0.956016,269,s104729_S_b027,27
Tc(VII),-0.210439,0.373702,-3.24349,0.0060935,21,s104729_S_b027,27
Th(IV),-0.229751,0.986276,0.622782,-2.28402,773,s104729_S_b027,27
Tm(III),1.35615,-0.800058,-0.645654,-0.727674,201,s104729_S_b027,27
U(IV),-1.52836,0.936636,1.18243,-1.08035,15,s104729_S_b027,27
U(VI),-1.07382,0.92075,-0.209666,0.93858,1036,s104729_S_b027,27
Y(III),-1.35898,1.16577,-0.687734,-3.90696,28,s104729_S_b027,27
Yb(III),1.43276,-0.835085,-0.699468,-0.779582,231,s104729_S_b027,27
Zr(IV),0.181461,0.660555,-2.89302,-2.13505,13,s104729_S_b027,27
