extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,family,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.941306,-0.514588,0.547624,-1.02717,6.7164,1.19965,0.137096,0.534275,5,crown_ether_calixarene,s104729_S_b000,0
C1COCCOCCOCCOCCOCCO1,0.829269,-0.729643,-0.0854444,-1.05326,6.82136,1.85943,0.594706,0.886526,5,crown_ether_calixarene,s104729_S_b000,0
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-0.0801488,1.03287,-1.59125,0.0685067,2.30588,0.385602,-0.20538,-0.439414,7,n_heterocyclic,s104729_S_b000,0
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.30783,1.7255,0.0606769,1.24527,0.828642,0.253162,-3.09967,-1.55054,46,n_heterocyclic,s104729_S_b000,0
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-2.05957,1.34101,0.413632,1.27061,-1.57732,0.842888,0.879198,-2.39444,6,polyamide_other,s104729_S_b000,0
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.24726,-0.919048,0.640075,1.16226,0.336632,0.913705,0.698501,-0.140811,2,pyridine_carboxamide,s104729_S_b000,0
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-0.576304,1.23773,-1.00457,2.93641,-0.169124,2.63761,0.900516,-1.65686,2,n_heterocyclic,s104729_S_b000,0
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.835618,-0.598863,-0.674306,-0.0650054,-0.537428,-1.03049,-0.236366,0.379464,14,diglycolamide,s104729_S_b000,0
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.541272,-0.0985329,-0.918366,-0.742006,0.594678,-0.578834,-0.60135,-0.660284,6,carbamoylmethylphosphine_oxide,s104729_S_b000,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.824292,-0.713987,-0.467166,0.0545005,-0.0374591,-1.07714,-0.904028,0.343993,52,diglycolamide,s104729_S_b000,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,1.41064,-0.38866,-0.296568,-0.66423,-0.426823,-0.350238,1.05487,0.129473,2,diglycolamide,s104729_S_b000,0
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.54075,-2.20106,1.05221,1.11503,1.22901,1.22985,-0.000853628,-1.17548,7,monoamide,s104729_S_b000,0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.826547,-0.524008,-0.524164,0.0368804,-0.408836,-0.938971,-0.562181,0.346016,60,diglycolamide,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,0.948927,3.03423,-0.289131,0.329602,0.770531,-2.3342,-3.83657,-1.5493,12,n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-0.457578,1.55838,0.105292,1.91892,0.955265,0.0171992,-2.84742,-2.58084,22,n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-0.185749,0.675281,0.185563,0.474947,3.36789,3.16634,-0.748302,-2.00819,12,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-0.117463,1.08029,-0.378333,2.07768,1.04471,-0.365774,-0.755908,-0.28704,24,malonamide+n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.536714,0.846621,-0.0707273,1.42424,1.22568,0.884535,-0.904684,-1.94693,4,n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-0.499362,0.255645,0.406545,0.874334,3.52151,3.58835,-1.46034,-2.36915,12,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.21473,2.03422,-0.253537,1.26925,1.45223,-0.711736,-2.45763,-2.08961,24,n_heterocyclic,s104729_S_b000,0
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.283269,1.02753,0.0592568,1.70522,0.914181,0.853715,-2.00142,-2.12255,10,n_heterocyclic,s104729_S_b000,0
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.860644,-0.568539,-1.31431,2.95412,1.41439,0.756789,-2.22247,-1.4467,22,n_heterocyclic,s104729_S_b000,0
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,0.405366,2.20601,0.163839,1.19565,1.21674,-0.60868,-3.28647,-1.9345,28,n_heterocyclic,s104729_S_b000,0
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-0.166023,1.30927,0.0858437,0.63619,1.45498,0.178141,-3.49455,-1.49703,30,n_heterocyclic,s104729_S_b000,0
CCCC(=O)N(CC(C)C)CC(C)C,-0.773258,-1.23039,0.625476,0.196468,0.98708,0.545452,-0.67499,-0.691442,9,monoamide,s104729_S_b000,0
CCCCC(CC)C(=O)N(CCCC)CCCC,-1.69548,-1.42803,0.860353,0.0981807,1.49947,1.4826,0.115584,-0.956405,61,monoamide,s104729_S_b000,0
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.76553,0.0367588,-0.444732,-0.429359,-0.625466,-0.846407,-0.0801248,0.605199,14,diglycolamide,s104729_S_b000,0
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.03229,-0.650697,-0.0146048,-0.802077,3.49111,-0.66991,1.68204,-1.0705,63,amino_polyamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-1.36388,-1.81735,0.607958,0.42373,0.98919,1.03724,0.595353,-0.676084,90,monoamide,s104729_S_b000,0
