g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.160516,-0.296739,-0.702961,0.370425,0.0479791,0.0642661,0.757302,-0.807204,1733,s104729_S_b018,18
Am(VI),1.0713,-0.437307,0.594746,0.855547,0.512468,0.473922,0.268672,1.68502,27,s104729_S_b018,18
Ba(II),2.70928,1.88969,-2.34762,0.855883,1.0008,-0.864817,3.24659,-0.124576,25,s104729_S_b018,18
Bi(III),-0.456009,0.0862651,-1.97183,-2.08599,-1.01956,-0.474571,2.87008,0.538007,17,s104729_S_b018,18
Ca(II),1.84713,-0.842094,-1.52463,-0.198633,-1.36519,0.414495,2.81352,0.612137,22,s104729_S_b018,18
Cd(II),5.33996,-0.477891,-2.51484,0.487484,-5.19495,1.08123,-2.09618,-2.45465,4,s104729_S_b018,18
Ce(III),0.696717,1.35826,0.220728,-0.487913,0.597005,-0.968439,-1.70624,0.0287864,293,s104729_S_b018,18
Cf(III),-0.434347,-1.14812,0.41979,-0.195977,-0.198613,-0.507088,1.24311,-0.869304,9,s104729_S_b018,18
Cm(III),-0.454678,-0.872027,-0.202484,0.213128,-0.126049,-0.785833,1.29561,-0.470481,52,s104729_S_b018,18
Dy(III),-0.7638,0.138024,0.384805,-0.73264,-0.686354,-0.287148,0.108705,-0.571984,317,s104729_S_b018,18
Er(III),-0.889186,0.0274846,0.538607,-0.891164,-0.78385,-0.262208,0.480866,-0.396959,300,s104729_S_b018,18
Eu(III),-0.68056,1.14469,-0.290194,-0.981487,0.121016,0.0767834,-0.0326918,0.410224,1692,s104729_S_b018,18
Gd(III),-0.668449,0.768989,-0.00808524,-0.703055,-0.154274,-0.13068,-0.6768,-0.533391,375,s104729_S_b018,18
Hf(IV),-0.995401,-0.616167,1.5647,0.370514,-1.35084,-0.747607,2.72553,-1.20308,5,s104729_S_b018,18
Ho(III),-0.89061,0.111883,0.455858,-0.862623,-0.770533,-0.181405,0.419664,-0.483739,264,s104729_S_b018,18
In(III),3.74555,-0.697957,-1.72695,1.34153,-0.51931,2.09221,1.40125,-1.67682,5,s104729_S_b018,18
La(III),0.964556,1.70386,0.158275,-0.229965,0.638273,-0.868196,-1.6427,-0.359484,344,s104729_S_b018,18
Lu(III),-0.863451,0.116725,0.55814,-1.26113,-1.06767,-0.413052,0.582113,-0.428977,247,s104729_S_b018,18
Nd(III),0.139015,1.14924,-0.181855,-0.258432,0.194543,-0.538767,-1.78106,-0.383188,421,s104729_S_b018,18
Np(IV),-0.780039,-0.733423,0.617291,1.86021,0.0777531,1.07799,0.201959,0.72138,216,s104729_S_b018,18
Np(V),0.518527,-0.419628,0.163495,3.41853,1.38755,-1.66672,1.11388,0.726279,187,s104729_S_b018,18
Np(VI),0.699346,0.038758,1.10067,2.30319,0.176313,-0.754634,-0.585301,1.44103,67,s104729_S_b018,18
Pa(V),0.710856,-1.16553,-1.02029,2.97527,0.110822,-0.360231,-0.624843,1.86897,43,s104729_S_b018,18
Pb(II),0.939841,2.61873,-2.93369,-1.54504,0.184923,-0.410343,1.59639,-0.422836,10,s104729_S_b018,18
Pd(II),2.10462,-2.76342,2.0769,0.944229,-3.74193,-2.05655,-1.81172,-0.292825,18,s104729_S_b018,18
Pd(IV),1.3252,-1.11251,1.62711,3.01571,1.17922,-3.55548,-0.937801,1.35091,5,s104729_S_b018,18
Pm(III),-0.585168,1.0134,-0.173206,-1.08515,-0.0694317,-0.268062,-0.342501,0.255562,1,s104729_S_b018,18
Pr(III),0.493849,1.31098,0.159947,-0.467256,0.449227,-0.507335,-1.67927,-0.241313,348,s104729_S_b018,18
Pu(III),-0.476516,-2.49617,-0.415344,0.504977,0.0798353,-0.436996,0.314695,1.17849,118,s104729_S_b018,18
Pu(IV),-1.03267,-1.93329,0.522633,1.05288,-0.846769,0.836949,0.121869,1.13943,437,s104729_S_b018,18
Pu(VI),0.499846,-1.10818,0.923388,1.43271,-0.715056,-1.10943,-0.670505,1.81415,107,s104729_S_b018,18
Sm(III),-0.120214,0.816265,-0.0406636,-1.08952,-0.0596284,-0.198532,-1.14765,-0.569228,323,s104729_S_b018,18
Sr(II),2.32501,0.233817,-1.78464,-0.0395664,-0.574316,-0.229125,2.77307,0.829302,94,s104729_S_b018,18
Sr(III),2.9373,-0.929387,-0.621389,-0.0914932,-0.872498,-0.859632,5.67821,0.154756,38,s104729_S_b018,18
Tb(III),-0.78602,0.628401,0.127229,-0.856001,-0.454856,0.0152717,0.235644,-0.186341,269,s104729_S_b018,18
