g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.118147,0.416777,0.327521,-0.220583,-0.195059,-0.0603984,0.793382,1.55623,1714,s104729_S_b014,14
Am(VI),-0.812077,-0.231862,0.758075,0.734671,-1.61549,1.22664,0.254153,-0.335265,27,s104729_S_b014,14
Ba(II),1.73738,1.6873,2.66429,-4.32071,-0.22507,-1.62229,2.9087,0.594178,25,s104729_S_b014,14
Bi(III),2.20689,-0.525848,-0.251128,1.85515,1.26025,-2.34914,0.864278,1.08161,17,s104729_S_b014,14
Ca(II),0.107492,0.770212,0.69772,-1.35359,0.649304,-1.05522,2.37012,-0.0425497,22,s104729_S_b014,14
Cd(II),4.39082,-1.89464,3.48292,-1.06628,1.35417,-2.12184,0.366833,0.208256,4,s104729_S_b014,14
Ce(III),0.30343,-0.190408,-0.176543,-1.48609,-0.683942,-1.88729,0.00432107,-0.0446933,293,s104729_S_b014,14
Cf(III),-0.0821156,1.3068,-0.117372,0.508199,-0.215943,-0.260575,0.721287,0.816953,9,s104729_S_b014,14
Cm(III),-0.160515,1.23564,-0.0449168,-0.279388,-0.362659,0.648579,0.697643,1.21782,135,s104729_S_b014,14
Dy(III),0.103773,0.427381,-0.802743,-0.124564,0.980685,0.108429,-0.622698,0.56016,377,s104729_S_b014,14
Er(III),0.0267905,0.774962,-0.90143,0.121181,1.21433,0.224677,-0.68322,0.504021,300,s104729_S_b014,14
Eu(III),0.033642,-0.583733,0.00772597,-0.273877,1.32747,-0.505132,0.159901,0.687981,1670,s104729_S_b014,14
Gd(III),0.135931,-0.274415,-0.294865,-0.496255,1.03251,-0.176593,-0.680164,0.246843,375,s104729_S_b014,14
Hf(IV),1.24371,0.673846,-3.46458,-1.23495,0.191301,-0.904786,-0.979782,1.14088,5,s104729_S_b014,14
Ho(III),0.0863955,0.684563,-0.708913,0.0953951,1.22042,0.197659,-0.745202,0.533097,264,s104729_S_b014,14
In(III),3.49648,-0.154676,3.08484,-0.593828,1.96349,2.54427,1.14041,0.51827,5,s104729_S_b014,14
La(III),0.356299,-0.259377,0.0738677,-1.92615,-0.634855,-1.71293,-0.0861224,-0.455798,344,s104729_S_b014,14
Lu(III),0.131715,1.21942,-0.87524,0.222288,1.45812,0.15382,-0.835038,0.226031,247,s104729_S_b014,14
Nd(III),0.0909046,-0.516192,0.452567,-0.997507,-0.0780737,-1.32738,-0.710999,-0.110399,433,s104729_S_b014,14
Np(IV),-0.517762,-0.953012,-0.120083,0.0816317,-0.627783,1.2727,-0.797114,0.671283,216,s104729_S_b014,14
Np(V),0.418163,0.0482765,1.54711,-1.09238,-2.04097,2.72935,0.72488,-0.469381,166,s104729_S_b014,14
Np(VI),-0.548117,0.0637584,1.1012,0.23055,-1.28512,1.17986,-0.257585,-1.45256,67,s104729_S_b014,14
Pa(V),1.61352,-0.305581,0.491906,1.00281,-1.84719,1.02664,-0.102272,-0.984898,43,s104729_S_b014,14
Pb(II),2.33523,-0.711513,1.07778,-1.01629,0.2287,-1.35318,1.56474,0.532337,10,s104729_S_b014,14
Pd(II),2.60335,-2.29006,0.262805,1.15641,-0.289233,-3.32106,-0.283707,1.43997,18,s104729_S_b014,14
Pd(IV),4.37519,0.0898974,1.42119,-0.0593138,0.143254,-0.10426,1.5326,0.0894088,5,s104729_S_b014,14
Pm(III),-0.0169807,-0.539629,-0.0938661,-0.266959,1.09226,-0.615093,-0.210004,0.45757,1,s104729_S_b014,14
Pr(III),-0.0752771,-0.407083,0.268856,-1.34815,-0.115823,-1.30324,-0.290761,-0.287218,348,s104729_S_b014,14
Pu(III),-0.81295,0.15078,-0.785528,0.448961,-1.39638,0.33713,1.2216,1.03272,118,s104729_S_b014,14
Pu(IV),-0.47384,-0.733491,-1.45542,0.149073,-1.23511,0.282136,-0.797309,0.984109,580,s104729_S_b014,14
Pu(VI),-0.398125,0.290341,-0.17694,0.226206,-1.86792,0.137074,-0.142208,-1.1261,107,s104729_S_b014,14
Sm(III),-0.129295,-0.0150811,0.404877,-0.560649,0.598772,-0.770266,-0.734509,0.274357,323,s104729_S_b014,14
Sr(II),0.219712,1.21116,1.63557,-2.33266,0.298101,-1.13159,2.67779,-0.0946394,94,s104729_S_b014,14
Sr(III),1.17546,3.23498,2.11089,-0.00230657,0.951465,-0.717499,3.24426,-1.46227,38,s104729_S_b014,14
Tb(III),0.0497451,0.157411,-0.540798,-0.218792,1.08442,0.0290654,-0.606332,0.499756,269,s104729_S_b014,14
