g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.335154,0.298326,0.624162,-0.267029,-0.605672,-1.07873,0.749333,-0.0845344,1719,s104729_S_b008,8
Am(VI),0.695695,0.364377,-0.623646,0.480707,-0.630611,-1.20703,-1.25568,0.178477,27,s104729_S_b008,8
Ba(II),-2.68172,1.17805,-2.5423,1.29044,-6.36834,-0.44641,3.82469,-1.96426,25,s104729_S_b008,8
Bi(III),-0.829509,1.46375,0.350602,-1.63023,-0.859939,2.49909,0.487866,1.31581,17,s104729_S_b008,8
Ca(II),-2.26933,0.418959,-0.406155,-1.05063,-2.50329,0.920649,1.8441,-1.33417,22,s104729_S_b008,8
Cd(II),-1.14153,0.552545,-2.84858,2.52805,-3.70418,-0.186793,4.52031,-2.32355,4,s104729_S_b008,8
Ce(III),-0.446544,0.835252,-0.337148,0.835743,-1.6081,1.98627,0.590175,0.376873,278,s104729_S_b008,8
Cf(III),0.0104999,0.188333,1.97353,-0.343317,0.272599,-1.50177,0.427884,0.495101,9,s104729_S_b008,8
Cm(III),-0.223017,0.761471,1.35406,0.0427311,0.108349,-1.69403,0.543564,0.20212,135,s104729_S_b008,8
Dy(III),-0.388419,-0.430422,1.16742,-0.247396,0.935924,0.976144,0.4819,0.187866,377,s104729_S_b008,8
Er(III),-0.0820288,-0.671467,1.46593,-0.540181,1.24188,1.11619,0.290826,0.349588,300,s104729_S_b008,8
Eu(III),-0.165998,0.0949251,0.0387776,-0.929912,0.423048,1.43831,0.801924,0.249382,1692,s104729_S_b008,8
Gd(III),-0.269272,-0.298213,0.403502,-0.232989,0.587252,1.39161,0.843416,0.218833,375,s104729_S_b008,8
Hf(IV),-1.35548,-0.370794,1.35229,0.736217,0.91419,0.673968,1.25445,0.363094,5,s104729_S_b008,8
Ho(III),-0.0856083,-0.736305,1.44942,-0.492016,1.19115,1.1114,0.426818,0.287636,254,s104729_S_b008,8
In(III),-0.773709,1.21915,-1.3621,-0.717229,-1.61669,-1.57595,3.95857,-1.50402,5,s104729_S_b008,8
La(III),-0.542495,0.908106,-0.558688,1.25651,-1.84375,1.89611,0.932095,0.209899,344,s104729_S_b008,8
Lu(III),0.236285,-0.87105,1.76322,-0.665982,1.49295,1.3271,0.255876,0.419412,247,s104729_S_b008,8
Nd(III),0.169608,-0.139347,-0.310069,0.805691,-0.689282,1.82913,1.09059,0.529242,433,s104729_S_b008,8
Np(IV),-0.624628,-0.631987,-0.962469,-0.0301373,1.06417,-0.538694,-0.399533,-0.743812,216,s104729_S_b008,8
Np(V),1.87555,1.47291,-0.407456,0.619658,0.615692,-1.87471,0.256895,-1.96061,187,s104729_S_b008,8
Np(VI),1.17744,0.438609,-1.07267,0.892457,0.85569,-0.278805,-1.2052,-0.40892,67,s104729_S_b008,8
Pa(V),1.02353,0.651826,-0.504212,-0.00460449,-0.221607,0.164825,-1.23318,-2.08164,43,s104729_S_b008,8
Pb(II),-1.59154,1.59972,-2.37599,-0.668245,-3.97376,1.12355,2.55391,1.22273,10,s104729_S_b008,8
Pd(II),-1.14679,-1.02402,1.41927,2.64992,-4.46305,1.41934,3.80955,1.71305,18,s104729_S_b008,8
Pd(IV),0.300577,0.90082,1.60628,1.15549,-3.26821,1.25476,3.77191,0.596021,5,s104729_S_b008,8
Pm(III),-0.235718,0.0432191,0.340752,-0.59885,0.139465,1.46431,0.688652,0.492662,1,s104729_S_b008,8
Pr(III),-0.252133,0.061841,-0.607205,0.651144,-1.08079,1.82006,0.818684,0.139839,348,s104729_S_b008,8
Pu(III),-0.977763,0.797996,0.63805,0.576347,-0.0440728,-2.28899,-0.679018,0.444411,98,s104729_S_b008,8
Pu(IV),-1.94749,-0.177615,-0.485755,0.112552,1.14417,-0.673171,-0.890479,-0.371959,580,s104729_S_b008,8
Pu(VI),-0.0844891,1.00064,-0.510195,1.02912,0.84629,-0.348538,-1.57676,-0.0177722,107,s104729_S_b008,8
Sm(III),-0.322327,-0.324308,0.278571,0.138702,-0.196528,1.62476,0.896147,0.43705,323,s104729_S_b008,8
Sr(II),-2.20222,0.649532,-1.1212,-0.256289,-4.19973,1.09181,2.24944,-1.86785,94,s104729_S_b008,8
Sr(III),-0.611186,0.627226,0.638225,-0.465023,-2.29912,-0.275046,1.061,-3.93633,38,s104729_S_b008,8
Tb(III),-0.277096,-0.385181,0.783465,-0.42433,0.979552,1.10614,0.682533,0.208629,269,s104729_S_b008,8
Tc(VII),-0.659502,0.915395,2.15482,1.64825,0.0794566,1.61743,-1.41245,1.87035,21,s104729_S_b008,8
Th(IV),-0.661603,0.585075,0.482724,-1.49,-0.668484,0.0147526,-0.426674,-0.326688,773,s104729_S_b008,8
Tm(III),0.08985,-0.804517,1.64497,-0.5885,1.42508,1.19303,0.290425,0.362252,201,s104729_S_b008,8
U(IV),0.725294,1.39924,-0.0422301,-0.330032,-0.426233,0.3241,-0.400015,-1.44812,15,s104729_S_b008,8
U(VI),0.711387,0.356573,-1.61111,0.644724,0.676351,0.172067,-1.58839,-1.45827,1036,s104729_S_b008,8
Y(III),0.885583,2.20292,1.76545,-1.93497,-0.0565537,0.98468,-1.68507,0.956153,28,s104729_S_b008,8
Yb(III),0.133748,-0.690031,1.68621,-0.820968,1.60442,1.30471,0.313488,0.309098,231,s104729_S_b008,8
Zr(IV),-0.528031,0.482917,1.99907,0.223495,1.07009,1.25514,-0.424194,0.91575,13,s104729_S_b008,8
