extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-4.94287,-3.68913,-2.6864,-0.321709,2.84076,3.32117,2.43688,-0.990786,-1.31294,1.06776,1.32833,1.33177,0.752532,-0.880661,1.00372,-4.07952,5,s104729_S_b012,12
C1COCCOCCOCCOCCOCCO1,-5.48326,-2.60377,-2.87731,-0.79979,2.59672,3.22763,2.14579,-0.659667,-1.24759,0.599318,-0.0114397,1.01138,0.528606,-0.488061,1.42192,-4.8114,5,s104729_S_b012,12
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-2.81022,1.30193,0.877702,0.799539,-0.266957,-1.46609,1.72785,0.397797,1.75925,0.744709,1.01636,1.14703,0.663786,-1.40304,-0.708036,-0.494417,7,s104729_S_b012,12
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.10783,-0.962574,-1.71103,-0.211664,0.585701,0.758799,0.578236,2.06867,1.35027,1.01705,1.44181,-2.16597,0.94988,-1.83551,-1.01236,-0.931061,46,s104729_S_b012,12
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-3.05747,0.0443378,-3.51843,-1.31789,0.139797,0.411801,1.49753,3.29961,1.58733,0.88137,0.797875,-0.606985,4.0488,-0.398181,-4.56587,1.59472,6,s104729_S_b012,12
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.190965,1.0441,0.0536073,1.14043,1.00887,0.194473,0.123354,-0.797656,2.2366,0.0447559,-0.321506,0.284321,0.383429,1.82671,-2.20483,0.374718,2,s104729_S_b012,12
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-3.24591,-1.35473,-4.51502,-0.387725,0.267164,0.90296,5.27072,3.06298,2.50544,2.48075,1.68401,-1.01782,2.13095,-5.21783,-3.5365,1.94643,2,s104729_S_b012,12
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.54127,-0.758006,-0.820865,-0.842401,-0.991128,-0.153109,0.906148,-0.0279588,-0.34317,-0.525006,0.104422,1.01654,0.21593,-0.204809,0.549277,-0.182243,14,s104729_S_b012,12
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-1.26435,-1.33376,0.826874,-0.809149,1.54796,1.01588,0.272064,-2.22924,-0.518864,0.485377,-2.44538,3.14599,1.66651,0.111188,1.52044,-0.813063,6,s104729_S_b012,12
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.623744,-0.453176,-0.35772,-1.5723,-0.746874,-0.07795,1.11347,-0.202701,-0.281298,-0.53826,0.212615,-0.255729,0.299232,-0.456323,0.128177,-0.393352,52,s104729_S_b012,12
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.239479,-1.42694,-0.032188,-1.07967,-0.822943,0.300135,0.495654,0.36529,-0.66557,-1.42231,0.676789,0.819852,0.538513,0.219084,0.215946,-0.624936,2,s104729_S_b012,12
CC(C)CN(CC(C)C)C(=O)C(C)C,-2.11389,1.91422,-0.168311,0.472562,1.4592,-0.953288,1.08686,-1.88417,1.58364,0.737302,-0.374622,0.713591,1.65731,0.790798,-1.30825,0.685741,7,s104729_S_b012,12
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.39216,-0.286226,-0.235079,-1.64976,-0.355847,0.0146189,0.93645,-0.0914551,-0.404787,-0.785654,0.492297,-0.558514,0.208535,-0.149823,0.536343,-0.300831,60,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,1.69643,-2.95508,-0.0938305,-0.407636,0.40718,-0.569948,0.729774,1.73358,0.0632259,0.371733,3.79912,-3.68424,-1.01004,-2.61271,0.219143,-1.62119,12,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,0.502667,-1.96497,-2.72977,-0.758602,0.968789,-0.971746,0.543225,1.78919,1.95419,2.35315,1.10453,-1.75637,1.07055,-2.37981,-1.1021,-0.280186,22,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-2.44887,-0.335984,1.8899,2.36833,-0.623865,-3.94447,-1.94172,0.359571,-0.595093,1.56915,0.409784,-1.95856,1.76987,-1.57083,-2.90958,1.28914,12,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,0.414033,-1.42014,-0.687108,-1.82568,-0.362578,-1.23952,-1.37806,0.0306994,-0.148344,1.71178,1.96678,-1.50715,2.17293,0.428995,1.37398,0.502915,24,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.633479,-0.456903,-0.708663,-0.117241,0.799212,-1.03584,0.830481,1.33483,2.36846,2.16209,0.515429,-0.399766,0.647591,-0.984181,-1.55219,0.835378,4,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-1.74835,-0.149981,1.57504,2.07109,-0.146806,-3.70198,-0.163607,0.194307,-0.352037,2.06824,1.00139,-2.6542,1.9173,-1.58822,-3.21731,1.04811,12,s104729_S_b012,12
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-0.0792705,-1.81477,-2.17617,-0.342324,0.797852,-0.756925,0.743737,1.5817,1.32575,1.39177,1.50244,-2.25068,0.570856,-2.28475,-0.594231,-1.02087,24,s104729_S_b012,12
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.487205,-0.439826,-2.43922,-0.512618,1.27423,-0.848874,1.19068,2.04639,1.80012,2.20166,0.19449,-0.801262,0.926172,-1.27293,-1.79554,0.0625638,10,s104729_S_b012,12
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.0910419,-0.814709,-3.27136,0.856317,-0.475623,-2.22307,0.073311,-0.951458,0.860646,2.02979,-0.722706,-1.30961,-1.08372,-2.25941,-1.68773,-0.309196,22,s104729_S_b012,12
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,-0.101634,-2.52542,-1.90812,0.380139,0.517701,-0.646163,0.320384,2.52424,1.13585,1.32459,2.31548,-3.7993,-0.175987,-2.41027,-0.213609,-1.00807,28,s104729_S_b012,12
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-0.578001,-1.31378,-1.58734,0.159998,1.02026,-0.490355,1.47054,2.35878,1.38125,1.8386,1.89007,-3.1768,0.261789,-2.65699,-1.36116,-0.0302463,30,s104729_S_b012,12
CCCC(=O)N(CC(C)C)CC(C)C,-0.896974,1.48048,0.242467,-0.710659,1.42818,-0.515267,1.25002,-0.952879,0.839714,0.331564,0.315828,0.359203,1.02986,0.267406,-0.624774,0.409522,9,s104729_S_b012,12
CCCCC(CC)C(=O)N(CCCC)CCCC,-1.45754,1.7326,-0.0352243,-0.495605,2.26906,-0.901241,0.144725,-1.2615,1.54728,1.0682,0.00143505,1.45984,1.73488,0.843626,-0.965789,0.312946,61,s104729_S_b012,12
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.762499,0.110428,0.15061,-0.586084,-0.0219754,0.126413,0.763346,0.900518,-0.840174,-0.941098,0.698278,0.483556,0.122964,-0.213329,0.966822,0.0379172,14,s104729_S_b012,12
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.960179,-2.97327,1.54159,1.30504,1.49007,-1.37977,-0.348082,0.745929,0.253208,1.44184,2.82502,-1.37367,2.10835,0.446042,3.13135,-1.16133,63,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-0.994812,2.25889,-1.33565,0.0825957,1.70912,-0.94311,0.280369,-1.45628,1.20958,0.100161,-0.403115,1.09101,1.98726,0.758838,-0.469805,0.808695,90,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-0.448758,1.67203,-1.34991,0.59651,2.07354,-1.81031,0.0155086,-2.05481,1.29157,0.486432,-0.105883,0.916879,1.95625,0.588478,-0.407599,0.400698,451,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-0.215933,1.7341,-0.802702,-0.597754,1.95481,-0.809316,0.61499,-0.87597,0.807963,0.852624,-0.0892431,1.07387,1.53898,0.11476,-0.483265,0.679919,25,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-0.374352,1.70027,-0.511355,0.408917,1.88878,-0.500629,-0.147838,-0.962741,0.850036,-0.0109809,-0.0673976,0.976661,1.46855,0.885405,-1.02153,0.965747,29,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-1.08249,1.38975,0.242726,0.93486,1.9923,-1.06116,-0.396323,-0.835756,0.756751,1.0012,-0.366718,0.903197,1.43512,0.438195,-0.127603,0.580086,447,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.428524,-0.0622709,-1.48652,-0.299753,1.8592,-1.03804,-1.7918,2.1557,0.417914,1.47275,-0.0970218,0.0611363,3.04317,2.20486,-2.78583,1.72305,4,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.773848,-1.9482,1.18054,0.703865,1.78926,-1.20705,0.354664,0.880712,0.295781,2.34602,1.1851,0.393519,3.45153,-0.350642,2.46995,-0.130315,24,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.910342,-0.0766121,-0.258244,0.466367,1.06736,0.00335014,-0.346974,0.923531,-0.994358,-0.483484,0.457441,0.569924,0.351278,0.305109,0.83046,0.60541,520,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-0.0606688,1.38086,-1.04975,-0.626798,1.77564,-0.442901,0.680461,-1.10297,0.9326,0.225185,0.371858,0.272277,1.14906,0.150656,-0.720881,0.395772,27,s104729_S_b012,12
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-1.1123,-0.213655,-1.32372,-1.31045,0.592437,-0.158025,0.110019,2.74707,1.42464,-1.09598,-0.530102,0.585368,-2.38795,0.148373,-0.0817188,1.12913,4,s104729_S_b012,12
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-1.46041,-1.49965,0.519938,-0.297561,2.33909,0.883207,0.291892,-2.15366,-0.23721,0.910277,-2.42935,3.0436,2.01401,0.0151598,1.30104,-0.701648,6,s104729_S_b012,12
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.738413,1.47799,-0.831509,0.467826,1.6621,-0.968959,0.405739,-1.07851,0.922743,0.293385,0.187261,0.19026,1.23491,0.531694,-0.193116,0.255133,5,s104729_S_b012,12
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.184585,1.43998,-0.326944,0.437512,1.83408,-0.752823,0.303694,-0.837578,0.775702,0.663688,-0.0198856,0.956351,1.18535,0.300896,-0.448119,0.707191,17,s104729_S_b012,12
CCCCCC(=O)N(CCCC)CCCC,-1.29625,1.5694,0.27238,0.256178,1.59555,-0.680907,0.318001,-1.16183,1.15596,0.350123,0.0446611,0.734471,0.928494,0.427868,-0.745971,0.218002,2,s104729_S_b012,12
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,-0.339702,-0.830682,1.04191,-0.122432,0.111607,1.40578,-0.223157,1.00892,-0.713168,-1.23169,0.806501,1.12448,-0.497351,1.1139,-0.347102,-0.631901,2,s104729_S_b012,12
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-1.34193,1.62496,-0.532903,0.210954,1.52433,-1.07474,0.586274,-1.60651,1.16642,0.554081,-0.18698,0.793902,1.51845,0.618868,-0.588144,0.436558,14,s104729_S_b012,12
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.722694,0.446051,0.412406,-0.767956,-0.512222,0.505391,0.77775,0.960827,-0.812379,-0.914969,0.659901,0.682047,-0.692311,-0.224514,1.00144,-0.334362,119,s104729_S_b012,12
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.599254,0.00446117,-0.218574,0.0889327,-0.405759,0.0773177,0.455854,0.743213,-0.677029,-0.415047,0.22103,0.832104,-0.231977,-0.121897,0.513803,0.636464,14,s104729_S_b012,12
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.4768,1.58269,0.538505,0.245813,1.26332,-0.570306,0.558475,-1.04464,1.16861,0.951544,-0.0523445,1.04608,0.954907,0.32965,-0.748712,0.524263,356,s104729_S_b012,12
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.926362,-0.372506,-1.18961,-1.32907,0.448162,0.0576098,0.253243,3.05077,1.23601,-1.11413,-0.373429,0.56736,-2.66063,0.0530857,-0.164172,1.16379,63,s104729_S_b012,12
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,-0.893598,-0.558729,0.973868,-0.632782,-0.561278,-3.70843,-0.160859,0.285278,1.61424,2.08142,-0.0526627,-1.17051,2.20261,-0.983132,-5.1243,1.13001,6,s104729_S_b012,12
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,-0.834777,-0.647162,1.37391,-0.0970774,-0.64819,-4.22716,0.469297,0.257316,1.13833,1.66038,0.238132,-1.08365,2.16397,-1.86143,-4.21547,0.911153,6,s104729_S_b012,12
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,-0.834427,-0.821975,1.33931,-0.121532,-0.64468,-3.56727,-0.394977,1.16557,1.25419,1.46279,0.163246,-1.59146,1.55905,-1.10801,-4.44444,1.65867,6,s104729_S_b012,12
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.44138,1.21619,-0.315131,1.33052,-2.26813,-0.0246654,1.34822,-1.96239,-1.64303,-1.03761,-1.05005,2.98121,-1.67456,-0.713399,0.331385,0.165773,14,s104729_S_b012,12
CCCCCCCCCC(=O)N(C)C,-0.83156,1.54805,0.360827,0.0771363,1.12711,-0.347137,0.50096,-0.727144,0.700007,-0.34363,0.555484,-0.149457,0.737001,0.66781,-0.141985,0.398633,5,s104729_S_b012,12
CCCCCCCCCC(=O)N(CC)CC,-0.894402,1.57806,0.243437,0.10024,1.32585,-0.60266,0.445692,-0.661862,0.560882,0.256412,0.275769,-0.127967,0.734468,0.339083,0.0267212,0.334639,5,s104729_S_b012,12
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,-0.805458,1.39926,-0.267917,0.370838,1.11951,-0.467639,0.166513,-1.17734,0.943853,0.776076,-0.271722,0.74932,0.769416,0.348125,-0.869635,0.545518,63,s104729_S_b012,12
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.592342,1.43224,-0.0521906,0.491579,1.6258,-0.772582,-0.228826,-1.10793,0.497518,0.619913,-0.154751,0.715808,1.15564,0.435936,-0.357469,0.804231,11,s104729_S_b012,12
CCCCCCCCCCCC(=O)N(CC)CC,-0.801781,2.02947,-0.420761,-0.947058,1.58122,-0.749836,0.712479,-0.971577,0.894111,0.944095,-0.250878,0.485372,1.22253,0.32882,-0.552764,0.810204,47,s104729_S_b012,12
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,-1.24751,0.888942,-0.357585,0.488433,0.655063,-0.525612,-2.41374,-0.673014,-0.546618,-1.88075,0.278357,-1.39115,0.483545,1.20498,1.94659,-0.443854,12,s104729_S_b012,12
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,-0.402602,0.127595,0.76095,-0.79069,-0.381812,1.43418,2.20141,1.23291,-0.529538,0.0418944,0.281956,-0.598703,-0.254657,-0.926241,0.0576304,-0.128388,105,s104729_S_b012,12
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,1.29609,0.312367,0.288525,-1.1452,-0.746469,0.180399,1.39766,0.695158,-0.367713,-0.231201,0.629207,-0.531848,-0.362311,-0.32311,0.383811,0.530607,22,s104729_S_b012,12
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.720918,0.212621,0.214718,-0.89086,-0.760926,0.9863,1.03661,0.664706,-0.826925,-0.290171,-0.101702,-1.37069,-0.629248,-0.687369,0.617209,0.0600602,26,s104729_S_b012,12
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.175838,-0.00335278,0.199568,-0.476482,-0.937349,1.05869,0.921221,0.0377327,-0.795125,-0.458976,-0.545917,-0.584861,-0.564844,-0.928451,0.391469,-0.299445,26,s104729_S_b012,12
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,0.558529,-0.0941089,0.312848,-0.471361,-0.853853,1.49258,0.265517,0.0973471,-0.646735,-0.533774,-0.421783,-1.04456,-0.805885,-0.479044,0.130189,-0.322376,22,s104729_S_b012,12
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.459303,0.895567,0.412744,-0.61829,-1.30339,1.0255,0.259394,0.199036,-0.609044,-0.0718759,-0.684095,-0.392253,-0.826903,-0.655198,-0.114761,0.592512,13,s104729_S_b012,12
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,0.0860156,1.05583,0.230533,-0.230879,-0.603377,0.931744,0.305824,0.181466,-0.391741,-0.0989108,-0.224989,0.146559,-0.381496,-0.00442841,-0.370899,1.12967,14,s104729_S_b012,12
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.496021,0.311764,0.85059,-0.449178,-0.164367,0.208565,-0.238822,-0.4089,0.216723,1.6226,-0.620139,-0.364468,-0.232013,-0.648841,1.10947,-0.837673,39,s104729_S_b012,12
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,-0.0584012,0.263177,0.503071,-0.241633,-1.48738,1.08058,-0.465195,-0.390091,-0.664757,0.206249,-1.30969,-0.805976,-0.629334,-0.566999,0.228922,0.0753796,368,s104729_S_b012,12
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,-1.1222,-2.10126,-0.912689,0.592803,-0.542745,2.00109,-0.313483,-0.718292,-0.798161,-0.282264,-2.22315,-0.217768,-0.193354,-1.61698,0.516656,-2.08248,208,s104729_S_b012,12
