g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.531667,0.105681,0.16136,-0.360426,0.292379,-0.690788,-0.0120443,-0.360224,1114,s104729_S_b000,0
Am(VI),-1.48195,-0.495993,0.526996,-0.379771,-0.551243,0.0315461,-0.305631,-1.12769,27,s104729_S_b000,0
Ba(II),0.912359,1.66524,1.46325,-3.83622,-0.284653,-0.283053,-3.52399,-0.349579,25,s104729_S_b000,0
Bi(III),2.44023,1.493,-1.78944,-0.762894,4.09355,1.83522,-3.82349,-1.8309,17,s104729_S_b000,0
Ca(II),0.474883,1.38502,-1.18904,-1.38597,-0.145582,2.21795,-1.85582,-1.43428,22,s104729_S_b000,0
Cd(II),2.41177,-0.0347744,-1.97134,-5.69284,-2.6122,-2.62447,-2.07585,0.924727,4,s104729_S_b000,0
Ce(III),0.341018,-0.00460332,0.601405,-1.20707,1.4427,-0.465921,-0.450955,1.89902,293,s104729_S_b000,0
Cf(III),0.24558,-0.508802,0.153184,-0.178098,0.418796,-0.89029,0.537858,-0.87589,9,s104729_S_b000,0
Cm(III),0.554393,-0.0728718,0.434146,-0.661403,0.506845,-1.40229,0.640675,-0.589835,135,s104729_S_b000,0
Dy(III),0.625961,0.317294,-0.270568,0.677325,0.833003,0.360285,0.681024,0.947958,377,s104729_S_b000,0
Er(III),0.700458,0.397433,-0.444085,0.945736,0.89678,0.493904,0.849492,0.912513,285,s104729_S_b000,0
Eu(III),0.410148,0.575261,-0.581018,-0.187326,0.744538,0.644637,0.246261,1.61234,1672,s104729_S_b000,0
Gd(III),0.475531,0.399678,-0.205229,0.0890966,1.15093,0.197029,0.499154,1.46733,375,s104729_S_b000,0
Hf(IV),2.5217,-0.898034,1.64144,2.98861,-3.20296,-0.183551,0.265465,-0.721977,5,s104729_S_b000,0
Ho(III),0.745763,0.395351,-0.371846,0.895967,0.854092,0.440237,0.886385,0.92919,264,s104729_S_b000,0
In(III),0.883909,2.10079,-2.46184,-2.2783,0.849227,-1.51201,-3.80423,-0.692654,5,s104729_S_b000,0
La(III),0.326691,0.145282,0.8927,-1.42474,1.49559,-0.621302,-0.691872,2.17242,344,s104729_S_b000,0
Lu(III),0.800802,0.483556,-0.431044,1.3123,0.958327,0.469063,1.04894,1.11087,247,s104729_S_b000,0
Nd(III),0.20771,-0.176163,0.592631,-0.899077,1.42425,-0.301699,-0.214682,1.90769,433,s104729_S_b000,0
Np(IV),-0.287521,-0.93986,-0.673949,-0.0203333,-0.327757,-0.219758,-0.575641,-1.46853,216,s104729_S_b000,0
Np(V),-1.32717,0.205338,0.470122,-1.17337,-0.522657,-1.70464,-1.45682,-0.698943,187,s104729_S_b000,0
Np(VI),-2.17521,-0.704406,0.140942,0.0391284,-0.865731,-0.091675,-1.0532,-1.64111,67,s104729_S_b000,0
