g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.21635,-0.663063,-0.493828,0.206454,-0.20267,0.16873,-0.539481,-0.0942327,-0.335384,0.344105,-0.462772,-0.482391,0.142274,-0.693517,0.040351,0.158685,1683,s104729_S_b020,20
Am(VI),-0.461598,1.47671,0.761999,-1.23737,0.292872,-0.779117,-1.08873,-0.791475,-0.178394,-0.843021,-0.030749,0.868521,0.139838,0.258002,-0.604073,0.946187,27,s104729_S_b020,20
Ba(II),0.751028,-0.635209,-1.27859,3.7073,-0.0147661,-2.77494,-1.46605,-2.86371,-0.202552,-0.894254,-2.84931,-1.07577,3.7565,-0.139158,-0.662155,0.73707,25,s104729_S_b020,20
Bi(III),-6.51324,-3.42308,0.727166,5.53518,0.085909,-2.98857,3.2469,1.29053,0.121165,1.55561,-0.33356,-0.368913,1.60368,3.64505,-1.32207,2.09897,17,s104729_S_b020,20
Ca(II),-0.498368,-2.29226,-1.73773,0.837609,-1.42114,-2.41493,0.207138,-1.70994,0.325489,0.0434204,-1.23774,-1.40845,1.70815,0.250902,-0.351146,-0.480016,22,s104729_S_b020,20
Cd(II),-1.93655,-2.31547,4.24105,8.81128,-1.37335,-7.44931,1.2653,-2.41473,1.88499,1.28373,-2.80099,1.84621,-0.570684,-2.21842,-9.59789,2.38678,4,s104729_S_b020,20
Ce(III),0.703175,0.494105,-0.541245,2.09602,0.50982,-0.8685,0.331571,-0.122374,0.0227865,-0.340713,1.49717,0.907512,0.398381,-0.379069,-0.597813,-0.690189,293,s104729_S_b020,20
Cf(III),-0.169273,-0.832291,-0.446127,-0.413507,-0.35642,0.973643,0.00245392,0.183978,0.038192,0.145096,0.0678939,-0.603973,-0.11937,-0.73995,-1.29467,0.0618182,9,s104729_S_b020,20
Cm(III),0.188313,-0.351787,-0.68492,0.065014,-0.635637,0.592241,-0.35352,-0.102462,-0.374372,0.680412,-0.511401,-0.0743526,0.163848,-0.451607,-0.915079,-0.0348171,135,s104729_S_b020,20
Dy(III),-0.0120561,-0.485144,-0.262923,0.251372,0.197665,0.294741,0.913496,0.214842,0.25944,0.185549,0.208225,-0.621971,-0.400578,-0.136611,0.251095,-0.758333,377,s104729_S_b020,20
Er(III),-0.112229,-0.69015,-0.171361,-0.0692248,0.165317,0.384088,1.03788,0.557846,0.338376,0.157759,0.213248,-0.443031,-0.668137,-0.307664,0.143065,-0.736295,300,s104729_S_b020,20
Eu(III),-0.0851531,-1.03455,-0.829045,0.632477,-0.0576281,0.168053,0.676033,0.159478,-0.190481,-0.619314,0.451507,0.708697,-0.3008,0.0925903,0.391319,0.0538859,1692,s104729_S_b020,20
Gd(III),0.463263,-0.260913,-0.517119,0.674969,0.464562,0.129694,0.577348,0.157003,-0.0636284,0.314869,0.303968,0.121597,-0.442722,-0.0926774,0.47417,-0.699324,360,s104729_S_b020,20
Hf(IV),0.0385314,-0.1958,0.696185,-3.39671,-0.0401128,-0.756806,1.35508,0.606517,-0.97697,-1.25293,-0.743258,-0.828974,-0.307237,0.800282,-0.360833,-0.976727,5,s104729_S_b020,20
Ho(III),-0.0877084,-0.610949,-0.169475,0.0902969,0.257185,0.402453,1.04129,0.454699,0.384554,0.267933,0.189402,-0.468222,-0.651141,-0.254713,-0.0215983,-0.771338,248,s104729_S_b020,20
In(III),-3.42117,-1.59969,2.45272,2.68008,-0.580901,-5.404,-1.45021,-0.143545,0.772376,0.988683,-2.15458,0.938727,1.89881,1.35788,-4.15105,2.91504,5,s104729_S_b020,20
La(III),1.20108,0.359278,-0.6011,2.48819,0.6366,-0.673118,0.208134,-0.254857,-0.345447,-0.578416,1.56848,0.626942,0.627917,-0.60886,-0.236771,-0.602519,344,s104729_S_b020,20
Lu(III),0.102317,-1.06753,-0.0756049,-0.268158,0.268794,0.47912,1.09775,0.962518,0.390814,0.100592,0.286115,-0.174593,-0.886136,-0.660162,0.0302007,-0.698723,247,s104729_S_b020,20
Nd(III),0.864097,0.337041,-0.331137,1.67951,0.860166,-0.0455666,0.453301,-0.395291,0.00929967,-0.245466,1.29817,0.172077,0.0587487,-0.366146,0.522885,-0.502195,433,s104729_S_b020,20
Np(IV),-0.805509,0.874309,-0.0271354,-1.1658,-0.341435,-0.511293,-0.238708,-0.89951,-0.579396,0.296812,-0.936362,-0.277897,-0.651237,0.733429,0.204996,-0.131858,216,s104729_S_b020,20
Np(V),0.0266625,1.42352,-0.0264061,-0.456199,0.161747,-1.1613,-1.43703,-2.4158,-2.24781,0.986574,0.0725898,1.51721,0.582253,-0.197907,-0.120752,1.13933,187,s104729_S_b020,20
Np(VI),-0.343486,0.894676,0.781323,-1.37483,0.756374,-1.44301,-0.465547,-1.48166,-0.416149,-0.857384,0.425382,1.07822,0.152869,1.05927,-1.3082,0.722804,67,s104729_S_b020,20
Pa(V),-0.0344967,0.534242,0.365858,-0.754301,-0.862904,-2.33886,-1.50673,-1.44423,-1.08592,-1.24129,-0.315597,0.0649051,0.161288,0.256921,-0.930819,0.476144,43,s104729_S_b020,20
Pb(II),-5.35622,-1.53646,-0.0550597,8.29542,0.71597,-3.78404,2.14818,0.322505,-0.946081,3.21291,0.201256,0.285495,3.02771,2.51577,-1.96674,2.60026,10,s104729_S_b020,20
Pd(II),2.01346,0.515834,5.34504,3.00158,0.232719,-3.70367,2.28559,-1.10569,0.458154,-1.36665,-2.67016,3.51807,-3.17677,2.12878,-3.80807,0.649969,18,s104729_S_b020,20
Pd(IV),0.722402,0.729396,4.10737,-2.63799,2.22261,-1.80079,-1.47379,-0.0648992,-0.611532,-2.10009,-1.8841,2.069,0.0933745,5.66396,0.821203,0.930977,5,s104729_S_b020,20
Pm(III),0.25065,-0.87124,-0.788015,1.04879,0.211984,0.37792,0.594658,0.368865,0.00150023,-0.297373,0.334463,0.701947,-0.210556,0.0511142,0.431572,-0.212489,1,s104729_S_b020,20
Pr(III),0.840725,0.241276,-0.565165,1.72623,0.413431,-0.472186,0.291473,-0.335826,-0.140437,-0.352769,1.3825,0.541026,0.237373,-0.222968,0.304007,-0.561932,348,s104729_S_b020,20
Pu(III),-0.227367,1.14498,-0.197725,0.321717,-0.501493,0.469625,-1.04669,0.299711,-0.209005,-0.657058,-0.486688,0.239952,0.205648,0.0163312,0.0663622,-0.683946,118,s104729_S_b020,20
Pu(IV),-0.922198,0.798262,-0.106573,-1.09989,-0.312754,0.00180647,-0.33639,0.0428091,-0.361397,-0.210671,-1.44482,-0.991471,-0.522633,0.738416,-0.127297,-0.806552,580,s104729_S_b020,20
Pu(VI),-0.446196,0.754898,0.686298,-1.22557,0.833916,-0.886808,-0.629207,-0.56698,-0.185924,-1.32309,-0.0142561,0.395903,0.314039,1.00426,-1.66791,0.0511873,107,s104729_S_b020,20
Sm(III),0.36689,0.0255218,-0.466795,1.02327,0.794916,0.0602816,0.607773,0.0645243,0.0801298,-0.164736,0.752327,-0.096067,-0.226867,-0.131096,0.333338,-0.65259,242,s104729_S_b020,20
Sr(II),0.0352284,-1.92483,-1.30158,1.77622,-0.630458,-2.53199,-0.391347,-2.09372,0.571578,-1.36033,-1.2592,-1.41211,2.56003,0.532649,0.130941,0.128966,94,s104729_S_b020,20
Sr(III),-0.0344977,-2.86663,0.43958,-0.938993,-0.530311,-1.83087,-0.316902,-2.81992,0.453167,-2.1493,-1.1637,-2.09959,1.98059,0.793299,-2.20963,0.955441,38,s104729_S_b020,20
Tb(III),0.168229,-0.647615,-0.623466,0.389538,0.1758,0.706227,0.828188,0.145639,0.00106948,-0.197735,0.0622008,-0.123039,-0.415621,0.0652531,0.44382,-0.397549,269,s104729_S_b020,20
Tc(VII),0.708734,-0.990617,0.441152,-3.05188,1.12829,-1.44349,0.486645,0.109474,-0.297515,-2.63313,0.116615,1.39013,-0.0499759,3.00832,0.731722,-1.66424,21,s104729_S_b020,20
Th(IV),-0.811744,0.89448,-0.701669,0.17757,-1.95531,-0.216148,-0.893619,0.0744385,0.0449095,-0.440508,0.713387,0.303951,-0.563827,-0.520626,0.19507,-0.720394,773,s104729_S_b020,20
Tm(III),0.0818024,-0.988603,-0.188804,-0.146983,0.137743,0.460928,1.0959,0.759496,0.392772,-0.0411468,0.240273,-0.31421,-0.710394,-0.483229,0.120098,-0.689611,201,s104729_S_b020,20
U(IV),-0.195145,0.959486,-0.297107,-0.320673,-0.912943,-1.76748,-1.11794,-1.00419,-1.08113,-0.637711,0.0106598,0.374908,0.0132676,-0.225233,-0.443413,0.0927019,15,s104729_S_b020,20
U(VI),0.35935,0.568806,0.454955,-1.89493,0.500137,-3.01684,0.0439111,-1.41661,-1.13968,-1.1341,-0.624556,0.284222,0.385933,1.19163,-1.35151,1.10835,1036,s104729_S_b020,20
Y(III),-1.95825,-0.0673793,-2.38508,-2.42475,1.29851,0.168782,-1.06464,-1.14299,-0.535288,-1.4478,-1.85816,0.215186,-0.993354,0.596449,-2.5836,-1.09802,28,s104729_S_b020,20
Yb(III),-0.0930339,-1.24275,-0.386023,-0.139721,0.156433,1.07174,1.13871,0.847737,0.214948,-0.422807,0.146266,-0.0642777,-0.692983,-0.457509,0.0013212,-0.394924,231,s104729_S_b020,20
Zr(IV),-0.10021,0.474937,1.07318,-3.17359,-1.41011,-1.35967,0.865361,1.22621,-0.350817,-2.66698,0.40908,-0.0979335,-0.986741,0.429049,-0.345575,-2.03731,13,s104729_S_b020,20
