extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,3.08772,0.0446932,1.31544,1.7859,5,s104729_S_b005,5
C1COCCOCCOCCOCCOCCO1,3.94757,-0.135603,0.554265,1.85789,5,s104729_S_b005,5
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,2.39828,-1.57944,3.63276,1.36053,7,s104729_S_b005,5
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1.03484,-0.845342,3.66015,-0.351316,46,s104729_S_b005,5
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,1.16079,0.258862,0.411888,2.87872,6,s104729_S_b005,5
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.2493,-0.194181,1.84493,1.15245,2,s104729_S_b005,5
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,1.80558,0.152708,1.57068,2.91397,2,s104729_S_b005,5
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.611468,-0.033533,-0.88564,-0.704162,14,s104729_S_b005,5
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.50393,-0.257152,-1.18062,1.13426,6,s104729_S_b005,5
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.401239,-0.420818,-0.764734,-0.584868,52,s104729_S_b005,5
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.0153062,-1.49452,-0.678132,-0.397633,2,s104729_S_b005,5
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.56986,0.414546,2.82942,2.22343,7,s104729_S_b005,5
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.337638,-0.279647,-0.733844,-0.7062,38,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,3.31232,0.122998,2.33462,-2.57267,12,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,0.36452,0.714552,2.40107,0.692213,22,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,1.06522,0.942961,2.42052,1.68204,12,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-0.536986,-0.321434,2.47156,-0.863381,24,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.0836203,-0.897759,2.03886,1.568,4,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,0.946358,1.59998,2.1965,2.56627,12,s104729_S_b005,5
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1.39109,-0.361322,3.92165,-0.0580092,24,s104729_S_b005,5
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,0.117377,0.376173,2.2381,1.49669,10,s104729_S_b005,5
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.713206,1.49076,2.36521,1.12094,22,s104729_S_b005,5
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,2.13325,0.489146,2.41234,-0.857476,28,s104729_S_b005,5
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0.808283,-1.83249,3.57263,-0.105706,30,s104729_S_b005,5
CCCC(=O)N(CC(C)C)CC(C)C,-0.80757,-0.232821,2.07723,1.57605,9,s104729_S_b005,5
CCCCC(CC)C(=O)N(CCCC)CCCC,-1.20531,0.0929434,2.84096,1.9543,61,s104729_S_b005,5
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.718155,-0.29581,-0.576262,-1.17405,14,s104729_S_b005,5
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,3.31497,2.77972,0.581432,1.21746,63,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-1.1193,0.714554,3.66043,1.23206,90,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-0.703444,1.1119,3.36983,1.44705,451,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-1.35735,-0.565476,2.32008,1.49195,25,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-1.5881,0.730888,2.9258,1.18994,29,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-0.722284,0.195727,2.7914,1.39793,447,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-1.08662,1.45511,-0.342506,2.10451,4,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.40431,1.44547,-0.193744,1.49425,24,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.319536,0.231525,0.207788,-0.734737,480,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-0.859094,-0.179836,1.64193,1.58446,27,s104729_S_b005,5
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.422472,-0.705707,-0.632428,0.0543043,4,s104729_S_b005,5
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.18753,-0.189809,-0.613397,1.72732,6,s104729_S_b005,5
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.618464,0.326827,2.33472,1.35615,5,s104729_S_b005,5
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.939659,0.0495852,2.90752,1.4673,17,s104729_S_b005,5
CCCCCC(=O)N(CCCC)CCCC,-1.09016,-0.00944305,2.58596,1.34895,2,s104729_S_b005,5
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,-0.0203381,-1.48172,-0.838274,-0.466224,2,s104729_S_b005,5
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-0.876464,0.368327,3.14512,1.59753,14,s104729_S_b005,5
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.900618,-0.706876,-0.863399,-1.03366,120,s104729_S_b005,5
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.161483,-0.387974,-0.720141,-0.754193,14,s104729_S_b005,5
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.20349,-0.592833,2.24013,1.47495,446,s104729_S_b005,5
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.0982263,-1.24813,-0.884359,-0.259247,77,s104729_S_b005,5
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,0.962732,0.881765,1.39569,3.98325,6,s104729_S_b005,5
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,0.588873,1.30755,1.58221,3.58224,6,s104729_S_b005,5
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,0.304467,1.05139,1.58452,3.16321,6,s104729_S_b005,5
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.988245,-0.512581,-0.491652,-1.05925,14,s104729_S_b005,5
CCCCCCCCCC(=O)N(C)C,-0.433894,-0.15907,1.6841,0.86434,5,s104729_S_b005,5
CCCCCCCCCC(=O)N(CC)CC,-0.555918,-0.126765,1.79985,1.05881,5,s104729_S_b005,5
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.11543,-0.405121,2.10157,1.3277,63,s104729_S_b005,5
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.929434,0.361724,2.80228,0.726222,11,s104729_S_b005,5
CCCCCCCCCCCC(=O)N(CC)CC,-1.00311,-0.263278,2.34317,1.56469,47,s104729_S_b005,5
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,-0.396188,1.65065,-0.167972,-1.4284,12,s104729_S_b005,5
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1.04912,-1.78639,-0.618274,-0.392792,105,s104729_S_b005,5
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0.386376,-1.15225,-0.747209,-0.804049,22,s104729_S_b005,5
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.183638,-0.159856,-0.988107,-1.10858,26,s104729_S_b005,5
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.385368,0.548877,-0.581997,-0.943493,26,s104729_S_b005,5
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,0.0388,0.688658,-0.915274,-0.985397,22,s104729_S_b005,5
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,-0.349273,-1.16937,-1.36736,-1.09639,13,s104729_S_b005,5
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,-0.552564,-0.938252,-0.574581,-0.7801,14,s104729_S_b005,5
