g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.738626,0.755532,0.238522,-0.146002,0.159785,0.67926,-0.074342,-0.130942,-0.756954,0.00919715,-0.186616,-0.18849,-1.02924,0.520831,-0.52056,0.0373859,1733,s104729_S_b026,26
Am(VI),0.153481,0.131206,-0.92404,0.162426,0.535994,-0.0872926,0.28503,-0.95469,0.285614,1.39121,0.741493,0.632693,0.742596,1.1406,-0.724881,0.187741,27,s104729_S_b026,26
Ba(II),-0.325002,2.7541,-2.52975,-1.69026,-1.84313,2.33511,-2.05251,-0.544359,1.75238,-0.251362,-3.30945,-3.16559,-2.84013,1.63371,-1.76052,0.616788,25,s104729_S_b026,26
Bi(III),-0.964518,0.533392,6.25342,-5.93747,4.74316,-1.23285,-0.789283,0.353585,1.9109,1.00421,-1.99672,0.315379,0.800055,3.03322,-2.41938,1.02919,17,s104729_S_b026,26
Ca(II),-0.524797,0.690667,0.283996,-1.45838,-0.804609,0.828256,-0.98246,0.352522,0.588467,0.426581,-1.85677,-0.621264,-2.67241,2.13708,0.396714,-1.48791,22,s104729_S_b026,26
Cd(II),-2.34667,3.36623,-1.61719,-4.24831,4.36015,1.98285,0.805763,-0.328138,4.72151,4.05328,-1.10792,-1.73859,1.13851,-2.29665,0.602598,8.71855,4,s104729_S_b026,26
Ce(III),-0.0694842,0.804714,-0.373983,-1.14487,-1.01474,0.645399,-0.520676,-0.563191,0.259455,0.358096,-0.505881,-0.832719,1.02191,-1.79774,-0.580258,0.437584,293,s104729_S_b026,26
Cf(III),1.2185,-0.132332,0.0250823,0.111873,0.751702,0.872687,0.077953,-0.202337,-0.733398,-0.576879,0.163767,0.560714,-0.750897,0.789662,0.251801,-0.182546,9,s104729_S_b026,26
Cm(III),1.5305,0.389314,0.0377249,0.0163838,-0.587023,1.215,0.0626818,-0.265298,-0.698406,-0.269581,-0.170151,0.296617,-0.506654,0.329448,-0.191692,0.0577475,135,s104729_S_b026,26
Dy(III),0.170595,-0.555066,0.905656,-0.23223,-0.199346,0.209141,0.0646387,0.517998,-0.0042031,-0.284686,0.0307663,0.129723,-0.377385,-0.863535,0.514129,-0.369546,377,s104729_S_b026,26
Er(III),0.239595,-0.842578,1.171,-0.0261619,-0.105956,0.108674,0.132681,0.5541,-0.123395,-0.340912,0.192911,0.34768,-0.427967,-0.767561,0.581751,-0.640819,300,s104729_S_b026,26
Eu(III),0.321854,0.314534,0.995769,-0.799169,-0.625011,-0.263115,-0.557618,-0.215929,-0.374469,0.232762,-0.0605643,0.343675,-0.399571,-0.572724,0.173485,-0.391795,1692,s104729_S_b026,26
Gd(III),-0.0192541,-0.150365,0.784956,-0.346904,-0.660887,0.0807672,-0.0947862,0.299403,0.0650809,-0.152288,-0.236777,-0.00731856,0.0238035,-1.15312,0.167741,-0.265934,245,s104729_S_b026,26
Hf(IV),1.5854,-1.45418,2.00755,0.697322,0.250092,0.32816,-0.422464,1.06808,1.50481,-1.04586,3.45373,-1.7339,-0.317245,0.964029,0.0970969,0.844813,5,s104729_S_b026,26
Ho(III),0.151615,-0.746489,1.19047,-0.00950326,-0.128725,0.146816,0.174715,0.612429,-0.111549,-0.417983,0.0522973,0.251477,-0.391009,-0.860304,0.532623,-0.540654,264,s104729_S_b026,26
In(III),0.327388,3.22274,2.37409,-0.55057,1.54493,0.674772,-0.245759,2.43618,4.412,1.04247,-1.19342,-2.38909,0.28571,1.1936,-1.84293,5.89578,5,s104729_S_b026,26
La(III),0.0285587,0.888707,-0.612872,-0.919254,-1.36382,0.815444,-0.564113,-0.437447,0.42498,0.342223,-0.852923,-0.833246,1.16195,-2.22343,-0.844898,0.580741,344,s104729_S_b026,26
Lu(III),0.265946,-1.24634,1.54747,0.295584,-0.174164,0.177079,0.196044,0.723333,-0.281701,-0.388553,0.125281,0.530609,-0.351274,-0.837652,0.639465,-0.740631,247,s104729_S_b026,26
Nd(III),-0.449112,0.421024,0.0176238,-0.423238,-1.32017,0.277772,0.0946398,-0.0823875,0.161991,0.089011,-0.844931,-0.445318,0.896719,-1.67474,-0.370884,0.19864,433,s104729_S_b026,26
Np(IV),0.268652,0.718217,0.120961,0.683174,0.444331,-1.11786,-0.0395668,0.26519,-0.122571,0.370084,0.273106,-0.27042,0.0274882,1.03655,0.224644,-0.0898491,216,s104729_S_b026,26
Np(V),0.333467,0.807535,-1.02757,2.50982,0.995658,-0.215945,-1.72597,-1.01854,0.366234,1.18694,-0.324423,1.41181,0.742667,1.62632,-0.583736,0.563425,187,s104729_S_b026,26
Np(VI),-0.281106,0.0801283,-0.219567,1.60593,1.14022,-0.901073,-0.621732,-0.484772,0.759636,1.72292,0.666269,0.995053,1.77048,0.791367,-0.0291255,-0.00951821,67,s104729_S_b026,26
Pa(V),-1.78542,-0.209293,-0.678095,1.16623,1.68339,-0.840393,-0.684768,0.433875,-0.21324,1.95337,-0.23167,0.26087,-0.423378,1.97784,-0.209975,0.515117,43,s104729_S_b026,26
Pb(II),-1.64331,2.79632,3.73763,-6.31392,3.9526,-0.270532,-1.27566,-0.856294,2.23302,1.22066,-3.82998,-2.0162,2.59889,2.68263,-3.87963,2.57565,10,s104729_S_b026,26
Pd(II),-0.901392,-3.5016,-2.23514,-1.80812,1.17237,0.0794083,-0.561825,-0.0722066,0.000866152,0.526877,1.85036,0.110338,-1.40673,-3.84667,1.32728,6.73791,18,s104729_S_b026,26
Pd(IV),0.128149,-3.38667,0.933339,1.63869,-0.842244,-0.762654,-3.19777,1.91387,0.185598,-1.69297,1.28654,-1.05968,-0.939444,-0.0952348,-1.77112,3.55004,5,s104729_S_b026,26
Pm(III),0.30152,0.0784228,0.845597,-0.998109,-0.703141,-0.169892,-0.300351,-0.0823398,-0.486855,0.0477904,-0.168275,0.228435,-0.132355,-0.910081,0.0509771,-0.265853,1,s104729_S_b026,26
Pr(III),-0.268002,0.614182,-0.0622989,-0.796878,-1.14012,0.281887,-0.286698,-0.34424,0.0350325,0.603558,-0.772697,-0.619827,0.801346,-1.73315,-0.423117,0.217245,348,s104729_S_b026,26
Pu(III),0.213943,0.636558,-1.07923,-0.0974627,0.51971,0.841226,0.0943611,-0.926026,-0.174375,-0.459167,0.803638,1.23515,0.314342,0.883278,0.583066,0.943075,118,s104729_S_b026,26
Pu(IV),0.0383559,0.761002,-0.61792,0.292261,0.641224,-1.13631,0.16913,0.177563,0.257262,-0.549184,1.47213,0.0474702,0.458799,0.951625,1.10436,0.721738,580,s104729_S_b026,26
Pu(VI),-0.477765,0.11621,-0.941568,1.17817,1.33704,-0.856785,-0.477278,-0.630541,1.06901,0.763766,1.84243,1.33727,2.18581,0.687895,0.812232,0.790328,107,s104729_S_b026,26
Sm(III),-0.259376,0.00096705,0.464144,-0.545985,-0.837727,0.118969,0.0119609,0.247012,-0.0567025,0.0671301,-0.45862,-0.40439,0.374933,-1.21293,0.086674,-0.0873555,323,s104729_S_b026,26
Sr(II),-0.811223,1.63937,-0.932927,-1.75128,-0.882798,1.61983,-1.45332,-0.0626273,1.36054,0.441018,-2.30659,-1.28063,-2.47477,2.01229,-0.503042,-0.678334,94,s104729_S_b026,26
Sr(III),-0.871461,-0.69258,-2.09259,0.391405,1.01576,1.27493,-1.76462,0.233979,2.33879,0.847209,-2.20644,-0.685101,-3.44115,3.9332,-0.0534487,-1.80568,38,s104729_S_b026,26
Tb(III),0.125503,-0.545137,1.04035,-0.369064,-0.358976,-0.0528796,-0.0505379,0.471728,-0.0812868,-0.0795007,-0.0929802,0.148948,-0.228979,-0.61375,0.249468,-0.463981,269,s104729_S_b026,26
Tc(VII),-0.838813,-2.64978,1.76667,-0.300554,0.476456,-0.630139,-1.59339,0.265048,1.03771,0.683316,3.81878,0.779663,1.78703,0.293638,-0.219764,1.20798,21,s104729_S_b026,26
Th(IV),-0.0174748,0.863319,0.00205994,-0.649611,-0.536996,-0.394435,0.487525,-0.639518,-1.55449,-0.0524656,0.155343,0.277002,-0.264289,1.38528,0.714411,0.703128,773,s104729_S_b026,26
Tm(III),0.314577,-1.26265,1.3667,0.0788538,-0.284078,0.111166,0.152897,0.737457,-0.152561,-0.234143,0.103268,0.456429,-0.356856,-0.81163,0.592468,-0.66018,201,s104729_S_b026,26
U(IV),-0.463085,0.481387,-0.488395,0.917402,-0.144195,-0.310162,-0.542323,-0.281462,-0.8126,0.717371,-0.067112,0.0999008,-0.415855,1.71277,-0.274757,1.04786,15,s104729_S_b026,26
U(VI),-0.876107,0.517622,-0.478062,2.10913,0.488397,-1.58916,-0.702442,0.538602,1.3069,2.17473,0.760722,-0.126636,1.02993,0.859283,-0.529681,0.882578,1036,s104729_S_b026,26
Y(III),-0.144092,-0.225656,1.29887,0.249623,-0.817314,0.873735,-1.51454,-0.910298,-0.279386,0.893954,-1.20996,-2.8411,0.249291,1.52001,3.60578,0.473666,28,s104729_S_b026,26
Yb(III),0.353977,-1.34247,1.66054,0.0553441,-0.165372,-0.0342275,0.0294665,0.805953,-0.195662,-0.327209,0.211648,0.497562,-0.279219,-0.507745,0.477982,-0.685823,231,s104729_S_b026,26
Zr(IV),0.853915,-1.98494,2.36119,0.0458414,-0.00821435,0.162273,0.391927,0.546886,0.590045,-0.138108,3.51955,-0.56018,0.338968,1.01377,0.451462,0.757461,13,s104729_S_b026,26
