extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCOCCOCCO)CCOCCOCCO)N(CCOCCOCCO)CCOCCOCCO,1.49041,0.412169,-0.521155,-0.45842,-0.656307,0.536081,0.894813,0.408972,-0.36207,-1.44587,0.605226,-0.816863,0.0882965,1.44617,0.441801,0.0741405,10,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1cccc(P(=O)(O)O)n1,0.412389,-0.273127,-0.195281,0.454513,-0.0881296,1.56229,0.554773,0.793808,-0.540944,-1.09052,-0.666965,-0.14846,-0.553766,-0.0522515,-0.473519,0.345254,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1ccccn1,0.889858,0.156717,0.0685685,-0.195229,-0.52859,1.14131,1.1247,0.189464,-0.0594301,-1.63195,0.0227307,-0.573304,-0.0735917,0.410212,0.00529771,0.0473165,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,0.00951361,0.200592,0.69637,0.0488713,-0.773665,0.397921,0.419244,-0.610574,-0.14952,0.50138,0.224362,-0.58001,0.583636,0.881017,0.886237,0.398997,6,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,0.988803,0.735729,0.0683674,-0.380665,-0.367366,-1.07706,-0.481515,-0.519521,0.202215,0.484121,1.04518,-0.519559,0.552318,0.872031,0.686297,0.407923,16,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,0.698217,1.08766,1.51746,-0.485421,-1.12619,-0.377053,0.754807,-0.591214,0.605145,0.498002,0.822671,-0.00675189,0.219679,0.658789,0.753486,1.31294,12,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,-0.0190945,0.857854,1.54022,-0.684277,-0.618098,-0.0504486,0.893367,-0.816143,0.982059,0.88344,0.676529,0.0895436,0.198593,0.582152,0.469524,1.44674,12,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.0604351,0.269215,0.783856,-0.128392,-0.938596,0.198508,0.382299,-0.34748,0.717722,1.08561,0.344968,-0.485532,0.303416,0.731259,0.780327,0.612899,22,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.0125744,0.259445,1.05985,-0.476788,-0.655705,0.178706,0.0758958,-0.286448,0.750037,1.06917,0.418197,-0.276665,0.256402,0.901885,0.713096,0.741002,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.201607,0.141122,0.885174,-0.260646,-0.479046,0.269346,-0.0856738,-0.0159168,0.548729,1.31153,0.246659,-0.104571,0.0622207,0.657094,0.525879,0.91301,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.0410791,0.499125,1.05648,-0.18102,-0.863055,0.327294,0.590918,-0.194913,0.679397,1.08729,0.463079,-0.670631,0.433774,0.97212,0.899514,0.286044,47,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,-1.82231,0.949103,3.51274,0.449468,-1.21155,0.8625,0.0252898,-0.507576,0.65084,3.09157,1.21629,-0.551226,-0.685719,1.51221,0.696765,2.08017,71,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.732014,0.136563,1.37167,-0.429356,-0.679235,0.548705,0.448429,0.0947307,1.77003,0.764711,-0.175447,0.154214,-0.148206,0.303612,0.402933,0.917703,6,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,-1.10858,-0.285093,2.6948,-0.20937,-1.40685,-0.0470686,-1.3009,-0.305295,0.73993,5.40813,0.817805,0.422941,-1.14766,0.986468,1.08364,1.67944,70,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.305913,0.289206,1.2194,-0.282328,-0.512813,0.474265,-0.055896,-0.0851116,0.468456,1.54919,0.354676,-0.198356,0.105678,0.864005,0.652726,1.0034,2,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,-0.336994,0.526994,2.32867,0.112395,-0.925616,-0.312104,-1.67846,-0.436203,0.624117,3.98401,0.728668,-0.327499,-0.387024,1.52568,0.845566,1.86015,71,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,0.198214,0.544165,0.842555,-0.109128,-1.06485,-0.323177,0.328977,-0.639473,1.02684,1.20746,0.758297,-0.87803,0.566444,1.0385,0.993584,0.349983,18,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,-0.302927,0.355729,1.06389,-0.261423,-1.04255,0.201105,0.839235,-0.195484,0.887265,1.2112,0.641327,-0.470747,0.395008,0.544082,0.740395,0.586561,75,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,-0.0941063,-1.25871,-1.59012,1.21345,-0.490158,1.94336,-0.781598,-0.658817,-0.927114,1.90196,-1.02701,-0.447453,1.00309,-0.0682523,1.61108,-1.38237,70,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,3.89323,-0.402037,-0.747685,0.0505346,3.00098,-0.0381804,1.16518,0.15265,-1.73815,-0.84296,0.067439,-3.36551,0.712837,-0.663836,0.786827,0.151303,12,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,3.38175,-0.725966,-0.213922,1.16543,3.42105,0.833975,1.4129,0.447693,-1.99556,-0.529693,-1.0812,-2.88986,-0.0379271,-1.19333,0.493733,0.959817,12,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-0.775355,-0.29919,-0.12869,-0.191099,0.0495479,0.413251,1.10128,-0.471389,0.555992,0.0808504,-0.00761293,0.129406,-0.266594,0.457308,-0.0561881,0.177276,16,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,-1.26901,-0.677428,-0.322919,0.337044,0.367745,0.656333,0.683479,-0.363094,-0.0967596,0.750504,-0.259758,0.520045,-0.634071,-0.253965,-0.33544,-0.155315,32,s104729_S_b015,15
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-1.20243,-0.50288,-0.27738,0.131175,0.416755,0.369884,0.634612,-0.677149,0.075133,0.498163,-0.156137,0.318418,-0.501118,0.193214,-0.05373,-0.569461,16,s104729_S_b015,15
