g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),-0.0197158,0.0937942,-0.840684,1.36098,-0.203175,0.828383,0.737931,-0.0960662,0.0333677,0.313154,-0.283381,0.630065,-0.329217,-1.24224,0.00295454,-0.317753,1719,s104729_S_b011,11
Am(VI),0.983805,-0.924252,-2.23977,0.0969445,0.0339545,-0.199202,-0.401187,0.150939,-1.11563,-0.02396,1.21502,-0.560971,1.28044,-0.262354,-0.851836,1.67518,27,s104729_S_b011,11
Ba(II),-0.312412,1.54089,2.29383,0.93037,0.000644088,2.50109,1.48481,2.11025,1.52064,2.77512,-3.12697,-4.27068,0.761259,-3.84125,0.568848,0.885935,25,s104729_S_b011,11
Bi(III),2.3272,1.6052,2.435,-1.23804,-2.01309,1.7965,0.605985,-2.138,0.915175,-1.25472,1.97633,0.0437853,0.542567,-1.10673,6.16904,-1.84869,17,s104729_S_b011,11
Ca(II),-0.530629,0.827729,2.68588,-1.70565,-0.0902373,1.23667,2.63024,0.476817,2.18208,1.10135,-1.07815,-1.23409,-0.573902,-2.32652,2.13911,0.281154,22,s104729_S_b011,11
Cd(II),8.36164,2.87754,-1.8314,-6.30112,-1.54616,1.51487,0.432371,-1.16959,1.01145,-0.428834,2.23764,-4.36872,1.40108,-4.85293,-1.59509,-1.96368,4,s104729_S_b011,11
Ce(III),-0.592368,-0.47048,-0.201355,0.227425,-0.786478,-0.896348,0.082108,0.24495,-0.77808,0.264013,-0.964281,-1.73061,0.245781,-1.56508,0.90925,-1.54678,293,s104729_S_b011,11
Cf(III),0.293499,-0.461285,-0.491232,1.15566,0.929839,0.894721,1.58398,-0.467851,-0.420794,-0.314991,0.172399,0.913983,0.00958677,-0.382338,1.21024,0.36247,9,s104729_S_b011,11
Cm(III),-0.836619,-0.112296,-1.85324,1.06827,0.433358,0.580752,0.952987,-0.450927,-0.605939,0.140596,-0.392451,0.586794,-0.0883685,-0.500959,0.497982,0.0874875,135,s104729_S_b011,11
Dy(III),-0.420028,-0.466922,0.430893,-0.485171,0.187623,0.0473407,1.37436,-0.771785,0.48506,-0.786031,-0.261677,0.17938,-0.361581,0.10246,-0.0088349,-0.619855,361,s104729_S_b011,11
Er(III),-0.32986,-0.53779,0.4498,-0.34794,0.273002,-0.135872,1.14121,-0.963256,0.7246,-0.712808,-0.336995,0.310667,-0.526601,0.531048,-0.0208586,-0.378676,300,s104729_S_b011,11
Eu(III),-0.0543248,-0.302586,0.932398,0.450064,-0.67803,-0.459386,0.999612,-0.554227,-0.221435,0.306263,0.00280239,0.24033,-0.0788488,-0.183185,-0.134881,-1.0044,1692,s104729_S_b011,11
Gd(III),0.113012,-0.654468,0.312868,0.346981,-0.47377,0.248864,0.977733,-0.745167,-0.254761,-0.805681,-0.613087,-0.234574,-0.33353,-0.085985,-0.260235,-1.09541,353,s104729_S_b011,11
Hf(IV),0.516298,-0.819693,-0.718018,0.834597,0.0366198,-0.531392,0.305661,1.43157,2.70787,-0.548835,-0.90184,1.17186,-0.759112,-0.0979399,0.580479,-0.573747,5,s104729_S_b011,11
