extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2.69097,-1.03918,-0.361964,-0.567095,5,s104729_S_b010,10
C1COCCOCCOCCOCCOCCO1,1.79909,-1.24579,-0.614212,-0.29226,5,s104729_S_b010,10
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-0.428451,-0.0209538,-0.915775,3.10321,7,s104729_S_b010,10
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1.44208,-0.541513,-0.851156,0.105739,46,s104729_S_b010,10
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,0.768283,1.46628,0.333173,0.605941,6,s104729_S_b010,10
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.708549,1.08604,0.473836,0.590651,2,s104729_S_b010,10
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.0443292,1.92107,-0.640971,1.60575,2,s104729_S_b010,10
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.243873,-0.548489,-0.611295,-0.324007,14,s104729_S_b010,10
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.231555,-1.73344,3.48969,-0.556651,6,s104729_S_b010,10
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.531766,-0.320842,-0.428541,0.0396702,52,s104729_S_b010,10
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.195032,-0.673043,-0.197198,-0.632464,2,s104729_S_b010,10
CC(C)CN(CC(C)C)C(=O)C(C)C,0.157652,2.03399,2.16706,1.7929,7,s104729_S_b010,10
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.251372,-0.386183,-0.380653,-0.0514425,60,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,0.610794,-1.63652,-2.30422,0.574901,12,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1.37962,-0.287127,-0.3475,0.196929,22,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,0.824583,3.23941,-1.55318,2.71433,12,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,2.02874,-2.06485,1.78367,-0.491843,24,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,0.728369,0.560973,0.0245908,0.617697,4,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,1.24046,3.35642,-1.15396,2.47496,12,s104729_S_b010,10
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1.42427,-0.809132,-0.960137,0.699834,24,s104729_S_b010,10
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,1.12781,0.382256,0.0361329,0.278061,10,s104729_S_b010,10
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.531567,0.515128,-0.863364,1.19887,22,s104729_S_b010,10
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1.52316,-1.54002,-1.83753,1.23473,28,s104729_S_b010,10
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0.642263,-0.240735,-1.05177,0.81452,30,s104729_S_b010,10
CCCC(=O)N(CC(C)C)CC(C)C,-0.581474,1.2916,1.44539,1.30078,9,s104729_S_b010,10
CCCCC(CC)C(=O)N(CCCC)CCCC,-0.269619,1.76266,1.69497,1.3,61,s104729_S_b010,10
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,-0.563063,-0.74816,-0.602994,-0.441691,14,s104729_S_b010,10
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.235598,-1.53621,0.107784,2.87384,63,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,0.345017,1.455,1.61927,0.817645,90,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,0.793165,1.28838,1.76118,1.76963,451,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-0.464701,1.18716,1.72077,0.99507,25,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,0.227474,1.42851,1.66647,0.9283,29,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,0.360385,1.08321,1.38832,1.40242,447,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.88437,1.23252,1.26395,0.118568,4,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.0653602,-1.03443,0.607671,2.29094,24,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.0946318,-0.151315,-0.116944,-0.166232,520,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-0.60458,0.817475,1.38944,0.951617,27,s104729_S_b010,10
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.2615,-1.33478,0.263237,1.05006,4,s104729_S_b010,10
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.117311,-1.31855,3.66265,-0.658395,6,s104729_S_b010,10
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.303607,1.25313,1.47132,1.53599,5,s104729_S_b010,10
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.285719,1.18694,1.53127,1.04258,17,s104729_S_b010,10
CCCCCC(=O)N(CCCC)CCCC,-0.285965,1.44134,1.23232,0.992604,2,s104729_S_b010,10
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.0551801,-0.41714,-0.396259,-1.09397,2,s104729_S_b010,10
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,0.0528837,1.54487,1.67174,1.25513,14,s104729_S_b010,10
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,-0.79123,-0.529684,-0.919541,-0.364914,134,s104729_S_b010,10
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.217601,-0.224676,-0.517762,-0.815366,14,s104729_S_b010,10
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-0.572855,1.38295,1.26872,0.799529,419,s104729_S_b010,10
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.45311,-1.41965,0.0883908,0.892435,32,s104729_S_b010,10
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,0.150268,3.26553,-0.643831,2.11602,6,s104729_S_b010,10
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,-0.157782,2.97135,-1.39313,1.93894,6,s104729_S_b010,10
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,0.0803332,3.03183,-1.58447,1.62631,6,s104729_S_b010,10
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.913232,-0.154643,-0.752997,-0.231158,14,s104729_S_b010,10
CCCCCCCCCC(=O)N(C)C,-0.687494,0.794609,0.939837,0.950196,5,s104729_S_b010,10
CCCCCCCCCC(=O)N(CC)CC,-0.642043,0.880249,1.10577,1.07398,5,s104729_S_b010,10
