extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-0.891452,0.461195,0.652967,0.423954,3.28222,2.43457,1.43441,3.61549,5,s104729_S_b014,14
C1COCCOCCOCCOCCOCCO1,-1.25903,0.170589,0.0246514,1.15545,2.94281,2.68706,1.59575,3.09586,5,s104729_S_b014,14
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-0.623793,-1.03224,-1.0813,2.41351,1.91237,1.78135,0.523988,-0.296655,7,s104729_S_b014,14
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.76671,1.18819,-1.75096,-0.519241,3.06805,1.0485,-0.177993,0.642172,46,s104729_S_b014,14
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-4.01749,1.68184,0.337854,1.0482,0.954429,1.29196,1.68364,1.00864,6,s104729_S_b014,14
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-2.28068,1.41902,-1.37755,0.619318,-0.749828,-0.265342,1.02456,0.970038,2,s104729_S_b014,14
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-4.00863,0.431552,0.611617,0.733966,0.739283,0.205338,2.88065,-1.18047,2,s104729_S_b014,14
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1.09818,-0.0845353,0.92969,-0.252844,-0.261884,0.446182,-0.0272047,0.00669116,14,s104729_S_b014,14
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.489837,-0.136583,-0.419793,1.5352,-0.207753,0.231091,0.963892,-0.329167,6,s104729_S_b014,14
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.989209,-0.378442,0.661283,-0.358005,0.0601587,0.191213,-0.135609,-0.421603,52,s104729_S_b014,14
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,1.53672,-0.230782,0.227383,-0.152332,0.488109,1.38249,-1.20621,0.341377,2,s104729_S_b014,14
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.19999,-0.205053,-1.95238,3.37117,-2.21598,-0.957309,1.56208,0.941612,7,s104729_S_b014,14
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.976635,-0.221567,0.545602,-0.43573,0.216264,0.094991,0.0526482,-0.600034,60,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,0.235552,-1.16211,-1.03181,-2.35893,5.13044,1.05781,1.18419,-1.35577,12,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-2.93557,0.977062,-1.5765,-0.241846,2.69605,0.954648,0.999446,0.443856,22,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-1.99829,-0.0527231,-4.18223,3.64642,2.80584,-1.12281,-0.30974,-0.476387,12,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-2.22833,0.526667,0.643057,-0.628284,2.5385,0.148867,1.39268,0.281176,24,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-3.05996,0.697162,-1.59333,0.703199,1.06749,0.318645,0.483929,0.252922,4,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-2.73678,0.676868,-3.43398,3.67646,2.75354,-1.65766,0.429576,-0.720697,12,s104729_S_b014,14
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-1.56953,-0.334593,-1.54045,-0.466861,3.25232,0.784131,1.43046,0.4024,24,s104729_S_b014,14
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-3.00481,0.864099,-1.44496,0.728565,1.44483,0.730364,1.14454,-0.026983,10,s104729_S_b014,14
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,-3.3493,0.903707,-0.264463,0.603815,2.62644,0.67791,1.87774,-1.34594,22,s104729_S_b014,14
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,-1.18642,0.886839,-1.80154,-1.66978,4.63207,0.919489,1.88495,-0.375745,28,s104729_S_b014,14
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-1.66799,0.991503,-1.96806,0.337481,4.83911,1.42711,1.02584,-0.735685,30,s104729_S_b014,14
CCCC(=O)N(CC(C)C)CC(C)C,-0.498427,-1.42156,-1.42555,2.4077,-1.58751,-0.658983,0.955311,-0.419084,9,s104729_S_b014,14
CCCCC(CC)C(=O)N(CCCC)CCCC,-1.05884,-0.567372,-1.68174,2.09341,-2.13155,0.200918,0.663616,0.505715,61,s104729_S_b014,14
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.868143,-0.542184,0.362355,-0.594322,-0.320248,0.785677,-0.137885,-0.53642,14,s104729_S_b014,14
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.114096,-0.797495,0.486863,3.72937,0.83308,-0.531191,1.53778,2.72068,63,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-0.473252,0.787175,-2.13032,1.69648,-1.83585,-0.155632,0.73711,1.25493,90,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-0.378078,0.786732,-2.11248,2.04131,-1.33511,-0.0748981,1.60526,1.29033,451,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-1.30436,-0.337534,-0.809232,1.68658,-1.9531,-0.0572438,0.717007,0.613883,25,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-0.803181,0.547624,-1.36428,0.595124,-1.70497,-0.820758,0.969773,0.393031,29,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-0.646252,0.253851,-1.72863,1.92234,-1.3154,-0.453272,0.728181,0.192866,447,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-3.43264,2.44016,-0.441165,1.10782,0.332373,-0.101758,0.89511,2.10792,4,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.493374,-0.0120581,0.86309,2.72148,1.78155,-0.195848,0.709312,3.03926,24,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.673209,0.00356887,-0.0624672,-0.66734,-0.224737,-0.326678,-0.137039,0.5279,499,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-1.33501,-0.264164,-0.197396,1.58578,-1.36355,-0.201114,0.834612,-0.0483069,27,s104729_S_b014,14
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.464263,2.15141,-0.246742,-0.0449009,1.16679,0.926513,-0.53605,-1.90227,4,s104729_S_b014,14
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.116504,0.250888,-0.749823,1.44185,-0.0235112,0.24586,0.955708,0.336169,6,s104729_S_b014,14
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.496243,-0.414155,-1.43322,2.26329,-1.40434,-0.689903,1.01897,-0.174673,5,s104729_S_b014,14
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.734276,-0.233486,-0.981013,1.0698,-1.68477,-0.536843,0.856719,0.208318,17,s104729_S_b014,14
CCCCCC(=O)N(CCCC)CCCC,-0.738746,-0.231712,-1.42776,1.65114,-1.62791,-0.158332,0.605177,0.0976347,2,s104729_S_b014,14
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1.3909,-0.288473,-0.455521,-0.0768588,0.243813,1.06513,-1.49676,0.0816565,2,s104729_S_b014,14
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-0.855627,0.0967316,-1.57621,1.98744,-1.63168,-0.330243,1.29134,0.611044,14,s104729_S_b014,14
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,1.18075,-0.858123,0.635484,-0.484831,-0.801399,1.01992,-0.242292,-0.967184,134,s104729_S_b014,14
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.543399,0.26845,0.707711,-0.668776,0.0352561,0.308975,-0.509512,-0.249033,14,s104729_S_b014,14
