g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),1.2305,0.57452,-1.24886,0.114654,1087,s104729_S_b007,7
Am(VI),0.896599,1.26368,1.47609,1.05321,27,s104729_S_b007,7
Ba(II),3.55851,1.67655,0.53496,-1.93272,25,s104729_S_b007,7
Bi(III),3.95826,-2.07287,-4.44337,1.00166,17,s104729_S_b007,7
Ca(II),0.91972,-0.137948,-0.404358,-0.95448,22,s104729_S_b007,7
Cd(II),4.55799,-2.62379,5.86815,2.53658,4,s104729_S_b007,7
Ce(III),-0.223934,2.22449,1.11171,-0.198128,293,s104729_S_b007,7
Cf(III),0.108824,2.48452,-1.50918,0.417122,9,s104729_S_b007,7
Cm(III),1.29765,1.15667,-1.70612,0.340691,135,s104729_S_b007,7
Dy(III),-1.35126,0.0821853,-0.817133,-0.482378,377,s104729_S_b007,7
Er(III),-1.57335,-0.170805,-1.07673,-0.399955,300,s104729_S_b007,7
Eu(III),-0.968708,0.831638,-0.418788,-0.502923,1692,s104729_S_b007,7
Gd(III),-1.11716,0.987265,-0.52074,-0.501458,375,s104729_S_b007,7
Hf(IV),-0.611824,-1.96578,-1.39827,-0.407264,5,s104729_S_b007,7
Ho(III),-1.65097,-0.0487048,-1.01295,-0.447553,264,s104729_S_b007,7
In(III),4.40649,-1.58844,0.757639,-0.749212,5,s104729_S_b007,7
La(III),-0.0112166,2.50217,1.41462,-0.334906,344,s104729_S_b007,7
Lu(III),-2.07127,-0.3955,-1.22603,-0.607225,247,s104729_S_b007,7
Nd(III),-0.340887,1.98335,0.533427,-0.182673,433,s104729_S_b007,7
Np(IV),0.250871,-0.829049,0.291906,-0.194144,216,s104729_S_b007,7
Np(V),1.98399,0.521263,0.582799,-1.87543,187,s104729_S_b007,7
Np(VI),0.706794,0.950073,2.08236,-0.0766721,52,s104729_S_b007,7
Pa(V),0.40392,-0.514652,1.58533,-0.63549,43,s104729_S_b007,7
Pb(II),6.26833,1.43259,-2.89787,0.331399,10,s104729_S_b007,7
Pd(II),0.488549,-0.2293,1.09171,2.81571,18,s104729_S_b007,7
Pd(IV),1.71633,1.18046,-1.78264,-2.61949,5,s104729_S_b007,7
Pm(III),-0.801363,0.84539,-0.143148,-0.531884,1,s104729_S_b007,7
Pr(III),-0.342896,2.19196,0.635595,-0.276473,348,s104729_S_b007,7
Pu(III),1.29716,0.811109,-0.776981,1.9082,118,s104729_S_b007,7
Pu(IV),0.211355,-0.804241,0.136431,1.73583,580,s104729_S_b007,7
Pu(VI),0.711491,1.07721,1.84974,1.80585,107,s104729_S_b007,7
Sm(III),-0.771714,1.40223,-0.353428,-0.407922,313,s104729_S_b007,7
Sr(II),1.79256,0.811239,-0.145358,-1.38772,94,s104729_S_b007,7
Sr(III),1.62165,-1.9467,-0.272213,-2.50546,38,s104729_S_b007,7
Tb(III),-1.2477,0.425105,-0.784947,-0.472202,269,s104729_S_b007,7
Tc(VII),-1.64677,-0.148296,0.433761,0.802638,21,s104729_S_b007,7
Th(IV),0.470224,1.66967,-1.08822,0.640058,773,s104729_S_b007,7
Tm(III),-1.90653,-0.236549,-1.10645,-0.551215,201,s104729_S_b007,7
U(IV),0.846658,1.36489,-0.0569644,-1.09028,15,s104729_S_b007,7
U(VI),0.701559,0.702194,2.46467,-0.250756,1009,s104729_S_b007,7
Y(III),1.62081,-1.25575,-1.21093,1.26423,28,s104729_S_b007,7
Yb(III),-1.98034,-0.326239,-1.23671,-0.584463,231,s104729_S_b007,7
Zr(IV),-1.97297,-1.66864,-1.23163,-0.519349,13,s104729_S_b007,7
