extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.303985,1.02454,0.0531682,-2.0559,-2.63555,1.80654,-1.38391,0.569914,5,s104729_S_b018,18
C1COCCOCCOCCOCCOCCO1,0.466181,0.956863,-0.828588,-1.7142,-3.37855,2.2378,-1.69917,0.814995,5,s104729_S_b018,18
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-2.01134,0.150632,-0.0389635,-1.2352,-0.350007,2.43854,-1.73852,1.75856,7,s104729_S_b018,18
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.922166,1.01564,0.773446,-1.25124,-1.1337,0.0220977,-1.41015,-0.117596,46,s104729_S_b018,18
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-0.219398,-1.84443,0.283785,-1.01969,0.767438,3.19702,-3.33693,-1.64038,6,s104729_S_b018,18
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.716395,-1.70361,0.669661,-0.131721,1.47682,-0.460144,-1.25889,1.07644,2,s104729_S_b018,18
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-3.29227,-2.19061,0.395335,-1.67057,3.16457,3.15203,-3.44824,-2.60027,2,s104729_S_b018,18
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.711318,0.371302,-0.398003,0.256927,0.148707,-0.158392,0.551102,-0.835271,14,s104729_S_b018,18
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.400975,1.1823,0.105271,0.699911,2.12025,0.999519,0.529599,1.53555,6,s104729_S_b018,18
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.791437,0.0136889,-0.301458,0.33468,-0.0528288,-0.303896,0.470341,-0.551306,52,s104729_S_b018,18
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.638558,1.13505,0.620275,0.848222,-0.0135221,0.354964,1.39303,-0.419908,2,s104729_S_b018,18
CC(C)CN(CC(C)C)C(=O)C(C)C,0.766242,-2.75678,0.005649,-0.942014,2.26701,0.820669,-0.506844,2.07016,7,s104729_S_b018,18
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.76246,-0.105109,-0.04872,0.315968,0.0507217,-0.611838,0.651899,-0.618618,60,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-2.85544,1.07336,0.538405,-1.33019,-2.36502,-2.24095,0.15661,-1.69821,12,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-0.410555,1.60446,0.458685,-2.16332,-0.586816,0.0941122,-1.82851,-0.00246376,22,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-2.78313,-0.16684,1.07517,-0.264892,-0.484966,-0.135216,-4.12889,2.68602,12,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,1.73502,2.04143,0.728445,-0.752128,-1.75599,1.84636,-2.35474,-2.73317,24,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.536205,0.99435,0.255391,-1.54098,0.0366141,1.50238,-1.72299,0.884617,4,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-2.33766,-0.128946,1.082,-0.985161,-0.117014,0.875153,-4.6381,3.04153,12,s104729_S_b018,18
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-1.06413,1.46351,0.668306,-2.28629,-1.1323,0.0706352,-1.41129,-0.636607,24,s104729_S_b018,18
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.336167,1.24415,0.0826812,-1.47787,0.220964,-0.25202,-2.63924,0.555003,10,s104729_S_b018,18
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,1.19338,2.68796,-0.295838,-2.54721,0.124599,-0.22205,-1.73365,-1.04095,22,s104729_S_b018,18
