g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.892584,-0.44668,0.0268548,-0.497331,0.303859,-0.313178,-0.324405,-0.986553,1733,s104729_S_b024,24
Am(VI),0.209058,1.03957,0.241115,0.845848,-1.13099,0.196299,-0.069701,-0.67334,27,s104729_S_b024,24
Ba(II),-0.689785,-1.78341,4.09155,0.656781,-0.363071,-2.68835,-1.93709,-0.739476,25,s104729_S_b024,24
Bi(III),2.78154,0.498887,1.88665,-1.38845,4.27979,-2.24511,2.21929,-0.429589,17,s104729_S_b024,24
Ca(II),0.221112,-0.643198,2.57975,-0.851342,1.45378,-1.05088,-0.583072,-1.04545,22,s104729_S_b024,24
Cd(II),-0.590089,0.0183622,3.36437,5.5929,-0.00186408,-0.499016,1.85648,-2.1662,4,s104729_S_b024,24
Ce(III),0.287511,0.0402306,0.256704,1.35368,-0.381195,-1.1103,-0.162246,1.3158,293,s104729_S_b024,24
Cf(III),0.163549,-0.0630437,-0.859766,-1.37156,0.416561,-0.0917573,-0.331112,-0.497177,9,s104729_S_b024,24
Cm(III),-0.461576,-0.507697,-0.380237,-0.969093,0.543213,-0.319768,-0.747752,-0.656496,135,s104729_S_b024,24
Dy(III),0.249766,-0.609357,0.275098,-0.802099,0.57162,0.103891,0.602916,0.804699,377,s104729_S_b024,24
Er(III),0.113838,-0.585745,0.104015,-0.890452,0.719075,0.300707,0.828405,1.02847,300,s104729_S_b024,24
Eu(III),-0.674042,0.306068,0.181846,-0.265955,0.31282,-0.540438,0.106174,1.17461,1672,s104729_S_b024,24
Gd(III),0.0657777,-0.793406,-0.426356,-0.176988,0.125445,-0.340933,0.283723,1.08332,375,s104729_S_b024,24
Hf(IV),-0.803035,-1.06782,0.262754,-2.83092,-0.839429,-0.06167,2.3781,-0.596096,5,s104729_S_b024,24
Ho(III),0.223857,-0.602021,-0.0174971,-0.851108,0.679366,0.201595,0.759404,1.11563,264,s104729_S_b024,24
In(III),1.10893,-0.600426,3.43276,2.36866,3.29854,-2.05282,-0.497052,-1.46794,5,s104729_S_b024,24
La(III),0.433115,-0.398903,0.354298,1.52094,-0.74281,-1.26459,-0.188377,1.33808,344,s104729_S_b024,24
Lu(III),0.312314,-0.71015,0.109504,-1.14675,0.632511,0.381143,1.10914,1.22216,247,s104729_S_b024,24
Nd(III),0.692825,-0.668584,-0.198817,0.878669,-0.432171,-0.726281,0.0705924,1.23032,433,s104729_S_b024,24
Np(IV),-0.348601,0.817251,0.414363,0.152164,-0.519837,1.09447,0.361905,-0.612643,216,s104729_S_b024,24
Np(V),-0.298037,0.390273,1.7409,0.777171,-2.13397,-0.354339,-1.2603,-1.64905,187,s104729_S_b024,24
Np(VI),0.474054,1.14255,1.29531,0.959126,-2.04576,1.01735,0.141134,-0.219825,67,s104729_S_b024,24
Pa(V),0.456894,1.13592,1.04052,1.8692,-2.20623,0.884004,0.135166,-1.54529,43,s104729_S_b024,24
Pb(II),2.09926,-0.318542,3.22078,-0.184371,3.4052,-3.85764,0.42056,-1.01482,10,s104729_S_b024,24
Pd(II),-0.298988,0.841822,-3.09969,1.42265,-3.15739,-1.97458,3.71035,0.23562,18,s104729_S_b024,24
Pd(IV),0.459562,-0.890468,-0.867702,-0.335151,-1.34639,-3.87923,0.348032,-0.406967,5,s104729_S_b024,24
Pm(III),-0.101834,0.423933,-0.346062,-0.356839,0.49537,-0.458515,0.0238478,1.20768,1,s104729_S_b024,24
Pr(III),0.26186,-0.500911,-0.199651,1.27061,-0.422944,-0.776226,-0.0289339,1.17698,348,s104729_S_b024,24
Pu(III),1.16814,1.20454,-0.256732,-0.218764,-0.347829,-0.0231922,-0.560418,-0.944692,118,s104729_S_b024,24
Pu(IV),0.392995,1.57829,0.381334,-0.162322,-0.264856,1.25852,0.803125,-0.696625,580,s104729_S_b024,24
Pu(VI),1.2361,1.8638,1.25785,0.616298,-1.76579,1.09804,0.504223,-0.331224,107,s104729_S_b024,24
Sm(III),0.179454,-0.674957,-0.10588,0.248228,0.177672,-0.305653,0.253707,1.09001,323,s104729_S_b024,24
Sr(II),0.0248683,-0.85006,3.2352,-0.282276,0.679273,-1.74,-0.99041,-0.773783,94,s104729_S_b024,24
Sr(III),-1.31082,-2.85492,5.04794,0.259218,0.768215,-0.206479,-0.108984,-1.04847,38,s104729_S_b024,24
Tb(III),-0.335625,-0.0539715,0.209881,-0.740731,0.266349,-0.154104,0.351937,0.949294,253,s104729_S_b024,24
Tc(VII),1.73772,1.24048,-1.36007,-1.68658,-2.53615,0.231055,1.38882,0.59046,21,s104729_S_b024,24
Th(IV),0.664858,1.71128,-0.953415,-0.421329,0.349116,0.343995,-0.696571,-1.52359,773,s104729_S_b024,24
Tm(III),0.167062,-0.601248,0.0216918,-1.04877,0.666776,0.254379,0.972981,1.17705,191,s104729_S_b024,24
U(IV),0.0764135,0.758646,0.447396,0.536788,-0.941101,-0.318182,-0.760844,-1.77348,15,s104729_S_b024,24
U(VI),-0.700423,1.05061,1.51509,1.72692,-2.47365,0.896732,0.973503,-0.440068,1036,s104729_S_b024,24
Y(III),0.448486,0.960258,1.72801,-0.0907453,2.99019,-0.581009,0.232447,0.205788,28,s104729_S_b024,24
Yb(III),0.0135177,-0.243741,0.178291,-1.23467,0.582461,0.201588,1.03511,1.31542,162,s104729_S_b024,24
Zr(IV),1.01721,0.0453344,-1.19369,-2.13592,-0.248813,-0.179591,2.29949,-0.87629,13,s104729_S_b024,24
