g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),0.18167,0.141068,-0.0951321,0.683435,-0.950632,-0.427735,0.222458,0.111039,1711,s104729_S_b016,16
Am(VI),0.0304398,-0.0373095,-0.112247,0.775989,1.64875,-0.266472,0.21555,-0.139694,27,s104729_S_b016,16
Ba(II),1.84437,-2.58461,-1.38626,2.92578,-0.841248,2.19737,3.71938,1.98831,25,s104729_S_b016,16
Bi(III),-2.86213,-1.6684,-1.8434,-0.902139,-5.61779,0.334779,4.11545,-0.0734614,17,s104729_S_b016,16
Ca(II),0.451481,-1.29643,-1.60925,0.312132,-2.50004,1.34002,1.50119,0.371639,22,s104729_S_b016,16
Cd(II),4.09829,1.45899,-0.800941,3.99402,0.851179,-2.45157,4.07895,2.46906,4,s104729_S_b016,16
Ce(III),1.45334,-1.67863,0.233843,0.0714551,0.0867434,-0.0971619,0.408187,-0.118384,293,s104729_S_b016,16
Cf(III),-0.0332156,0.286435,0.408096,0.184705,-0.146692,-1.05061,0.197495,-0.481877,9,s104729_S_b016,16
Cm(III),0.655492,-0.0563903,-0.0931215,0.535541,-0.642862,-1.17566,0.731282,0.0737343,135,s104729_S_b016,16
Dy(III),0.303652,-0.404981,-0.285746,-0.656118,-1.2127,-0.433663,-0.530251,-0.823053,377,s104729_S_b016,16
Er(III),0.17906,-0.164901,-0.480562,-0.749551,-1.44816,-0.52079,-0.439764,-0.816979,223,s104729_S_b016,16
Eu(III),0.472214,-0.759594,0.205702,-1.03203,-1.13158,-0.25668,-0.301066,-0.292795,1692,s104729_S_b016,16
Gd(III),0.76363,-0.790877,0.109908,-0.552804,-1.08104,-0.406152,-0.405087,-0.706452,375,s104729_S_b016,16
Hf(IV),-2.37845,2.37803,-3.45463,-1.23947,0.921222,1.1628,-1.16935,-1.80219,5,s104729_S_b016,16
Ho(III),0.208792,-0.32426,-0.538881,-0.784349,-1.60648,-0.622834,-0.633675,-0.916222,264,s104729_S_b016,16
In(III),-0.922424,1.32368,-0.895588,0.846897,-0.22366,1.95819,6.49194,0.176733,5,s104729_S_b016,16
La(III),1.74799,-1.98983,0.0759141,0.263263,0.205801,0.272316,0.480632,0.126471,344,s104729_S_b016,16
Lu(III),-0.113311,-0.0178827,-0.356623,-0.805776,-1.77402,-0.453011,-0.646095,-1.09616,247,s104729_S_b016,16
Nd(III),1.21167,-1.64338,0.676785,-0.212134,0.0913209,-0.00713578,-0.228014,-0.273629,433,s104729_S_b016,16
Np(IV),-0.695668,0.730325,-0.201909,0.581212,0.699639,-0.103477,-0.0933475,-0.442206,216,s104729_S_b016,16
Np(V),0.687405,-0.385651,0.854806,1.67583,1.12208,0.740849,0.745935,1.64839,187,s104729_S_b016,16
Np(VI),-0.242864,0.341719,-0.134496,0.292549,2.09278,0.979742,-0.218959,-0.0186554,67,s104729_S_b016,16
Pa(V),-1.33283,0.744332,1.02686,0.72117,0.869196,2.49454,0.150074,0.833282,43,s104729_S_b016,16
Pb(II),-1.08549,-3.62898,-2.15493,0.550705,-4.39655,1.06798,6.10492,0.725016,10,s104729_S_b016,16
Pd(II),1.74901,3.82755,-3.39751,-3.12437,5.89752,-1.85103,1.13123,-1.70494,18,s104729_S_b016,16
Pd(IV),-3.64939,4.04652,-4.45008,-4.70671,4.65704,4.05399,2.4931,-2.79718,5,s104729_S_b016,16
Pm(III),0.519915,-0.882833,0.211718,-1.22476,-0.957698,-0.395987,-0.397704,-0.527468,1,s104729_S_b016,16
Pr(III),1.44061,-1.50535,0.496705,-0.0420179,0.0271547,-0.0457051,0.191481,-0.303532,348,s104729_S_b016,16
Pu(III),0.326724,-0.314728,0.434319,0.315495,0.762632,-0.732881,0.526571,-0.199574,118,s104729_S_b016,16
Pu(IV),-1.05404,0.694758,-0.244208,0.240243,0.693697,-0.296871,-0.601443,-0.676118,580,s104729_S_b016,16
Pu(VI),-0.550666,0.272083,-0.191382,-0.0128216,2.01109,0.809473,-0.729325,-0.248131,107,s104729_S_b016,16
Sm(III),0.881189,-1.0951,0.250063,-0.530172,-0.512826,-0.282158,-0.249215,-0.680287,323,s104729_S_b016,16
