g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.552792,-0.102476,0.493844,0.0575647,0.682824,0.42991,-0.440509,0.624242,-0.561305,-0.103463,0.718376,-0.390299,0.140803,-0.540893,0.785609,-0.0142359,1733,s104729_S_b012,12
Am(VI),0.882271,-0.322029,0.600382,0.2541,-0.596545,-1.46847,1.28833,-0.850462,0.446828,-0.854208,-0.249925,-0.206815,2.22907,-0.642641,-0.393671,-0.181896,27,s104729_S_b012,12
Ba(II),-0.664381,-3.19205,1.2018,2.31714,2.76004,0.557014,0.625858,2.97128,-1.66982,1.78107,2.92803,0.0766054,-1.74123,-1.87861,1.4732,1.26886,25,s104729_S_b012,12
Bi(III),-1.53757,1.24767,-4.25333,1.78427,4.48014,-2.98341,-0.631243,-1.87324,0.51624,-0.517195,0.623031,1.8303,0.195758,-0.0836189,-0.181802,0.764524,17,s104729_S_b012,12
Ca(II),-0.804857,-0.0426836,1.39939,0.866233,2.9698,0.20671,-0.311208,-0.175867,-1.45855,1.60827,1.11573,0.531937,-0.623088,-0.322827,1.52425,0.0108335,22,s104729_S_b012,12
Cd(II),-6.17548,-0.485643,1.3578,-1.02515,5.73679,-4.70296,-0.815017,5.77043,-5.44966,-1.14847,-1.90279,2.49083,4.17447,-0.647017,-0.399086,2.86297,4,s104729_S_b012,12
Ce(III),-0.0517996,-0.965235,-0.349676,0.687182,1.3497,-1.49938,0.961731,1.79539,0.591049,0.54099,-0.148872,-0.382681,-1.09304,0.358178,0.558152,-0.202999,293,s104729_S_b012,12
Cf(III),0.334039,0.674969,0.718973,-0.631389,-0.021737,-0.197361,0.500092,0.783634,-0.739627,-0.860947,0.440486,-0.564138,0.210966,-0.55494,0.659757,-0.515359,9,s104729_S_b012,12
Cm(III),0.917696,0.377085,0.500852,-0.141118,0.535665,0.318761,-0.30602,0.445485,-0.00104196,-0.0354709,0.387401,-0.164287,0.0846694,-0.316915,1.37647,0.00194812,125,s104729_S_b012,12
Dy(III),-0.239515,0.855571,-0.286154,0.0498641,0.0947301,0.0559734,-0.579139,-0.271497,0.166915,0.170509,-0.312687,-0.856376,-0.635177,0.568235,0.166388,0.67413,377,s104729_S_b012,12
Er(III),-0.189781,1.27789,-0.275618,-0.305784,0.109487,0.249207,-0.713819,-0.504682,0.190401,-0.272072,-0.261567,-0.886742,-0.621412,0.661907,0.284975,0.481378,300,s104729_S_b012,12
