extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-1.3262,2.86924,-2.2247,2.2956,2.34159,1.8287,1.31393,1.21671,5,s104729_S_b016,16
C1COCCOCCOCCOCCOCCO1,-1.01477,3.25899,-2.14145,2.7784,1.7463,1.51223,1.00389,0.720394,5,s104729_S_b016,16
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.30478,0.396855,0.344705,1.60222,-0.290787,0.5183,0.822396,2.62722,7,s104729_S_b016,16
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.38274,0.526856,-3.14931,-1.67265,0.714515,0.917329,1.27528,1.78116,46,s104729_S_b016,16
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-1.02764,-0.493826,-0.449336,-0.66478,-1.13221,1.40568,-2.22894,2.53807,6,s104729_S_b016,16
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.685552,0.540998,0.126726,-0.582979,1.04162,0.762836,-1.06574,0.322589,2,s104729_S_b016,16
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-2.51448,-0.24083,-0.869983,1.76972,-1.31755,0.270557,-4.52423,5.4894,2,s104729_S_b016,16
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,-0.411821,-0.0617048,0.154443,0.625339,-0.924109,-0.763832,0.857428,-0.313753,14,s104729_S_b016,16
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.50017,2.36123,1.95877,-0.260953,-1.80537,3.22643,1.54438,-3.55778,6,s104729_S_b016,16
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,-0.380304,0.413264,-0.123532,0.0551844,-1.06008,-0.798226,1.32899,0.216154,52,s104729_S_b016,16
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,-0.820099,-0.343848,-0.150519,0.563461,-1.5893,-0.986665,0.690264,-1.18647,2,s104729_S_b016,16
CC(C)CN(CC(C)C)C(=O)C(C)C,2.86503,1.77593,1.444,-2.54745,1.81902,0.449042,-1.52436,1.40542,7,s104729_S_b016,16
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,-0.178044,0.109863,0.108581,0.258047,-0.852851,-1.01863,1.16182,0.135416,60,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,-2.38862,-0.974549,-5.20658,-0.668313,0.295045,-1.18828,2.20184,0.96339,12,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-1.69355,2.17833,-3.32106,-1.41727,0.960222,1.76052,0.890477,2.24274,22,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,3.37046,1.87073,-0.475238,-1.77399,2.15899,-1.39808,-0.702806,3.76107,12,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-0.201796,4.3748,-2.12663,0.577936,1.16496,0.211543,0.334374,0.880142,24,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.356602,1.74529,-1.26923,-0.780933,1.13465,1.35434,-0.253345,1.65105,4,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,3.67886,2.37599,-0.486459,-2.08887,2.41953,-0.88412,-0.910083,4.09971,12,s104729_S_b016,16
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-1.80567,1.13489,-2.79009,-0.564215,0.376105,0.828172,1.48531,2.05106,24,s104729_S_b016,16
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.856061,1.81915,-1.63792,-1.50078,0.620232,1.62135,0.408257,2.12611,10,s104729_S_b016,16
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,0.624256,-2.03265,-1.40515,-0.603115,0.559503,2.5021,-0.538596,2.41756,22,s104729_S_b016,16
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,-1.46283,0.790266,-4.91655,-1.2982,1.07732,0.351489,1.76952,1.99793,28,s104729_S_b016,16
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-0.947649,1.11434,-3.89819,-0.96276,0.53541,0.650602,2.82524,1.92051,30,s104729_S_b016,16
CCCC(=O)N(CC(C)C)CC(C)C,1.92835,1.14552,0.488494,-1.73421,0.877368,0.070265,-0.226304,1.02197,9,s104729_S_b016,16
CCCCC(CC)C(=O)N(CCCC)CCCC,2.63592,1.17643,1.23263,-2.02613,1.51433,0.761843,-0.816875,1.27717,61,s104729_S_b016,16
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,-0.60968,-1.16353,0.188622,0.890237,-0.789796,-0.914868,0.62755,-0.342003,14,s104729_S_b016,16
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.266685,0.0865702,1.2323,0.592387,0.379025,1.04918,1.4443,3.54918,63,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,2.30077,0.818669,1.77165,-1.16005,1.14747,0.973218,-1.27013,1.27018,90,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,2.2691,1.53778,1.72433,-1.38844,1.27429,1.1448,-1.46184,1.38842,451,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,1.89246,1.02308,0.887568,-1.99371,1.20115,0.800706,-0.939001,0.830276,25,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,2.13468,0.916767,1.62039,-1.43969,1.32478,0.909477,-1.29644,1.28907,29,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,2.23676,0.836036,1.26911,-1.26434,1.01984,0.715373,-0.747167,1.68523,447,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.0872892,1.22979,0.970613,-2.74573,0.360223,2.74679,-1.05341,0.838055,4,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.792954,0.133776,0.164804,0.942517,0.0754885,1.74231,3.09198,4.16207,24,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.146087,-0.714988,0.728299,-0.0725403,-0.213378,-0.166644,0.00431233,-0.097957,520,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,1.60158,0.707801,0.58292,-1.50621,0.737548,0.553676,-0.187915,1.01733,27,s104729_S_b016,16
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.130814,-0.0234393,-0.17957,-0.913082,0.149505,0.087516,0.717586,0.0891259,4,s104729_S_b016,16
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1.52108,2.62784,1.53578,-0.713467,-1.28822,3.76449,1.40188,-2.84926,6,s104729_S_b016,16
CCCCCC(=O)N(C(C)CC)C(C)CC,1.69765,0.909022,0.706261,-1.3315,0.929731,0.309739,-0.502515,1.13857,5,s104729_S_b016,16
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.91768,0.829141,1.25808,-1.22848,1.01927,0.777111,-0.85916,1.25529,17,s104729_S_b016,16
CCCCCC(=O)N(CCCC)CCCC,2.01858,0.701227,1.19678,-1.22398,1.01133,0.384731,-0.753663,0.83163,2,s104729_S_b016,16
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,-1.17218,-1.00056,0.0987933,0.405592,-0.860043,-0.471726,0.573383,-0.902203,2,s104729_S_b016,16
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,2.36355,1.5457,1.62953,-1.31887,1.27481,0.731144,-1.16327,1.36251,14,s104729_S_b016,16
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,-0.65121,-1.12312,-0.228795,1.11519,-0.787557,-1.22626,0.861716,-0.726919,134,s104729_S_b016,16
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.308129,-0.906918,-0.275228,0.346439,-0.430697,-0.693029,0.472251,-0.478103,14,s104729_S_b016,16
CCCCCCCC(=O)N(CCCCCC)CCCCCC,2.16381,0.863553,0.585403,-1.4977,0.912954,0.404771,-0.667688,0.756935,446,s104729_S_b016,16
