g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),0.270068,0.133187,0.246986,-0.707373,1675,s104729_S_b010,10
Am(VI),0.0488584,-1.78433,0.937519,0.0794317,27,s104729_S_b010,10
Ba(II),5.14751,-1.11403,-0.138901,-1.2856,25,s104729_S_b010,10
Bi(III),-3.14052,-0.229669,-0.455337,-2.82459,17,s104729_S_b010,10
Ca(II),2.14214,0.252988,0.502997,-0.987922,22,s104729_S_b010,10
Cd(II),1.90771,0.990332,-2.15258,-4.18565,4,s104729_S_b010,10
Ce(III),1.49407,-0.12143,-0.775149,0.638938,293,s104729_S_b010,10
Cf(III),-0.0193706,0.29872,0.758048,-0.390011,9,s104729_S_b010,10
Cm(III),0.546135,0.598784,0.374247,-0.795655,135,s104729_S_b010,10
Dy(III),-0.516081,1.43225,-0.435375,0.159671,355,s104729_S_b010,10
Er(III),-0.829158,1.52556,-0.369531,0.213543,300,s104729_S_b010,10
Eu(III),0.0128806,1.03798,-0.585874,0.0371213,1190,s104729_S_b010,10
Gd(III),-0.0968828,0.979122,-0.670852,0.230856,375,s104729_S_b010,10
Hf(IV),-0.389584,0.638727,0.0413764,0.15918,5,s104729_S_b010,10
Ho(III),-0.783614,1.49557,-0.431371,0.227298,264,s104729_S_b010,10
In(III),-0.109847,1.07378,-2.09453,-4.82708,5,s104729_S_b010,10
La(III),1.7158,-0.408597,-0.879434,0.628969,344,s104729_S_b010,10
Lu(III),-1.10412,1.66403,-0.416477,0.215076,247,s104729_S_b010,10
Nd(III),0.564729,-0.21557,-0.637717,0.462891,433,s104729_S_b010,10
Np(IV),-0.915978,-1.1468,0.541231,-0.0392103,205,s104729_S_b010,10
Np(V),0.0418917,-2.58764,-0.435486,-1.31689,187,s104729_S_b010,10
Np(VI),-0.731409,-2.66923,0.198657,0.109724,67,s104729_S_b010,10
Pa(V),-0.783253,-2.38243,0.646645,-0.179742,43,s104729_S_b010,10
Pb(II),-0.0539824,-0.325595,-1.10332,-3.60519,10,s104729_S_b010,10
Pd(II),4.29988,2.98159,0.136277,-0.46639,18,s104729_S_b010,10
Pd(IV),2.86592,0.445798,-1.41711,-1.49696,5,s104729_S_b010,10
Pm(III),0.244605,1.01528,-0.532177,0.303411,1,s104729_S_b010,10
Pr(III),1.01177,-0.103418,-0.721537,0.528394,348,s104729_S_b010,10
Pu(III),0.930429,-0.162444,1.49044,-0.253097,118,s104729_S_b010,10
Pu(IV),-0.384345,-0.765977,1.11083,0.300707,580,s104729_S_b010,10
Pu(VI),-0.123001,-2.2749,0.728789,0.410017,107,s104729_S_b010,10
Sm(III),0.227242,0.713939,-0.669897,0.335279,323,s104729_S_b010,10
Sr(II),3.16758,-0.274295,0.374351,-1.07214,94,s104729_S_b010,10
Sr(III),1.04548,-0.907959,-0.00400124,-2.39126,38,s104729_S_b010,10
Tb(III),-0.38406,1.303,-0.522395,0.161891,269,s104729_S_b010,10
Tc(VII),-0.326198,-0.461907,0.115255,1.69846,21,s104729_S_b010,10
Th(IV),1.00203,-0.0246167,1.65456,-0.575248,773,s104729_S_b010,10
Tm(III),-0.954101,1.61524,-0.409573,0.229594,201,s104729_S_b010,10
U(IV),0.805118,-1.46091,0.205435,-0.473712,15,s104729_S_b010,10
U(VI),-0.631219,-3.11911,-0.246356,0.457511,1036,s104729_S_b010,10
Y(III),-1.10637,3.20035,-2.24798,0.121089,28,s104729_S_b010,10
Yb(III),-1.00221,1.7326,-0.400108,0.233513,231,s104729_S_b010,10
Zr(IV),0.334822,0.858034,1.11787,0.338039,13,s104729_S_b010,10
