g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.764576,1.22088,-0.439137,-0.91102,1733,s104729_S_b019,19
Am(VI),-0.215797,-0.944129,0.661888,1.34087,27,s104729_S_b019,19
Ba(II),-1.19744,-2.4389,-0.258365,-5.54278,25,s104729_S_b019,19
Bi(III),2.16503,2.50841,0.900077,-2.3473,17,s104729_S_b019,19
Ca(II),-0.108709,0.986938,-0.751397,-2.78797,22,s104729_S_b019,19
Cd(II),-0.675162,0.693147,0.0371487,-7.14533,4,s104729_S_b019,19
Ce(III),0.899577,-1.54002,-0.368962,-1.35895,283,s104729_S_b019,19
Cf(III),-0.0739954,1.19288,-1.15401,0.0205715,9,s104729_S_b019,19
Cm(III),-0.740531,1.21838,-0.908808,-0.634095,135,s104729_S_b019,19
Dy(III),1.21501,0.72693,-1.1877,-0.145513,377,s104729_S_b019,19
Er(III),1.33174,0.967713,-1.37092,0.109984,300,s104729_S_b019,19
Eu(III),1.12052,-0.0010396,-1.1935,-0.445028,1679,s104729_S_b019,19
Gd(III),1.05091,-0.0844921,-1.27389,-0.199462,375,s104729_S_b019,19
Hf(IV),2.24146,1.71906,3.75494,0.594679,5,s104729_S_b019,19
Ho(III),1.3962,0.842134,-1.40628,0.0871087,243,s104729_S_b019,19
In(III),-1.02408,-0.023765,2.36061,-3.89672,5,s104729_S_b019,19
La(III),0.630718,-1.97396,-0.436982,-1.36476,344,s104729_S_b019,19
Lu(III),1.56971,1.19115,-1.57042,0.160888,247,s104729_S_b019,19
Nd(III),1.11266,-1.34825,-0.650673,-0.913938,433,s104729_S_b019,19
Np(IV),-0.0143433,0.892085,0.946074,1.65699,216,s104729_S_b019,19
Np(V),-1.98278,-1.75447,-0.706588,1.29468,187,s104729_S_b019,19
Np(VI),-0.439176,-1.62345,1.02575,2.38606,67,s104729_S_b019,19
Pa(V),-2.27963,-0.0160789,1.762,2.12492,43,s104729_S_b019,19
Pb(II),1.2215,0.205727,0.185229,-4.7544,10,s104729_S_b019,19
Pd(II),5.70749,3.20672,5.21598,-3.13192,18,s104729_S_b019,19
Pd(IV),2.2675,-0.375395,9.93656,-0.188607,5,s104729_S_b019,19
Pm(III),1.14403,0.0128815,-0.740443,-0.731764,1,s104729_S_b019,19
Pr(III),0.932268,-1.50882,-0.686548,-0.961808,348,s104729_S_b019,19
Pu(III),-1.04484,0.606003,0.149263,0.988813,118,s104729_S_b019,19
Pu(IV),-1.0687,1.14172,0.972179,2.55322,580,s104729_S_b019,19
Pu(VI),-1.58625,-1.42382,1.0327,3.15812,96,s104729_S_b019,19
Sm(III),1.26146,-0.573569,-1.04915,-0.542538,323,s104729_S_b019,19
Sr(II),-0.298023,-0.166314,1.00495,-4.08481,94,s104729_S_b019,19
Sr(III),-2.07932,-0.0945862,0.815401,-2.41026,38,s104729_S_b019,19
Tb(III),1.15576,0.433396,-1.26367,-0.0963053,269,s104729_S_b019,19
Tc(VII),3.47845,-1.0659,5.29817,0.872372,21,s104729_S_b019,19
Th(IV),-0.939313,1.3878,-0.160845,0.657737,773,s104729_S_b019,19
Tm(III),1.49388,1.09447,-1.49213,0.173588,201,s104729_S_b019,19
U(IV),-2.28168,0.228138,1.0967,0.430195,15,s104729_S_b019,19
U(VI),-0.914027,-1.37766,1.53493,2.37323,1036,s104729_S_b019,19
Y(III),1.82773,1.16996,0.917669,-1.51976,28,s104729_S_b019,19
Yb(III),1.71707,1.0844,-1.61618,0.178766,231,s104729_S_b019,19
Zr(IV),2.23913,2.44919,3.59757,1.37371,13,s104729_S_b019,19
