extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2.52636,3.18358,-0.240714,-1.90773,5,s104729_S_b007,7
C1COCCOCCOCCOCCOCCO1,2.16492,2.93818,-0.537652,-1.48921,5,s104729_S_b007,7
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,-1.46678,1.67081,-1.39013,1.20575,7,s104729_S_b007,7
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0.63674,1.84545,0.33376,-1.93201,46,s104729_S_b007,7
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-1.56522,1.33241,1.65649,-1.40841,6,s104729_S_b007,7
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.44049,1.03919,1.32424,1.00902,2,s104729_S_b007,7
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-1.64024,2.53724,0.978911,-1.25809,2,s104729_S_b007,7
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.877117,-0.627433,-0.541195,-0.175719,14,s104729_S_b007,7
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2.65527,1.1672,-2.27155,-2.8666,6,s104729_S_b007,7
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.427578,-0.713587,-0.676296,-0.457904,52,s104729_S_b007,7
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.0230809,-0.302439,-0.384419,-0.803558,2,s104729_S_b007,7
CC(C)CN(CC(C)C)C(=O)C(C)C,-2.79037,0.167472,0.868785,2.69144,7,s104729_S_b007,7
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.681914,-0.783709,-0.494979,-0.46637,60,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,3.31999,1.13213,-0.878477,-2.20125,12,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-0.370121,2.05946,0.943197,-2.40747,22,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,-1.88641,4.53455,0.632897,-1.72065,12,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,0.539815,1.54361,0.0841716,-0.453283,24,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-1.44601,2.21151,0.446232,-0.302849,4,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,-2.15569,4.35722,1.38212,-0.873494,12,s104729_S_b007,7
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1.11804,2.37247,0.0768147,-1.42743,24,s104729_S_b007,7
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.854871,1.50874,0.915138,-1.54652,10,s104729_S_b007,7
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,-0.533709,2.05703,0.705373,-1.10073,22,s104729_S_b007,7
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1.80348,2.40839,0.287666,-2.10622,28,s104729_S_b007,7
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0.45179,2.56638,0.862023,-2.52405,30,s104729_S_b007,7
CCCC(=O)N(CC(C)C)CC(C)C,-2.52418,-0.651717,0.412601,1.61332,9,s104729_S_b007,7
CCCCC(CC)C(=O)N(CCCC)CCCC,-2.29248,0.436452,1.03204,2.18686,61,s104729_S_b007,7
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1.15627,-0.789604,-0.73399,-0.482772,14,s104729_S_b007,7
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.476786,3.5077,-0.87026,1.74572,63,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,-2.4928,-0.720842,1.93537,2.54439,90,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-1.73687,-0.407258,1.30185,3.09205,451,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-2.68768,-0.583247,0.694322,1.99753,25,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-1.39841,-0.441667,1.0217,2.47222,29,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-1.87554,0.33267,0.804711,1.92504,447,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.517217,0.0802965,2.57747,-0.120013,4,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.749374,4.40793,-1.79889,0.337338,24,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.78966,-0.683652,0.17225,0.320173,477,s104729_S_b007,7
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-2.31303,-1.29512,0.165439,1.52553,27,s104729_S_b007,7
