g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.244161,-0.272768,0.67716,-0.0596823,0.30675,0.364087,0.357848,0.802763,0.740622,-0.562315,0.56594,0.094681,0.0219074,-0.0219321,0.445139,-0.180472,1733,s104729_S_b021,21
Am(VI),-0.107833,1.58614,0.641299,1.15755,-0.502394,-0.0703819,-0.146214,1.11581,-0.277243,-0.382344,-0.165037,0.00145624,-0.495343,0.573822,-0.777348,0.577213,27,s104729_S_b021,21
Ba(II),-1.41258,1.22704,-0.727179,3.14355,3.11068,0.443257,-2.0771,-1.02296,-0.236767,-0.436819,2.99406,-0.983484,0.576875,0.330216,-0.866837,-0.394073,25,s104729_S_b021,21
Bi(III),-1.08859,1.0934,-1.60612,-0.763318,1.53559,1.34017,1.27978,2.5236,-0.677336,2.37628,1.47093,3.64601,-0.48043,0.809173,1.35656,-0.808347,17,s104729_S_b021,21
Ca(II),-1.19323,-0.127505,-0.712801,0.371176,1.25324,0.291349,-0.615168,1.14575,0.0271654,0.199355,1.74708,-0.0373392,-0.34716,-0.269998,1.32355,0.816943,22,s104729_S_b021,21
Cd(II),-2.19648,-1.44465,-2.10173,2.14922,-0.542441,3.28589,-4.01401,3.09934,1.92546,-1.04694,3.87449,3.51184,2.49055,0.706006,-1.24567,-0.838814,4,s104729_S_b021,21
Ce(III),-0.734666,0.887733,-0.957693,0.427013,0.371446,-1.11237,-1.64063,0.190267,0.803719,-0.238261,-0.214519,0.278517,0.0279115,-0.276205,0.483812,-0.774309,293,s104729_S_b021,21
Cf(III),0.489909,1.26614,0.773425,0.0587685,-0.161935,0.130616,1.29478,1.42131,0.698018,-0.597236,0.389155,0.524282,-0.007186,-0.00375935,0.557784,0.555944,9,s104729_S_b021,21
Cm(III),0.166741,0.690421,0.995814,0.12262,-0.553087,-0.162472,0.585391,0.702048,0.482899,-0.806192,0.652594,0.832593,0.0180124,-0.189077,0.742183,0.0247743,135,s104729_S_b021,21
Dy(III),0.304649,0.0163483,-0.596323,-1.3324,-0.606607,-0.0845297,-0.0918275,0.160563,0.0109612,0.132884,0.275722,0.325048,0.163945,-0.274632,0.374662,0.147457,377,s104729_S_b021,21
Er(III),0.356625,0.163551,-0.571458,-1.59489,-0.698699,0.198618,0.0527311,-0.0148729,0.167423,0.218701,0.43627,0.402297,0.114869,-0.178113,0.295011,0.294383,300,s104729_S_b021,21
