g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.347941,1.03026,-0.723095,-1.37344,1733,s104729_S_b002,2
Am(VI),-1.54527,0.838833,0.117,0.903871,27,s104729_S_b002,2
Ba(II),-3.54522,3.02862,-3.05672,-0.41602,25,s104729_S_b002,2
Bi(III),0.739702,1.43489,-3.97895,-1.9547,17,s104729_S_b002,2
Ca(II),-1.30204,0.0470296,-3.91238,-1.61601,22,s104729_S_b002,2
Cd(II),-1.95671,4.69822,-5.92103,-0.454271,4,s104729_S_b002,2
Ce(III),0.732938,0.615013,-2.28856,0.918581,293,s104729_S_b002,2
Cf(III),0.000455201,0.0180523,-1.22507,-2.15798,9,s104729_S_b002,2
Cm(III),-0.476601,0.920326,-0.658864,-1.52063,135,s104729_S_b002,2
Dy(III),0.917508,-1.24252,-0.919916,-0.903413,377,s104729_S_b002,2
Er(III),1.06562,-1.46271,-0.745906,-1.17423,290,s104729_S_b002,2
Eu(III),0.776966,-0.746368,-1.44702,-0.31701,1676,s104729_S_b002,2
Gd(III),1.15354,-0.758444,-1.52805,-0.214825,375,s104729_S_b002,2
Hf(IV),-0.316525,-2.65618,0.983901,-0.0607536,5,s104729_S_b002,2
Ho(III),1.05299,-1.52068,-0.95607,-1.02212,264,s104729_S_b002,2
In(III),-2.78833,2.27294,-3.20581,-0.343763,5,s104729_S_b002,2
La(III),0.30934,0.776801,-2.57917,1.56709,328,s104729_S_b002,2
Lu(III),1.11646,-1.73516,-0.797727,-1.26558,247,s104729_S_b002,2
Nd(III),1.22022,0.253417,-2.13314,0.785164,433,s104729_S_b002,2
Np(IV),0.509468,-0.00293413,0.333279,-0.0380791,216,s104729_S_b002,2
Np(V),-1.79326,1.69708,-1.92284,1.22558,187,s104729_S_b002,2
Np(VI),-1.11024,0.110614,-0.0659668,1.9501,67,s104729_S_b002,2
Pa(V),-0.964575,1.05553,-0.0454873,1.28015,43,s104729_S_b002,2
Pb(II),-1.31419,2.90717,-5.6743,-1.07218,10,s104729_S_b002,2
Pd(II),2.94128,1.5459,1.79173,-0.0383621,18,s104729_S_b002,2
Pd(IV),0.293244,0.678364,5.91324,4.10339,5,s104729_S_b002,2
Pm(III),1.17104,-0.492076,-1.00558,-0.180059,1,s104729_S_b002,2
Pr(III),0.979974,0.628266,-2.08063,0.701922,348,s104729_S_b002,2
Pu(III),1.28108,2.14546,0.103608,-0.566843,118,s104729_S_b002,2
Pu(IV),2.12401,0.103667,0.944692,-0.481624,580,s104729_S_b002,2
Pu(VI),0.456131,0.277796,0.512826,1.50121,107,s104729_S_b002,2
Sm(III),1.21229,-0.253197,-1.6349,-0.084999,323,s104729_S_b002,2
Sr(II),-1.79951,1.33494,-2.36342,-0.161693,94,s104729_S_b002,2
Sr(III),-4.24124,0.773122,-0.412399,0.499065,38,s104729_S_b002,2
Tb(III),0.961733,-1.16675,-1.29038,-0.770721,269,s104729_S_b002,2
Tc(VII),1.58104,-2.13757,2.90952,1.06853,21,s104729_S_b002,2
Th(IV),1.59937,1.20618,-0.48687,-1.00102,773,s104729_S_b002,2
Tm(III),0.972611,-1.60679,-0.836985,-1.19155,125,s104729_S_b002,2
U(IV),-0.0813477,1.31592,0.0383111,1.12385,15,s104729_S_b002,2
U(VI),-1.14807,-0.339906,-0.0683342,2.49148,1036,s104729_S_b002,2
Y(III),-1.1067,-1.41194,-1.58729,-1.39893,28,s104729_S_b002,2
Yb(III),0.811786,-1.68077,-1.17667,-1.20416,231,s104729_S_b002,2
Zr(IV),1.42698,-2.75497,1.03516,-0.278853,13,s104729_S_b002,2
