extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1.15635,0.150451,-2.84099,-0.52482,5,s104729_S_b003,3
C1COCCOCCOCCOCCOCCO1,1.5488,0.526621,-3.20034,-0.779285,5,s104729_S_b003,3
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.728958,-0.107839,-0.627348,-2.55338,7,s104729_S_b003,3
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-0.0580736,-0.775949,-0.97447,1.39543,46,s104729_S_b003,3
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-1.27986,-0.986089,-0.636251,-0.894524,6,s104729_S_b003,3
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-1.32257,-0.758773,-1.16603,-0.479885,2,s104729_S_b003,3
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.204472,-1.22592,-0.66613,-3.20972,2,s104729_S_b003,3
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.283317,0.708265,0.42373,0.146372,14,s104729_S_b003,3
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.0211317,1.5741,-1.6414,0.117213,6,s104729_S_b003,3
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.543714,0.495547,0.481391,0.306336,52,s104729_S_b003,3
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,0.165897,1.27062,0.0526411,0.794546,2,s104729_S_b003,3
CC(C)CN(CC(C)C)C(=O)C(C)C,-1.40651,-1.37664,-1.14211,-1.71026,7,s104729_S_b003,3
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.614497,0.376696,0.439397,0.428075,60,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,2.51156,0.107997,-0.150538,2.341,12,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,-0.249217,-0.791938,-1.309,0.88746,22,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,1.06703,-2.06862,-1.00679,-3.32689,12,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,-0.550242,-0.23966,-1.07396,1.75895,24,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,-0.303762,-0.77139,-0.783134,-0.991166,4,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,0.891561,-2.24853,-1.33229,-3.88061,12,s104729_S_b003,3
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.950156,-0.268394,-1.61674,0.75878,24,s104729_S_b003,3
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,-0.442273,-0.801122,-0.823999,-0.0752081,10,s104729_S_b003,3
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,-0.0452073,-0.460207,-1.40584,0.155874,22,s104729_S_b003,3
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1.34896,-0.741665,-1.06043,2.64494,28,s104729_S_b003,3
