g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),0.267408,-0.175904,-0.843992,-0.872988,1668,s104729_S_b006,6
Am(VI),-0.708065,1.10759,-0.175404,0.89587,27,s104729_S_b006,6
Ba(II),-2.15677,2.00059,-0.427856,-2.9111,25,s104729_S_b006,6
Bi(III),-1.66254,-1.05833,0.674704,0.149621,17,s104729_S_b006,6
Ca(II),-1.47656,0.540368,-1.90509,0.525054,22,s104729_S_b006,6
Cd(II),-1.9673,1.26764,-4.76437,-3.59275,4,s104729_S_b006,6
Ce(III),-0.565799,-0.727841,2.24058,-1.46616,293,s104729_S_b006,6
Cf(III),-0.479233,-0.549944,-0.942181,-0.0777735,9,s104729_S_b006,6
Cm(III),0.229523,-0.447903,-0.739787,-0.935931,135,s104729_S_b006,6
Dy(III),-0.312342,-1.64238,0.390506,-0.200824,377,s104729_S_b006,6
Er(III),-0.288007,-1.74582,0.151136,-0.0217119,300,s104729_S_b006,6
Eu(III),-0.870243,-1.32342,0.82254,-0.443531,1692,s104729_S_b006,6
Gd(III),-0.561917,-1.49323,1.03878,-0.508195,375,s104729_S_b006,6
Hf(IV),-1.5798,0.122771,-0.497829,3.71526,5,s104729_S_b006,6
Ho(III),-0.282704,-1.80885,0.236363,-0.109667,264,s104729_S_b006,6
In(III),-1.19728,2.25906,-2.66714,-0.372715,5,s104729_S_b006,6
La(III),-0.680719,-0.473256,2.34598,-1.74498,322,s104729_S_b006,6
Lu(III),-0.153007,-1.9932,0.131877,-0.0665208,237,s104729_S_b006,6
Nd(III),-0.483667,-0.803982,2.16713,-1.13811,433,s104729_S_b006,6
Np(IV),0.0111889,0.639634,-1.6675,1.01934,216,s104729_S_b006,6
Np(V),-2.30056,1.5986,-0.974128,-0.299207,187,s104729_S_b006,6
Np(VI),-1.25995,1.49851,-0.459948,1.60536,67,s104729_S_b006,6
Pa(V),-1.64842,2.04187,-1.06456,0.719668,43,s104729_S_b006,6
Pb(II),-2.41842,-0.0134888,0.756198,-2.32265,10,s104729_S_b006,6
Pd(II),1.6166,1.4056,-0.839071,3.50278,18,s104729_S_b006,6
Pd(IV),1.24225,3.71213,1.8384,5.20796,5,s104729_S_b006,6
Pm(III),-0.236436,-1.24242,1.01455,-0.414938,1,s104729_S_b006,6
Pr(III),-0.639519,-0.680879,2.10212,-1.17615,348,s104729_S_b006,6
Pu(III),-0.309028,0.00305381,-0.0580922,0.50501,118,s104729_S_b006,6
Pu(IV),-0.321809,0.479691,-1.68212,1.862,580,s104729_S_b006,6
Pu(VI),-1.56221,1.33716,-0.450903,2.30887,107,s104729_S_b006,6
Sm(III),-0.579946,-1.29497,1.49986,-0.628117,323,s104729_S_b006,6
Sr(II),-1.63041,1.12131,-0.782815,-0.596179,94,s104729_S_b006,6
Sr(III),-2.47899,1.61426,-3.48366,0.542801,38,s104729_S_b006,6
Tb(III),-0.461233,-1.63023,0.646894,-0.263291,269,s104729_S_b006,6
Tc(VII),-1.13453,0.987213,1.19013,5.60943,21,s104729_S_b006,6
Th(IV),0.00335417,-0.32851,-0.526194,0.126497,773,s104729_S_b006,6
Tm(III),-0.185264,-1.86347,0.0892267,-0.0390506,201,s104729_S_b006,6
U(IV),-0.806126,1.47935,-0.607955,0.332353,15,s104729_S_b006,6
U(VI),-1.98451,2.35204,-1.06483,2.59668,992,s104729_S_b006,6
Y(III),-0.295881,1.09544,-1.54852,2.53993,28,s104729_S_b006,6
Yb(III),-0.172649,-1.98876,0.167068,-0.0511562,231,s104729_S_b006,6
Zr(IV),-1.31156,-0.49517,0.103853,3.7173,13,s104729_S_b006,6
