g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-1.22972,-0.957969,-0.0400866,-0.63813,1733,s104729_S_b005,5
Am(VI),-1.79671,1.87518,-0.247144,-0.73432,27,s104729_S_b005,5
Ba(II),-1.95594,-3.96555,1.53568,1.69532,25,s104729_S_b005,5
Bi(III),-2.9993,-1.99223,-1.75644,-1.96396,17,s104729_S_b005,5
Ca(II),0.46934,-2.52871,-0.839101,1.51575,22,s104729_S_b005,5
Cd(II),-4.71038,3.0575,-4.67216,2.85683,4,s104729_S_b005,5
Ce(III),-0.734966,-1.2725,1.67453,-0.62562,293,s104729_S_b005,5
Cf(III),-0.361973,-1.18997,0.83809,-1.8868,9,s104729_S_b005,5
Cm(III),-1.3063,-1.21997,-0.0550011,-1.08063,135,s104729_S_b005,5
Dy(III),1.22523,-0.885526,-0.0948251,-0.73158,377,s104729_S_b005,5
Er(III),1.52843,-0.822672,-0.223217,-0.90014,300,s104729_S_b005,5
Eu(III),0.690821,-1.00768,0.491,-0.570311,1692,s104729_S_b005,5
Gd(III),0.900106,-1.13808,0.666534,-0.730916,359,s104729_S_b005,5
Hf(IV),1.842,-0.769714,-1.01678,0.225417,5,s104729_S_b005,5
Ho(III),1.45686,-0.859461,-0.199829,-0.893515,264,s104729_S_b005,5
In(III),-0.446926,-1.40003,-0.880744,3.08567,5,s104729_S_b005,5
La(III),-0.84388,-1.43824,1.8774,-0.418219,344,s104729_S_b005,5
Lu(III),1.86067,-0.875997,-0.13857,-0.941315,247,s104729_S_b005,5
Nd(III),-0.160606,-1.14738,1.59719,-0.650344,419,s104729_S_b005,5
Np(IV),-1.89784,0.973626,-1.99202,-0.115876,194,s104729_S_b005,5
Np(V),-3.29114,0.632032,-0.268909,1.19607,187,s104729_S_b005,5
Np(VI),-1.58849,3.15003,-0.808226,0.0797849,67,s104729_S_b005,5
Pa(V),-1.2283,1.86501,-0.994773,2.05198,43,s104729_S_b005,5
Pb(II),-4.16588,-4.28785,-0.449403,-0.47375,10,s104729_S_b005,5
Pd(II),0.615431,5.47708,-0.146969,-1.62868,18,s104729_S_b005,5
Pd(IV),3.78439,3.20567,3.73443,0.774222,5,s104729_S_b005,5
Pm(III),1.16608,-1.10359,0.918917,-0.899193,1,s104729_S_b005,5
Pr(III),-0.487548,-1.05591,1.53169,-0.596265,348,s104729_S_b005,5
Pu(III),-0.860321,1.384,0.751746,-0.932858,118,s104729_S_b005,5
Pu(IV),-0.648478,1.76668,-1.60531,-0.775859,580,s104729_S_b005,5
Pu(VI),-0.389175,3.86015,-0.336756,-0.595622,107,s104729_S_b005,5
Sm(III),0.516548,-1.17444,0.995553,-0.816388,323,s104729_S_b005,5
Sr(II),-0.146042,-2.81415,0.198367,1.77506,77,s104729_S_b005,5
Sr(III),0.592832,-0.288027,-2.32293,3.92545,38,s104729_S_b005,5
Tb(III),1.06845,-0.997846,0.16045,-0.790294,269,s104729_S_b005,5
Tc(VII),2.65652,2.70406,-0.090977,-0.530958,21,s104729_S_b005,5
Th(IV),-1.6904,0.926243,0.171079,-1.62961,773,s104729_S_b005,5
Tm(III),1.73686,-0.870055,-0.169467,-0.920927,201,s104729_S_b005,5
U(IV),-2.24278,0.905249,0.214565,0.494125,15,s104729_S_b005,5
U(VI),-1.38494,3.27927,-0.861393,0.725604,1036,s104729_S_b005,5
Y(III),-1.3414,0.82794,-0.992157,-1.32396,28,s104729_S_b005,5
Yb(III),1.77236,-0.917935,-0.00451746,-0.99092,231,s104729_S_b005,5
Zr(IV),1.93672,1.82304,-0.732074,-0.368373,13,s104729_S_b005,5
