g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,e_m_08,e_m_09,e_m_10,e_m_11,e_m_12,e_m_13,e_m_14,e_m_15,n_training_rows,fold_id,fold_ordinal
Am(III),0.43367,0.237309,0.3249,-0.50712,0.138282,-0.279521,1.11846,-0.275188,0.495077,0.308417,0.283451,0.101477,-0.340255,-0.214749,-0.655561,0.870495,1733,s104729_S_b015,15
Am(VI),0.711604,1.0586,-0.507218,0.805772,-1.12077,0.68462,0.0978314,-0.416908,-1.0824,-1.12945,0.336434,-0.252952,0.126332,0.753553,-0.399356,0.884516,27,s104729_S_b015,15
Ba(II),0.628048,0.998235,1.38514,-3.00147,2.17338,3.22156,2.57486,-5.00745,0.234699,1.08233,-2.0635,-2.14294,0.643882,-1.74718,1.5078,-0.690227,25,s104729_S_b015,15
Bi(III),0.477162,0.256233,0.203269,-0.180021,3.98506,2.92939,0.683063,-2.53117,0.919912,4.36761,-1.47113,0.988176,3.65027,-1.48182,-2.88862,-0.831968,17,s104729_S_b015,15
Ca(II),0.939704,1.57036,-0.665406,-1.21819,1.72327,1.32562,1.68333,-1.40749,1.33377,1.42963,-0.78751,-0.456648,0.978131,-1.3801,-0.73705,0.00157583,22,s104729_S_b015,15
Cd(II),2.97613,-0.204436,-3.05301,1.02891,2.01359,-0.0456401,2.6308,-5.00374,2.42103,4.85789,-6.60035,-3.66973,2.72617,1.86444,2.84855,-0.506365,4,s104729_S_b015,15
Ce(III),0.490971,-0.845426,0.557946,-0.746759,1.13826,-1.15435,0.145906,-1.01444,-1.1246,0.635621,-0.506851,-0.875476,0.288246,-0.225532,1.19402,0.314277,272,s104729_S_b015,15
Cf(III),0.0523561,-0.240633,-0.715154,0.455873,0.0217961,0.0230224,1.01115,-0.0530492,0.19434,1.25706,-0.0272653,0.612586,-0.92075,-0.80047,-0.548781,1.71627,9,s104729_S_b015,15
Cm(III),-0.373752,-0.0804989,-0.638348,-0.31876,-0.283762,-0.46215,1.09282,-0.526448,0.0834665,0.50595,0.0675725,0.170712,-0.592641,0.145353,-0.791698,1.71723,135,s104729_S_b015,15
Dy(III),-0.280559,-0.740054,-0.319691,-0.224175,0.742458,-0.209071,-0.263287,0.5923,0.602531,0.725976,-0.261766,0.743819,0.183686,-0.0490538,-0.167998,0.428522,377,s104729_S_b015,15
Er(III),-0.404877,-0.798001,-0.504586,-0.0131721,0.597579,-0.704523,-0.166577,0.927177,0.83497,0.862541,-0.0666796,0.897701,0.235982,0.00664669,0.172608,0.217936,300,s104729_S_b015,15
Eu(III),0.339952,-0.667403,0.862875,-0.0966581,0.905034,0.131716,-0.0716512,0.235471,0.565038,0.876631,0.0965553,0.229107,-0.425892,-0.80571,0.284886,0.263862,1692,s104729_S_b015,15
Gd(III),-0.16253,-1.08565,0.394817,-0.517675,0.54761,-0.294675,-0.542994,0.261949,0.0200923,0.545285,0.14014,0.276503,-0.334449,-0.0909473,-0.142247,0.311076,375,s104729_S_b015,15
Hf(IV),-0.706304,-0.341656,-2.68299,1.05903,1.26723,1.28857,1.06537,2.57217,-0.2018,1.67789,-2.19678,0.991162,-1.5314,-0.750102,1.12007,-2.31774,5,s104729_S_b015,15
Ho(III),-0.339974,-0.840621,-0.373094,-0.111534,0.6334,-0.595711,-0.267286,0.79362,0.874131,0.774257,-0.0380847,0.873889,0.283641,0.0908124,-0.058526,0.219849,264,s104729_S_b015,15
In(III),1.01273,2.19708,-1.42467,0.0982054,1.30561,1.34528,1.19753,-2.34842,1.82104,4.90481,-4.07445,-3.56775,1.87563,-3.4414,-1.27797,-2.3492,5,s104729_S_b015,15
La(III),0.696771,-1.3844,0.811906,-1.12413,0.963969,-0.726291,0.192359,-0.952684,-1.376,0.79456,-0.862297,-1.00745,0.430706,0.187966,0.945563,0.0740496,244,s104729_S_b015,15
Lu(III),-0.522645,-0.770339,-0.519182,-0.0392778,0.440333,-1.00419,0.0139794,1.17836,0.905644,1.4378,-0.0489312,0.960844,0.513105,0.387759,0.38761,-0.11995,247,s104729_S_b015,15
Nd(III),0.298855,-1.79235,0.706697,-0.587188,0.77825,-0.321284,-0.113193,-0.38086,-0.999144,0.110703,-0.104915,-0.540359,-0.206078,0.324959,-0.179562,-0.148071,433,s104729_S_b015,15
