g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,n_training_rows,fold_id,fold_ordinal
Am(III),-0.106207,-0.17423,-0.374803,-1.1421,1733,s104729_S_b003,3
Am(VI),-0.898564,0.894845,-1.70227,-0.377421,27,s104729_S_b003,3
Ba(II),3.84758,-0.654433,-1.67799,-0.679277,25,s104729_S_b003,3
Bi(III),-0.199441,-2.75201,1.74135,-2.95943,17,s104729_S_b003,3
Ca(II),1.73528,-0.27373,1.26664,0.500061,22,s104729_S_b003,3
Cd(II),2.07651,0.531637,-3.47395,-1.75722,4,s104729_S_b003,3
Ce(III),1.19167,-0.923496,-1.29328,0.914858,293,s104729_S_b003,3
Cf(III),-0.646101,-0.836571,0.130191,-1.49479,9,s104729_S_b003,3
Cm(III),-0.216871,-0.562253,-0.272274,-1.38004,135,s104729_S_b003,3
Dy(III),-0.275358,-1.44858,0.407589,0.177,377,s104729_S_b003,3
Er(III),-0.408889,-1.58471,0.634522,0.268308,300,s104729_S_b003,3
Eu(III),0.133361,-1.06556,0.112027,0.260548,1692,s104729_S_b003,3
Gd(III),0.170429,-1.34614,-0.0998335,0.547656,375,s104729_S_b003,3
Hf(IV),-0.167226,-0.841655,1.7457,-0.49763,5,s104729_S_b003,3
Ho(III),-0.370732,-1.66783,0.556429,0.290044,264,s104729_S_b003,3
In(III),1.57307,0.275754,0.595201,-3.15907,5,s104729_S_b003,3
La(III),1.49581,-0.639729,-1.36078,0.942516,344,s104729_S_b003,3
Lu(III),-0.453752,-1.89789,0.766143,0.246878,231,s104729_S_b003,3
Nd(III),0.900336,-0.764423,-1.08222,1.06902,433,s104729_S_b003,3
Np(IV),-0.220142,1.71611,0.687453,0.0894495,216,s104729_S_b003,3
Np(V),1.48878,2.01877,-0.125749,-1.06912,187,s104729_S_b003,3
Np(VI),0.308945,2.29212,-0.591661,0.37929,67,s104729_S_b003,3
Pa(V),-0.563142,2.31706,-0.40835,-0.184459,43,s104729_S_b003,3
Pb(II),1.38783,-3.34195,-0.0696893,-3.01063,10,s104729_S_b003,3
Pd(II),0.315235,-3.46041,-3.04642,-0.518656,18,s104729_S_b003,3
Pd(IV),2.30214,-2.1773,0.102812,-2.52081,5,s104729_S_b003,3
Pm(III),0.220487,-1.49087,-0.0870204,0.538199,1,s104729_S_b003,3
Pr(III),1.03508,-0.673494,-0.912168,0.968239,348,s104729_S_b003,3
Pu(III),-1.09432,0.363077,-0.463451,-0.808495,91,s104729_S_b003,3
Pu(IV),-1.07307,1.46257,0.948026,0.139248,580,s104729_S_b003,3
Pu(VI),-0.431636,1.95988,-0.382745,0.374349,107,s104729_S_b003,3
Sm(III),0.40205,-1.19013,-0.365287,0.763839,323,s104729_S_b003,3
Sr(II),2.45201,-0.228406,-0.0474674,0.344374,94,s104729_S_b003,3
Sr(III),1.99371,2.2109,2.24966,-0.629383,38,s104729_S_b003,3
Tb(III),-0.123453,-1.24535,0.401116,0.225873,269,s104729_S_b003,3
Tc(VII),0.300186,-2.0074,-0.402179,1.28855,21,s104729_S_b003,3
Th(IV),-0.313492,-0.486098,-0.363316,-0.510896,741,s104729_S_b003,3
Tm(III),-0.430168,-1.6903,0.714376,0.220482,201,s104729_S_b003,3
U(IV),0.495401,1.14887,-0.394848,-0.812238,15,s104729_S_b003,3
U(VI),-0.162792,3.16552,-0.208766,0.479377,968,s104729_S_b003,3
Y(III),-0.994716,0.884328,1.10095,-1.22162,28,s104729_S_b003,3
Yb(III),-0.443649,-1.75948,0.770509,0.232595,231,s104729_S_b003,3
Zr(IV),-0.771597,-0.883579,1.34861,0.382576,13,s104729_S_b003,3
