extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,-4.29841,0.0402927,1.64652,-0.252819,2.56547,1.31101,1.23139,-3.65634,5,s104729_S_b024,24
C1COCCOCCOCCOCCOCCO1,-4.2418,-0.127887,1.03318,-0.725106,2.91075,1.62394,0.284728,-4.09181,5,s104729_S_b024,24
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,0.382011,-0.0246933,0.798189,-1.59606,1.56597,1.97283,-0.803348,-1.18934,7,s104729_S_b024,24
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,-1.71281,1.21197,2.79572,-0.774078,2.003,0.273107,-0.565077,1.57788,46,s104729_S_b024,24
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,-3.92072,1.00453,0.184679,-4.33055,2.20696,-0.438416,-2.3864,-2.99323,6,s104729_S_b024,24
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,-0.972589,0.986883,0.80956,-1.97115,-0.722935,-0.864141,-1.96053,-1.5961,2,s104729_S_b024,24
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,-2.60791,-0.268325,2.99184,-6.58713,1.76013,0.315209,-3.17561,-2.18131,2,s104729_S_b024,24
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.185633,-0.683189,-0.311719,1.03788,-0.0931515,0.465014,1.06191,0.58554,14,s104729_S_b024,24
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.124905,-0.323889,0.826895,-0.723833,1.52813,0.698051,0.185577,1.92098,6,s104729_S_b024,24
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.182149,-0.997164,-0.574507,1.2215,-0.316671,0.259358,0.847625,0.388993,52,s104729_S_b024,24
