g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Am(III),-0.516607,0.109801,0.04976,-0.715016,0.890955,1.19146,-0.486396,-0.167926,1733,s104729_S_b017,17
Am(VI),-1.81337,-0.480116,0.345331,-1.066,-0.950537,-0.581413,-0.388663,-1.66272,27,s104729_S_b017,17
Ba(II),-3.54195,-3.70989,-0.0609067,0.516919,1.3554,4.15675,-1.61905,-2.47078,25,s104729_S_b017,17
Bi(III),-7.16494,-0.535364,3.17943,1.42251,0.475363,-0.851435,0.339488,2.47477,17,s104729_S_b017,17
Ca(II),-3.9717,-0.896808,0.404031,-0.483056,0.752605,1.32911,-0.316215,-0.10064,22,s104729_S_b017,17
Cd(II),-4.64515,-3.47721,2.04849,2.59909,-0.504894,2.51872,-4.73936,1.1428,4,s104729_S_b017,17
Ce(III),0.546626,-0.378601,-0.737076,1.51796,0.534844,0.441329,0.420554,-0.474661,184,s104729_S_b017,17
Cf(III),-0.853479,1.16294,0.0901828,-1.37408,0.820618,1.39447,0.0182315,1.01737,9,s104729_S_b017,17
Cm(III),-0.308686,0.273706,-0.183115,-0.955374,1.03745,1.37921,-0.627684,0.200271,135,s104729_S_b017,17
Dy(III),0.771709,1.05129,0.452186,0.189494,0.261563,0.325037,0.962608,1.22398,377,s104729_S_b017,17
Er(III),0.976552,1.17811,0.447227,-0.0409518,-0.0962387,0.301936,1.15876,1.76646,280,s104729_S_b017,17
Eu(III),-0.496003,0.906273,0.118222,0.626223,0.40386,0.220998,1.18549,0.506676,1692,s104729_S_b017,17
Gd(III),0.639984,0.983391,-0.21192,0.490222,0.658973,0.323156,1.26181,0.175232,375,s104729_S_b017,17
Hf(IV),-0.471803,-3.97894,1.05672,-2.64737,-0.144843,1.52201,1.68096,0.892859,5,s104729_S_b017,17
Ho(III),0.855031,1.19144,0.375737,0.00639015,0.0482056,0.235358,1.11345,1.6833,264,s104729_S_b017,17
In(III),-5.00632,-3.92539,0.065035,0.576449,1.289,2.3683,-2.08287,1.88038,5,s104729_S_b017,17
La(III),0.719598,-0.971263,-1.21062,1.4405,0.589561,0.536378,0.223091,-0.298039,344,s104729_S_b017,17
Lu(III),1.25011,1.12311,0.561968,-0.298611,-0.224841,0.983141,1.43436,1.84072,247,s104729_S_b017,17
Nd(III),0.728026,-0.0901994,-0.749548,1.25722,0.400597,0.0163538,0.443853,0.165815,433,s104729_S_b017,17
Np(IV),-0.0168075,-0.715245,0.254195,-0.818093,0.969357,-1.60314,-1.00404,-0.196336,216,s104729_S_b017,17
Np(V),-1.94418,-0.738812,-2.5085,0.811321,0.702076,-0.229619,-2.80677,-0.245048,187,s104729_S_b017,17
Np(VI),-1.75234,-1.25747,-0.236118,0.422717,-1.08109,-1.66669,-0.771896,-0.772695,67,s104729_S_b017,17
Pa(V),-1.54166,0.273786,-0.638218,0.0565107,-1.45236,-1.04506,-1.31508,-1.19243,43,s104729_S_b017,17
Pb(II),-7.39122,-2.63133,2.14755,2.47076,3.10156,0.544178,-1.8084,0.984701,10,s104729_S_b017,17
Pd(II),-0.506409,-1.32886,4.18876,-1.61437,-1.44602,2.28247,-1.09282,-1.88686,18,s104729_S_b017,17
Pd(IV),-2.3004,-4.51338,-0.257085,-0.715215,-2.08894,2.67264,0.91784,-2.08481,5,s104729_S_b017,17
Pm(III),0.195405,0.957356,0.0654202,0.600619,0.338057,0.103958,1.12867,0.27967,1,s104729_S_b017,17
Pr(III),0.484512,-0.328359,-0.531257,1.18002,0.655946,0.363882,0.724881,-0.565416,348,s104729_S_b017,17
Pu(III),0.326973,0.444601,0.376393,-2.11477,-0.00751804,0.428866,-1.69649,-0.392507,118,s104729_S_b017,17
Pu(IV),1.03415,-0.707152,1.25437,-1.48103,0.691589,-0.725099,-1.06518,0.313989,580,s104729_S_b017,17
Pu(VI),-0.721411,-1.2555,0.688985,-0.138341,-1.40238,-0.663438,-0.812752,-0.255729,107,s104729_S_b017,17
Sm(III),0.528867,0.508994,-0.25858,0.858893,0.25315,0.0755936,0.943785,0.583397,323,s104729_S_b017,17
Sr(II),-3.40374,-1.62774,0.0993137,-0.171455,-0.181408,2.29566,-0.785712,-1.05731,94,s104729_S_b017,17
Sr(III),-4.40685,-2.00895,-1.69534,-1.34283,-2.4789,2.67852,-0.675275,-0.0766599,38,s104729_S_b017,17
Tb(III),0.616667,1.09067,0.224749,0.368515,0.319402,0.141839,1.04923,1.07836,269,s104729_S_b017,17
Tc(VII),-2.9889,-3.05381,1.16918,-1.41804,-2.60297,0.481096,4.05601,-0.695726,21,s104729_S_b017,17
Th(IV),-0.155249,1.70626,-0.328353,-1.26256,-0.349915,0.10782,-1.27776,-0.327072,758,s104729_S_b017,17
Tm(III),1.02128,1.10023,0.439771,-0.214504,-0.176149,0.543005,1.44201,1.76955,201,s104729_S_b017,17
U(IV),-0.739165,0.429237,-0.446434,0.400526,-0.493401,0.0870714,-1.45703,-1.49121,15,s104729_S_b017,17
U(VI),-1.69453,-1.45137,0.768551,1.10798,-0.334127,-1.25385,-0.602294,-1.65215,1036,s104729_S_b017,17
Y(III),-3.59389,1.37985,1.62373,-0.254095,-0.318948,0.316621,0.0174979,1.26062,28,s104729_S_b017,17
Yb(III),1.09499,1.12875,0.490978,-0.276187,-0.321039,0.732343,1.43193,1.88183,216,s104729_S_b017,17
Zr(IV),-0.262013,-1.22581,0.165694,-3.45563,-2.35907,-0.0354458,1.92274,0.82186,13,s104729_S_b017,17
