quantity,claimed,mine,abs_diff,pct_diff,within_5pct
best-arm extractant-macro MAE,0.481,0.481,-0.0,0.0,True
C_DIRECT_ROW extractant-macro MAE,0.495,0.4953,0.0003,0.06,True
B1_MEAN_CURVE extractant-macro MAE,0.603,0.6033,0.0003,0.04,True
"own-extractant transfer, macro (donor-mean)",0.286,0.2886,0.0026,0.9,True
"own-extractant transfer, macro (cell-first)",0.286,0.2864,0.0004,0.13,True
"own-extractant transfer, pooled",0.295,0.3949,0.0999,33.85,False
"control transfer, macro",0.441,0.4396,-0.0014,0.31,True
paired own,0.257,0.2601,0.0031,1.22,True
paired other,0.454,0.4493,-0.0047,1.04,True
"different-publication sibling, macro",0.39,0.3973,0.0073,1.86,True
amplitude %SS within extractant,56.0,55.9988,-0.0012,0.0,True
amplitude ICC,0.415,0.4155,0.0005,0.11,True
curvature ICC,0.188,0.1881,0.0001,0.03,True
curve-sd ICC,0.496,0.4961,0.0001,0.02,True
quad R2 mean,0.876,0.8764,0.0004,0.05,True
linear-only R2 mean,0.744,0.744,-0.0,0.0,True
pct amplitude negative,75.8,75.7785,-0.0215,0.03,True
