extractant,own,other,gain
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.1626212828623648,0.4511952049246548,0.28857392206229004
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.404474038828988,0.516266321474002,0.11179228264501395
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.23392493770216466,0.7027355467431333,0.46881060904096866
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.10722904244654885,0.2431462080796334,0.13591716563308456
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.1378766734696997,0.5126969791086545,0.37482030563895485
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.15285974804275418,0.4598162063879545,0.30695645834520036
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.367539914309,0.4719602044221656,0.10442029011316556
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.29230175042275364,0.42599835542456965,0.13369660500181602
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.36377996461110973,0.3790963510552492,0.015316386444139463
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.22012548266666668,0.10455172945536631,-0.11557375321130037
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.10998870413638234,0.500907834016222,0.3909191298798396
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.51188336,0.3215118925,-0.1903714675
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.34778099244619176,1.0224796142948815,0.6746986218486898
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.0779477540000001,0.1995177165555556,0.12156996255555551
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.410627638583969,0.53165932286534,0.12103168428137101
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.26115066336102905,0.34512167251709486,0.08397100915606581
